店名,住所,台数
モーリーファンタジー大安店,三重県いなべ市大安町高柳1945 イオン大安,1台
セガ伊勢,三重県伊勢市中須町666 AGスクエア伊勢,1台
モーリーファンタジー伊勢ララパーク店,三重県伊勢市小木町曽弥５３８ イオンタウン伊勢ララパーク２階,3台
ＮＩＣＯＰＡ伊勢店,三重県伊勢市楠部町乙１６０ イオン伊勢２階,1台
アピタ伊賀上野店,三重県伊賀市服部町尾崎１７８８ アピタ伊賀上野,1台
モーリーファンタジー伊賀上野店,三重県伊賀市上野茅町２５１９ イオン伊賀上野２階,1台
CLUBSEGA名張,三重県名張市希央台３－１５ ＣＬＵＢＳＥＧＡ名張,1台
アピタ名張店,三重県名張市下比奈知字黒田３１００－１ アピタ名張,1台
YAZワールド四日市店,三重県四日市市泊小柳町4-34 YAZワールド四日市,1台
アピタ四日市店,三重県四日市市安島１－３－３１ ララスクエア,1台
ナムコカヨーアミューズパーク,三重県四日市市日永4-2-41,1台
モーリーファンタジー四日市北店,三重県四日市市富州原町２－４０ イオン四日市北２階,2台
モーリーファンタジー四日市尾平店,三重県四日市市尾平町字天王川原1805 イオン四日市尾平,3台
四日市アミューズメントパーク,三重県四日市市安島１－３－３１ ララスクエア５階,2台
ＮＩＣＯＰＡ四日市北,三重県四日市市富州原町２－４０ イオン四日市北２階,1台
モーリーファンタジー阿児店,三重県志摩市阿児町鵜方３２１５ イオン阿児２階,1台
アピタ松阪三雲店,三重県松阪市市場庄町１２６６－１ アピタ松阪三雲,1台
クラブセガアドバンスモール松阪,三重県松阪市田村町２３５－１ クラブセガアドバンスモール松阪,1台
モーリーファンタジー松阪店,三重県松阪市船江町１３９２－２７ イオン松阪３階,2台
BANDAI asobi:長島店,三重県桑名市長島町浦安368 ジャズドリーム長島,1台
PALO桑名店,三重県桑名市新西方1丁目22番地 イオン2F,3台
アピタ桑名店,三重県桑名市中央町３－２１ アピタ桑名,1台
セガワールド桑名,三重県桑名市大字大仲新田字宮前１５８番地 サンシパーク,1台
モーリーファンタジー桑名店,三重県桑名市新西方1丁目22番地 イオン桑名1番街3階,2台
にこぱイオン津店,三重県津市桜橋３－４４６ イオン津２階,1台
セガワールド久居,三重県津市久居明神町字風早２５３４－１ セガワールド久居,1台
トムソーヤのなかまたちイオン久居,三重県津市久居明神町風早2660 イオン久居二階,1台
モーリーファンタジー津城山店,三重県津市久居小野辺町１１３０－７ マックスバリュ津城山２階,3台
namcoイオンモール鈴鹿店,三重県鈴鹿市庄野羽山四丁目1番2号 イオンモール鈴鹿2F,1台
アピタ鈴鹿店,三重県鈴鹿市南玉垣町３６２８ アピタ鈴鹿,1台
アピナ鈴鹿店,三重県鈴鹿市庄野羽山４－２０－１ イオンタウン鈴鹿２Ｆ,2台
アミパラ鈴鹿店,三重県鈴鹿市西条町東澤４３０－１ アミパラ鈴鹿,1台
ドナリアコットサンズ店,三重県鈴鹿市白子駅前９－２０ イオン白子３階,1台
ハローズガーデン鈴鹿店,三重県鈴鹿市南玉垣町３６２８ アピタ鈴鹿２階,1台
モーリーファンタジーイオン鈴鹿店,三重県鈴鹿市庄野羽山４－１－２ イオンモール鈴鹿２階,4台
モーリーファンタジー鈴鹿店,三重県鈴鹿市算所2-5-1 鈴鹿ハンター,2台
モーリーファンタジー東員店,三重県員弁郡東員町長深字築田５１０番地１ イオンモール東員３階,2台
楽市楽座イオンモール東員店,三重県員弁郡東員町長深築田510-1 イオンモール東員,1台
タイトーステーションイオン明和店,三重県多気郡明和町中村１２２３ イオンモール明和２Ｆ,1台
モーリーファンタジー明和店,三重県多気郡明和町中村長波賀１２２３番地 イオンモール明和２階,2台
ザ・ビッグエクストラ玉城店,三重県度会郡玉城町世古字小垣内３３５－２ ザ・ビッグエクストラ玉城,1台
