店名,住所,台数
タカラ島亀岡店,京都府亀岡市篠町野条上又１１－１ アル・プラザ亀岡３階,1台
namcoイオンモールKYOTO店,京都府京都市南区西九条鳥居口町1 イオンモールKYOTO Sakura館 4F,2台
ゲームパニック京都,京都府京都市中京区新京極通 三条下ル桜之町415番 MOVIX京都別館別館1階,1台
ザ・サードプラネットBiVi京都二条店,京都府京都市中京区西ノ京栂尾町107番地 ザ・サードプラネットBiVi京都二条,4台
セガワールド六地蔵,京都府京都市伏見区桃山町山ノ下３２ ＭＯＭＯテラスＡＭ棟２Ｆ,1台
ビックカメラＪＲ京都駅店,京都府京都市下京区東塩小路町９２７ ビックカメラＪＲ京都駅,1台
プラサカプコン京都店,京都府京都市右京区西院追分町２５－１ イオン京都五条３階,3台
プレイランド京都店,京都府京都市右京区山ノ内池尻町１－１ 京都ファミリー３Ｆ,1台
モーリーファンタジー京都五条店,京都府京都市右京区西院追分町２５－１ イオン京都五条２階,4台
モーリーファンタジー京都桂川店,京都府京都市南区久世高田町376-1 イオンモール京都桂川,4台
モーリーファンタジー桂南店,京都府京都市南区久世上久世町485 ダイエー桂南2F,1台
モーリーファンタジー洛南店,京都府京都市南区吉祥院御池町３１ イオン洛南２階,3台
ユーイング 醍醐店,京都府京都市伏見区醍醐高畑町１－３７ アル・プラザ醍醐,1台
ヨドバシカメラマルチメディア京都,京都府京都市下京区京都駅前京都 ヨドバシカメラマルチメディア京都,2台
北大路ビブレ,京都府京都市北区小山北上総町49-1 北大路ビブレ,1台
楽市楽座イオンモール京都桂川店,京都府京都市南区久世高田町３４６－１ ３０５１区画 イオンモール京都桂川３階,1台
レインボーランド八幡店,京都府八幡市八幡一ノ坪２３－１ イズミヤ八幡,1台
アミパラ京都南店,京都府向日市森本町１５－７ うきわくシティ２Ｆ,1台
namcoアルプラザ城陽店,京都府城陽市富野荒見田112番地 アル・プラザ城陽4F,1台
平和堂アル・プラザ城陽,京都府城陽市富野荒見田１１２ アル・プラザ城陽,1台
namcoアルプラザ宇治東店,京都府宇治市莵道28-1 アル・プラザ宇治東3F,1台
ナムコランドミップル店,京都府宮津市字浜町３０１２ 宮津シーサイドマートＭｉｐｐｌｅ５階,1台
アミュージアム木津川店,京都府木津川市州見台1-1-1-1,1台
モーリーファンタジー高の原店,京都府木津川市相楽台１－１－１ イオン高の原４階,3台
平和堂アル・プラザ木津,京都府木津川市相楽城西１５ アル・プラザ木津,1台
モーリーファンタジー福知山店,京都府福知山市岩井７９－８ イオン福知山２階,2台
モーリーファンタジー綾部店,京都府綾部市綾中町花ノ木30 バザールタウン綾部2F,1台
ナムコランドらぽーる,京都府舞鶴市南浜町２７－５ らぽーる３Ｆ,1台
レインボーランド長岡店,京都府長岡京市開田４丁目７番１号 イズミヤ長岡２階,1台
ビバーチ久御山店,京都府久世郡久御山町森小大内３０１ イオンタウン久御山,1台
モーリーファンタジー久御山店,京都府久世郡久御山町森南大内１５６－１ イオンモール久御山２階,3台
アピタ精華台店,京都府相楽郡精華町精華台9-2-4 アピタ精華台,1台
ジョイパーク精華台,京都府相楽郡精華町精華台9-2-4 アピタ精華台西館2階,1台
