店名,住所,台数
ソニックワールド伊万里店,佐賀県伊万里市二里町八谷搦１８９番地３ ソニックワールド伊万里,1台
namcoゆめタウン佐賀店,佐賀県佐賀市兵庫町兵庫北土地区画整理地内２２街区 ゆめタウン佐賀２Ｆ,2台
アミパラ佐賀,佐賀県佐賀市巨勢町大字牛島７３０ モラージュ佐賀南館１Ｆ,1台
モーリーファンタジー佐賀大和店,佐賀県佐賀市大和町大字尼寺３５３５番地 イオン佐賀大和２階,2台
モーリーファンタジー佐賀店,佐賀県佐賀市東与賀町大字下古賀字一本杉87番地1 イオンスーパーセンター佐賀1階,2台
遊道楽嘉瀬店,佐賀県佐賀市嘉瀬町大字中原２４８８－１ 遊道楽嘉瀬,1台
MrMax唐津,佐賀県唐津市鏡３７１６ ＭｒＭａｘ唐津,1台
モーリーファンタジー唐津店,佐賀県唐津市鏡字立神４６７１ イオン唐津２階,3台
ゆめタウン武雄ゆめキッズ,佐賀県武雄市武雄町武雄４９９２ ゆめタウン武雄２Ｆユメキッズ,1台
ＡＧスクエア佐賀武雄店,佐賀県武雄市武雄町富岡１２５１７－１ アクロスプラザ武雄,1台
楽市楽座鳥栖店,佐賀県鳥栖市本鳥栖町下鳥栖５３７－１ フレスポ鳥栖２階,1台
MrMax北茂安店,佐賀県三養基郡みやき町大字白壁２２２８ ＭｒＭａｘ北茂安,1台
イオン上峰店,佐賀県三養基郡上峰町大字坊所１５５１－１ イオン上峰,1台
