店名,住所,台数
ハローズガーデン新三田店,兵庫県三田市けやき台１－６－４ イオン三田ウッディタウンイオン２,1台
プラザパル三田店,兵庫県三田市けやき台１－６－２ イオン三田ウッディタウン一番館３階,1台
ゆめタウンジョイポイントニシダヤ,兵庫県丹波市氷上町本郷300 ゆめタウン1F,1台
アミューズメントパーク宝島 氷上店,兵庫県丹波市氷上町本郷300 ゆめタウン氷上2階,1台
レインボーランド昆陽店,兵庫県伊丹市池尻１－１ イズミヤ昆陽,1台
ハローズガーデン広畑店,兵庫県兵庫県姫路市広畑区夢前町1-1-1,1台
モーリーファンタジー南淡路店,兵庫県南あわじ市賀集八幡北字東内３７８－１ イオン南淡路１階,1台
ふぇすたらんど広畑店,兵庫県姫路市広畑区吾妻町３－２９－２ マルナカ広畑２階ゲ－ムコ－ナ－,1台
ゆめパーク姫路店,兵庫県姫路市神子岡前3丁目12‐17 4F,1台
アピナ姫路,兵庫県姫路市東郷町1454-3 姫路リオス2F,1台
ハローズガーデン姫路店,兵庫県姫路市増位本町２－１２－１０ イオン姫路２階,1台
ふぇすたらんど小野店,兵庫県小野市王子町868-1 イオン小野店2F,1台
セガあまがさきキューズモール,兵庫県尼崎市潮江１－３－１ あまがさきキューズモール４Ｆ,2台
平和堂アル・プラザあまがさき,兵庫県尼崎市潮江１－３－１ あまがさきキューズモール,1台
きゃらんどスーパーシティ明石店,兵庫県明石市二見町西二見駅前１－１８ イトーヨーカドー明石３Ｆ,2台
namcoイオンモール神戸南店,兵庫県神戸市兵庫区中之島2-1-1,1台
アルゴ,兵庫県神戸市中央区下山手通１－１－８ アルゴ,1台
タイトーFステーション三宮,兵庫県神戸市中央区三宮町２－１１－１ 神戸センタープラザ３Ｆ,2台
ダイエー甲南店,兵庫県神戸市東灘区本山南町8-7-18,1台
モーリーファンタジー神戸北店,兵庫県神戸市北区上津台8-1-1 イオン神戸北,2台
モーリーファンタジー長田南店,兵庫県神戸市長田区東尻池新町１－２０ イオン長田南ショッピングセンター２階,2台
namco豊岡店,兵庫県豊岡市中陰字大工617 3F namco豊岡店,1台
