店名,住所,台数
モーリーファンタジー三笠店,北海道三笠市岡山１０５９－１ イオン三笠１階,2台
イオン伊達店,北海道伊達市末永町８－１ イオン伊達,1台
ディノスパーク伊達店,北海道伊達市末永町66番地1 ディノスパーク伊達,1台
MEGAドン・キホーテ函館店,北海道函館市美原１－７－１ ＭＥＧＡドン・キホーテ函館,1台
ぷれいらんど373函館店,北海道函館市美原１－７－１ ＭＥＧＡドン・キホーテ函館２階,1台
イトーヨーカドー函館店,北海道函館市美原１－３－１ イトーヨーカドー函館,2台
ディノスパーク函館昭和,北海道函館市昭和３丁目２４－１８ ゲオパーク函館昭和１階,2台
トイザらス函館店,北海道函館市石川町５２－１５ ＣＥＮＴＲＥＭＡＲＵＹＡＭＡ,1台
モーリーファンタジー湯川店,北海道函館市湯川町3-14-5 イオン湯川2F,1台
ディノスパーク上磯,北海道北斗市七重浜７－１４－１ スーパーセンタートライアル上磯,1台
モーリーファンタジーイオン上磯店,北海道北斗市七重浜４－４４－１ イオン上磯,2台
ディノスパーク北見,北海道北見市西三輪５―１―１６ ディノスパーク北見,1台
東武端野店アミューズメントシティ,北海道北見市端野町三区５７２－１ 東武イーストモール橋野,1台
アピナ新千歳空港店,北海道千歳市美々１２９２番地３３ アピナ新千歳空港４Ｆ,1台
イオン千歳キッズ・パーク,北海道千歳市栄町６－６１ イオン千歳,1台
イオン千歳店,北海道千歳市栄町６－５１ イオン千歳,1台
モーリーファンタジー名寄店,北海道名寄市字徳田８０番地１ イオン名寄ショッピングセンター２階,1台
イオン室蘭アミューズメントランド,北海道室蘭市東町２丁目 イオン室蘭,1台
ディノスパーク室蘭中央,北海道室蘭市中央町1-8,1台
イオン小樽店,北海道小樽市築港１１－６ ウイングベイ小樽,1台
ナムコランド小樽,北海道小樽市築港１１番５号 ウイングベイ小樽２階,1台
長崎屋小樽店,北海道小樽市稲穂２－２０－１ 長崎屋小樽,1台
イオン帯広キッズ・パーク,北海道帯広市西４条南２０丁目 イオン帯広,1台
イトーヨーカドー帯広店,北海道帯広市稲田町南８線西１０－１ イトーヨーカドー帯広,2台
ディノスパーク帯広,北海道帯広市白樺１６条西２丁目 ドリームタウン白樺,1台
ディノスパーク帯広稲田,北海道帯広市稲田町南８線西１２－１ 帯広スズランボウル,1台
ファンタジープラザ帯広店,北海道帯広市西四条南１２－３ 長崎屋帯広２階,1台
イトーヨーカドー恵庭店,北海道恵庭市恵み野西２－１ イトーヨーカドー恵庭,1台
MEGAドン・キホーテ旭川店,北海道旭川市春光１条８－１－６５ ＭＥＧＡドン・キホーテ旭川,1台
SOYU Game Field 旭川西店,北海道旭川市緑町２３－２１６１－３ イオン旭川西３階,1台
おもちゃのヨシダ,北海道旭川市本町３－４３７－２３８ おもちゃのヨシダ,1台
ソユーゲームフィールド旭川駅前,北海道旭川市宮下通７－２－５ イオンモール旭川駅前４階,1台
ディノスパーク旭川,北海道旭川市大雪通り５丁目４９６－５ ディノスパーク旭川,1台
モーリーファンタジー旭川パルプ店,北海道旭川市パルプ町1条2丁目505番2 ショッピングセンターパルプタウン1F,2台
モーリーファンタジー旭川西店,北海道旭川市緑町２３－２１６１－３ イオン旭川西２階,4台
遊ランド西御料店,北海道旭川市西御料５条２丁目６４－１９ 遊ランド西御料,1台
MAXIM HERO,北海道札幌市北区北六条西６丁目 ＪＲ札幌駅高架下,1台
SOYU Game Field札幌苗穂店,北海道札幌市東区東苗穂二条３－１－１ イオン札幌苗穂１階,1台
namco札幌エスタ店,北海道札幌市中央区北5条西2丁目1番地1 札幌エスタ9階,4台
げーむぱーくぎゃらくしー,北海道札幌市白石区東札幌三条１丁目１－１ イーアス札幌２Ｆ,1台
げーむぱーくぎゃらくしー西友西町店,北海道札幌市西区西町南6-1-1,1台
アドアーズ札幌北42条店,北海道札幌市東区北42条東7丁目1-1,1台
イオン札幌藻岩店,北海道札幌市南区川沿２条２－１－１ イオン札幌藻岩,1台
イトーヨーカドー　アリオ内札幌店,北海道札幌市東区北７条東９－２－２０ アリオ札幌,2台
イトーヨーカドー屯田グルグル,北海道札幌市北区屯田８条３－５－１ イトーヨカドー屯田,1台
イトーヨーカドー屯田店,北海道札幌市北区屯田八条３－５－１ イトーヨカドー屯田,1台
イトーヨーカドー琴似店,北海道札幌市西区琴似２条１－４－１ イトーヨーカドー琴似,1台
イトーヨーカドー福住店,北海道札幌市豊平区福住二条１－２－５ イトーヨーカドー福住,2台
エブリデイFUNハウスアリオ札幌店,北海道札幌市東区北７条東９丁目２番２０号 アリオ札幌,1台
キャッツアイ新川店,北海道札幌市北区新川二条７丁目１－７ キャッツアイ新川,2台
キャッツアイ新札幌店,北海道札幌市厚別区厚別東五条１丁目２９８－７ キャッツアイ新札幌,2台
キャッツアイ清田店,北海道札幌市清田区清田一条一丁目２０－１ キャッツアイ清田,1台
キャッツアイ篠路店,北海道札幌市北区篠路一条４丁目６－３０ キャッツアイ篠路,1台
ゲームランド新さっぽろ店,北海道札幌市厚別区厚別中央二条5丁目 カテプリさっぽろ 3F,2台
ソユーゲームフィールド札幌発寒店,北海道札幌市西区発寒八条１２－１－１ イオン札幌発寒ＳＣ３Ｆ,2台
タイトーステーション　イオン札幌平岡店,北海道札幌市清田区平岡三条５－２７６－１ イオン札幌平岡２Ｆ,1台
タイトーステーション札幌狸小路2丁目店,北海道札幌市中央区南三条西2-14,1台
ディノスパーク札幌手稲店,北海道札幌市手稲区前田１条１１丁目 ディノスパーク札幌手稲３階,2台
ビックカメラ札幌店,北海道札幌市中央区北５条西２－１ 札幌エスタ,2台
ファンタジーキッズーナ札幌店,北海道札幌市白石区東札幌三条1-1-1 イーアス札幌2階,2台
モーリーファンタジー手稲山口店,北海道札幌市手稲区明日風６丁目１番１号 イオンスーパーセンター手稲山口１階,1台
モーリーファンタジー星置店,北海道札幌市手稲区星置1条2丁目 ラッキー星置駅前,1台
モーリーファンタジー札幌元町店,北海道札幌市東区北３１条東１５丁目１－１ イオン札幌元町３階,4台
モーリーファンタジー札幌平岡店,北海道札幌市清田区平岡３条５丁目３－１ イオン札幌平岡２階,4台
モーリーファンタジー札幌桑園店,北海道札幌市中央区北８条西１４丁目２８番地 イオン札幌桑園２階,2台
モーリーファンタジー札幌琴似店,北海道札幌市西区琴似2条4-2-2,2台
モーリーファンタジー札幌発寒店,北海道札幌市西区発寒８条１２丁目１－１ イオン札幌発寒ＳＣ３階,2台
モーリーファンタジー札幌苗穂店,北海道札幌市東区東苗穂２条３－１－１ イオン札幌苗穂,4台
モーリーファンタジー札幌麻生店,北海道札幌市北区北39条西4-1-5 ダイエー麻生4F,2台
モーリーファンタジー東札幌店,北海道札幌市白石区東札幌3条2-1 イオン東札幌2F,1台
ヨドバシカメラマルチメディア札幌,北海道札幌市北区北６条西５－１－２２ ヨドバシカメラマルチメディア札幌,2台
西友厚別店,北海道札幌市厚別区厚別西４条６－７００－１２６ 西友厚別,1台
ｎａｍｃｏサッポロファクトリー店,北海道札幌市中央区北１条東４丁目１番地１ サッポロファクトリー,1台
モーリーファンタジー江別店,北海道江別市幸町３５ イオン江別３階,2台
PALO滝川店,北海道滝川市東町2-29-1 イオン滝川1階,1台
モーリーファンタジー登別店,北海道登別市若山町４－３３－１ イオン登別３階,2台
モーリーファンタジー石狩緑苑台店,北海道石狩市緑苑台中央１丁目２番 イオンスーパーセンター石狩緑苑台１階,2台
光速憧路,北海道稚内市港５－８－１５ 光速憧路,1台
西條 稚内店,北海道稚内市大黒４－７－１ 西條稚内,1台
PALO網走店,北海道網走市駒場北5-83 駒場ショッピングタウン,1台
PALO苫小牧,北海道苫小牧市糸井135-1 トライアル苫小牧G棟,1台
ディノスパーク苫小牧,北海道苫小牧市柳町３丁目１－２０ イオン苫小牧２階,1台
モーリーファンタジー苫小牧店,北海道苫小牧市柳町３－１－２０ イオン苫小牧２階,4台
イトーヨーカドー釧路店,北海道釧路市新橋大通６－２ イトーヨーカドー釧路,1台
タイトーステーションイオン釧路昭和店,北海道釧路市昭和中央４－１８－１ イオン釧路昭和２Ｆ,1台
モーリーファンタジー釧路昭和店,北海道釧路市昭和中央４－１８－１ イオン釧路昭和２階,2台
モーリーファンタジー中標津店,北海道標津郡中標津町南町3-10 東部サウスヒルズ1階,2台
PALO釧路店,北海道釧路郡釧路町桂木１－１－７ イオン釧路２階,3台
