店名,住所,台数
アミュージアムユーカリが丘店,千葉県佐倉市ユーカリが丘４－１－４ ユーカリプラザ５階,2台
ナムコ イオンタウンユーカリが丘店ゲームコーナー,千葉県佐倉市ユーカリが丘6-12,1台
モーリーファンタジーユーカリが丘店,千葉県佐倉市ユーカリが丘7-3-14 イオンスタイルユーカリが丘店3階,2台
namcoイオンモール八千代緑が丘店,千葉県八千代市緑が丘二丁目1番3 イオン八千代緑が丘4F,1台
イトーヨーカドー八千代店,千葉県八千代市村上南１－３－１ イトーヨーカドー八千代,2台
イトーヨーカドー八千代店キッズ・パーク,千葉県八千代市村上４００１番地４ イトーヨーカドー八千代３階,1台
キャッツアイ八千代店,千葉県八千代市吉橋１８５ １ｉｓｍトライアル緑ケ丘,1台
モーリーファンタジー八千代緑が丘店,千葉県八千代市緑が丘２丁目１－３ イオン八千代緑が丘４階,3台
モーリーファンタジー八街店,千葉県八街市文違３０１ イオン八街１階,2台
NICOPAマリンピア店,千葉県千葉市美浜区高洲３－１３－１ イオンマリンピア４Ｆ,2台
SEGAARENASOGA,千葉県千葉市中央区川崎町５１－１ 蘇我ハーバーシティフェスティバルウォーク１Ｆ,1台
namcoイオンモール幕張新都心店,千葉県千葉市美浜区豊砂１－１ イオンモール幕張新都心グランドモール３階,1台
そごう 千葉店 本館6階玩具売場,千葉県千葉市中央区新町１０００ そごう千葉,1台
アミュージアム稲毛店,千葉県千葉市稲毛区小仲台１－４－２０ イオン稲毛２Ｆ,2台
アミューズメントパフェパレパレ千葉稲毛,千葉県千葉市稲毛区長沼原町７３７－２５ フレスポ稲毛Ａ棟－４,1台
イトーヨーカドー　アリオ内蘇我店,千葉県千葉市中央区川崎町５２－７ アリオ蘇我,3台
イトーヨーカドー幕張店,千葉県千葉市花見川区幕張町４－４１７－２５ イトーヨーカドー幕張,1台
スポーツウェーブ鉄腕24浜野店,千葉県千葉市中央区 スポーツウェーブ鉄腕２４,2台
スポーツウェーブ鉄腕24稲毛長沼店,千葉県千葉市稲毛区長沼原町６９４ スポーツウェーブ鉄腕２４稲毛長沼,1台
ソピア幕張店,千葉県千葉市花見川区幕張町４－４１７－２５ イトーヨーカドー幕張２階,1台
タイトーステーションアリオ蘇我店,千葉県千葉市中央区川崎町５２－７ アリオ蘇我２階,1台
トイザらス千葉長沼店,千葉県千葉市稲毛区長沼町３３０－５０ ワンズモール１Ｆ,1台
ナムコランドおゆみ野店,千葉県千葉市緑区おゆみ野中央２－３－１ ＭｒＭａｘおゆみ野,1台
ファンタジープラザ千城台店,千葉県千葉市若葉区千城台北３－２１－１ ラパーク千城台３階,1台
プレビ ミスターマックス千葉美浜店,千葉県千葉市美浜区新港32-11,1台
プレビイオン幕張,千葉県千葉市美浜区ひび野1-3 イオン幕張店2階,1台
モーリーファンタジーあすみが丘,千葉県千葉市緑区あすみが丘7-1 あすみが丘ブランニューモール,1台
モーリーファンタジーおゆみ野店,千葉県千葉市緑区おゆみ野南５丁目３７－１ イオンタウンおゆみ野２階,3台
モーリーファンタジー千葉長沼店,千葉県千葉市稲毛区長沼町３３０－５０ ワンズモール１Ｆ,2台
モーリーファンタジー幕張新都心店,千葉県千葉市美浜区豊砂１－５ イオンモール幕張新都心ファミリーモール２階,2台
モーリーファンタジー鎌取店,千葉県千葉市緑区おゆみ野３丁目１６番地 ゆみーる鎌取ショッピングセンター４階,2台
ヨドバシカメラ千葉店,千葉県千葉市中央区富士見２－３－１ ヨドバシカメラ千葉,2台
ＣＬＵＢＳＥＧＡ幕張,千葉県千葉市美浜区ひび野１－８ メッセアミューズモール１階,1台
ＣＬＵＢＳＥＧＡ稲毛オーツーパーク,千葉県千葉市稲毛区園生町３８０－１ オーツパーク,1台
ダイエー松戸西口店ゲームコーナー,千葉県千葉県松戸市根本4-2 ダイエー松戸西口店5F,1台
ゲームランド千葉ニュータウン店,千葉県印西市中央北３丁目３番 イオン千葉ニュータウン２階,1台
ジョイプラザ印西店,千葉県印西市原１－２ ビックホップガーデンモール印西２階,1台
モーリーファンタジー千葉ニュータウン店,千葉県印西市中央北３丁目１番１ イオン千葉ニュータウン３階,3台
ぷれいらんど373四街道店,千葉県四街道市めいわ２－１－１ ＭＥＧＡドン・キホーテ四街道２階,1台
イトーヨーカドー四街道店,千葉県四街道市中央５ イトーヨーカドー四街道,2台
ポニー四街道店,千葉県四街道市中央５番地 イトーヨーカドー四街道２Ｆ,1台
プラサカプコン富津店,千葉県富津市青木１２４－１ イオンモール富津,1台
ファンタジープラザ成東,千葉県山武市成東１８０８－１ ＭＥＧＡドン・キホーテラパーク成東２階,1台
千葉レジャーランド成東店,千葉県山武市姫島１１１－１ 千葉レジャーランド成東,1台
こころっこ姉崎店,千葉県市原市姉崎645-1 イトーヨーカドー姉崎店3階プレビプレイランドコーナー,1台
アピタ市原店,千葉県市原市青柳喜多１－１ アピタ市原,1台
イスカンダル五井金杉店,千葉県市原市 五井金杉1-47-1,1台
イトーヨーカドーアリオ内 市原店,千葉県市原市更級四丁目３ 番２ アリオ市原,1台
イトーヨーカドー姉崎店,千葉県市原市姉崎６４５－１ イトーヨーカドー姉崎,1台
トムソーヤのなかまたち,千葉県市原市更級４－３－１ アリオ市原２Ｆ,1台
ハローズガーデン市原店,千葉県市原市青柳北１－１ アピタ市原２階,1台
プラサカプコンちはら台店,千葉県市原市ちはら台西３－４ ｕｎｉｍｏちはら台ショッピングセンター２階,2台
PALO市川店,千葉県市川市鬼高1-1-1 ニッケコルトンプラザ2階,3台
タイトーＦステーション市川妙典店,千葉県市川市妙典４－１－１ イオン市川妙典２番街２階,1台
ダイエーいちかわコルトンプラザ店,千葉県市川市鬼高1-1-1 ニッケコルトンプラザ,1台
トイザらス・ベビーザらス市川店,千葉県市川市鬼高１－１－１ ニッケコルトンプラザ２Ｆ,1台
モーリーファンタジー南行徳店,千葉県市川市南行徳２－２０－２５ ダイエー南行徳２Ｆ,2台
モーリーファンタジー市川妙典店,千葉県市川市妙典５－３－１ イオン市川妙典３階,2台
NICOPAイオンタウン成田富里店,千葉県成田市東町１３３ イオンタウン成田富里２Ｆ,1台
イトーヨーカドー成田店,千葉県成田市公津の杜４－５－３ 成田ユアエルム,1台
テクモピアロックダム公津の杜店,千葉県成田市公津の杜４－５－３ 成田ユアエルム３階,2台
プラサカプコン成田店,千葉県成田市ウイング土屋２４ イオン成田２階,2台
モーリーファンタジー成田店,千葉県成田市ウイング土屋24番地 イオン成田2階,3台
あびこショッピングプラザ　ナムコランド,千葉県我孫子市我孫子４－１１－１ イトーヨーカドー我孫子３Ｆ,1台
イトーヨーカドー我孫子店,千葉県我孫子市我孫子４－１１－１ イトーヨーカドー我孫子,1台
セガワールド我孫子,千葉県我孫子市柴崎４７－１ セガワールド我孫子,1台
セガワールド旭,千葉県旭市ニ３１５０－１ セガワールド旭,1台
タイトーステーション旭サンモール店,千葉県旭市イ－２６７６－１ イオン旭３Ｆ,1台
BANDAI ａｓｏｂｉ：木更津店,千葉県木更津市中島３９８ 三井アウトレットパーク木更津,1台
GAME&GO!KISARAZU,千葉県木更津市太田２－５－１ 精文館書木更津店内ゲームコーナー,1台
アピタ木更津店,千葉県木更津市ほたる野４－２－４８ アピタ木更津,2台
イオンタウン木更津朝日店,千葉県木更津市朝日３－１０－１９ イオンタウン木更津朝日,1台
イスカンダル,千葉県木更津市潮見４－１－２ イスカンダル,1台
ソユーゲームフィールド木更津店,千葉県木更津市築地１番４ イオンモール木更津２階,1台
ハローズガーデン木更津店,千葉県木更津市ほたる野４－２－４８ アピタ木更津２階,1台
モーリーファンタジー木更津店,千葉県木更津市築地１－４ イオンモール木更津,2台
パラボランド  東金店,千葉県東金市東岩崎８－１０ サンピア３階,1台
イトーヨーカドー八柱店,千葉県松戸市日暮１－１５－８ イトーヨーカドー八柱,1台
イトーヨーカドー松戸店,千葉県松戸市松戸１１４９ イトーヨーカドー松戸,1台
トイザらス松戸店,千葉県松戸市二ツ木１７８１－２ プチモール二ツ木２Ｆ,1台
モーリーファンタジー五香店,千葉県松戸市五香8-44-6 オウル五香1F,1台
モーリーファンタジー新松戸店,千葉県松戸市新松戸３－２－２ ダイエー新松戸,1台
東京ガリバー松戸店,千葉県松戸市松戸１２３０－１ ピアザ松戸２階,4台
西友常盤平店,千葉県松戸市常盤平３－１１－１ 西友常盤平,1台
SUPERWAVE柏店,千葉県柏市十余二２４９－５ ＳＵＰＥＲＷＡＶＥ柏,2台
ぷれいらんど３７３ららぽーと柏の葉,千葉県柏市若柴１７５ ららぽーと柏の葉３階,2台
イトーヨーカドーアリオ柏店,千葉県柏市大島田950-1,2台
タイトーFステーションPAZ新柏店,千葉県柏市名戸ヶ谷字中久保８８８番１号 ＰＡＺ新柏２Ｆ,1台
タイトーステーションセブンパークアリオ柏店,千葉県柏市大島田950-1 セブンパークアリオ柏店3F,1台
タイトーステーション柏店,千葉県柏市柏２－３－１ フーサワビル,2台
ビックカメラ柏店,千葉県柏市柏１－１－２０ スカイプラザ柏,1台
モラージュ柏キッズパーク,千葉県柏市大山台２丁目３番地 モラージュ柏,1台
モーリーファンタジー柏店,千葉県柏市豊町２丁目２番２５号 イオンモール柏２階,3台
ラウンドワンスタジアム アリオ柏店,千葉県柏市大島田950-1 セブンパークアリオ柏 1070,2台
For kids'+b byこぐま 流山おおたかの森S・C店,千葉県流山市西初石6-185-2 流山おおたかの森S・C 3F,1台
namco流山おおたかの森S・C店,千葉県流山市西初石六丁目１８５番２号 おおたかの森ＳＣ,2台
イトーヨーカドー流山店,千葉県流山市流山９－８００－２ イトーヨーカドー流山,1台
ハロータイトー流山,千葉県流山市流山９丁目８００２号 イトーヨーカドー流山,1台
イオン新浦安店,千葉県浦安市入船１－４－１ ダイエー新浦安,1台
宝島新浦安店,千葉県浦安市入船1-4-1 イオン新浦安4階,2台
Morisia Amuse Park,千葉県習志野市谷津1丁目16番1号 モリシア津田沼2階,1台
イトーヨーカドー津田沼店,千葉県習志野市津田沼１－１０－３０ イトーヨーカドー津田沼,1台
モーリーファンタジー東習志野店,千葉県習志野市東習志野６丁目７－８ イオンタウン東習志野１階,1台
モーリーファンタジー津田沼店,千葉県習志野市津田沼１－２３－１ イオン津田沼,3台
イオン高根木戸店,千葉県船橋市習志野台１－１－３ イオン高根木戸,1台
イトーヨーカドー船橋店,千葉県船橋市本町７－６－１ イトーヨーカドー船橋,2台
セガららぽーとTOKYO-BAY,千葉県船橋市浜町２－１－１ ららぽーとＴＯＫＹＯ－ＢＡＹ１Ｆ,1台
タイトーステーション 船橋,千葉県船橋市本町１丁目６－１ タイトーステーション船橋,1台
テクモピア船橋店,千葉県船橋市浜町２－２－７ ビビット南船橋４階,2台
ファンファン北習志野店,千葉県船橋市習志野台２－６－１７ パチンコ遊戯座２Ｆ,1台
マリンガーデンららぽーとTOKYO-BAY,千葉県船橋市浜町２－２－２ ららぽーとＴＯＫＹＯ－ＢＡＹ西館３Ｆ,2台
モーリーファンタジー船橋店,千葉県船橋市山手１－１－８ イオン船橋３階,4台
ｎａｍｃｏイオンモール船橋店,千葉県船橋市山手１丁目１番８号 イオン船橋,1台
GAME SQUARE茂原,千葉県茂原市 六ツ野八貫野 ２７８５－１ ライフガーデン茂原,1台
タイトーステーション茂原アスモ店,千葉県茂原市高師１７３５ 茂原ショッピングプラザアスモ２Ｆ,1台
ビバ・サーカス茂原店,千葉県茂原市高師１７３５ 茂原ショッピングプラザアスモ２階,1台
モーリーファンタジー長浦店,千葉県袖ケ浦市長浦駅前1-7 ダイエー長浦,2台
YAZWORLD野田七光台,千葉県野田市七光台4-2 イオンタウン野田七光台,1台
モーリーファンタジーノア店,千葉県野田市中根３６－１ イオンノア１階,3台
千葉レジャーランド野田店,千葉県野田市吉春鎌田７７６－１ 千葉レジャーランド野田,1台
セガイオンモール銚子,千葉県銚子市三崎町2-2660-1 イオンモール銚子2F,1台
モーリーファンタジー銚子店,千葉県銚子市三崎町２丁目２６６０－１ イオン銚子２階,3台
WonderGOO鎌ヶ谷店,千葉県鎌ヶ谷市東鎌ヶ谷１－６ ＷｏｎｄｅｒＧＯＯ鎌ヶ谷,1台
にこぱアクロスモール新鎌ヶ谷店,千葉県鎌ヶ谷市初富９２８ アクロスモール新鎌ヶ谷,1台
モーリーファンタジー鎌ヶ谷店,千葉県鎌ヶ谷市新鎌ケ谷２－７－１ イオン鎌ヶ谷,3台
モーリーファンタジー館山店,千葉県館山市八幡５４５－１ イオン館山１階,2台
イオン鴨川店,千葉県鴨川市横渚９７３－１ イオン鴨川,1台
スコナランド酒々井店,千葉県印旛郡酒々井町本佐倉457-2 トライアル酒々井店2F,1台
ファミリーランド 長生店,千葉県長生郡長生村大字金田３２３７ ベイシア長生,1台
