店名,住所,台数
セガワールド中津,大分県中津市沖代町１－２－１６ セガワールド中津,1台
ピノキオランド中津店,大分県中津市　下池永１５０－１ トライアル中津１Ｆ,1台
トキハインダストリー佐伯店ナムコランド,大分県佐伯市池田２０６４ トキハインダストリー佐伯２Ｆ,1台
ＦＥＳＴＡコスモタウン佐伯店,大分県佐伯市脇津留コスモタウンＣ－４街区Ｂ－１ コスモタウン佐伯,1台
ゆめタウン別府店ＢＩＧＷＡＶＥ,大分県別府市楠町３８２－６ ゆめタウン別府,1台
namco  トキハ本店,大分県大分市府内町２－１－４ トキハ本店６階,2台
namcoトキハわさだタウン店,大分県大分市大字玉沢字楠本755-1 トキハわさだタウン2F,1台
namco明野店,大分県大分市明野東1-1-1 あけのアクロスタウン4F,1台
アムス大在ナムコランド,大分県大分市大在浜２－１－１ トキハインダストリーアムス大在,1台
イオン高城店,大分県大分市高城西町２８－１ イオン高城,1台
セガワールド高城,大分県大分市牧１－１６１－８ セガワールド高城,3台
タイトーFステーション セントポルタ大分店,大分県大分市中央町2‐1-1,1台
タイトーステーションアミュプラザおおいた,大分県大分市要町１－１４ アミュプラザおおいた４階,1台
プラサカプコン大分店,大分県大分市公園通り西２－１ イオンパークプレイス大分２階,2台
モーリーファンタジーパークプレイス大分店,大分県大分市公園通り西２丁目－１ イオンパークプレイス大分２階,3台
ＦＥＳＴＡフリーモールわさだ店,大分県大分市木上鉾手２１０２ ＦＥＳＴＡフリーモールわさだ,1台
メルクス宇佐ナムコランド店,大分県宇佐市法鏡寺５００ ハイパーモールメルクス宇佐,1台
モーリーファンタジー日田店,大分県日田市南元町14-22 イオン日田2F,2台
モーリーファンタジー挾間店,大分県由布市挾間町北方７７番地 イオン挾間ショッピングセンター２階,1台
にこにこらんど臼杵店,大分県臼杵市江無田２６６－５ サンリブ臼杵２Ｆ,1台
ピノキオランド三重店,大分県豊後大野市三重町赤嶺字角神９９２ トライアル三重２Ｆ,1台
