店名,住所,台数
ビックカメラ あべのキューズモール店,大阪府阿倍野区阿倍野筋1-6-1 あべのキューズモール内3階,1台
イトーヨーカドー　アリオ内八尾店,大阪府八尾市光町２－３ アリオ八尾,2台
レインボーランド八尾店,大阪府八尾市沼１丁目１番地 イズミヤ八尾１階,1台
エンターテイメントフィールド ららぽーとEXPOCITY店,大阪府吹田市千里万博公園２－１ ららぽーとＥＸＰＯＣＩＴＹ３Ｆ,1台
トイザらス阪急山田店,大阪府吹田市山田西４－１－２ デュー阪急山田４Ｆ,1台
モーリーファンタジー南千里店,大阪府吹田市千里山西６－５６－１ イオン南千里４階,2台
モーリーファンタジー吹田店,大阪府吹田市朝日町2番101号 ダイエー吹田4F,2台
レインボーランド千里丘店,大阪府吹田市山田南１番１号 イズミヤ千里丘２階レインボーランド千里丘店,1台
きゃらんど和泉,大阪府和泉市あゆみ野４－４－７ ららぽーと和泉２階,1台
スーパーセンターオークワ和泉納花店,大阪府和泉市納花町３１３ スーパーセンターオークワ和泉納花,1台
モーリーファンタジー和泉府中店,大阪府和泉市肥子町２－２－１ イオン和泉府中４階,2台
ラウンドワンららぽーと和泉店,大阪府和泉市あゆみ野４－４－７ ４階 ららぽーと和泉,2台
レインボーランド和泉中央店,大阪府和泉市いぶき野５丁目１番１１号 エコール和泉３階,1台
モーリーファンタジー四條畷店,大阪府四條畷市砂４丁目３番２号 イオン四條畷３Ｆ,2台
楽市楽座イオンモール四條畷店,大阪府四條畷市砂４－３－２ イオン四條畷３階,1台
にこぱ原山台店,大阪府堺市南区原山台５－９－８ クロスモール,1台
ぷれいらんど３７３泉ヶ丘店,大阪府堺市南区三原台１―１―３ ジョイパーク泉ヶ丘１階,1台
イトーヨーカドー　アリオ内鳳店,大阪府堺市西区鳳南町３－１９９－１２ アリオ鳳,2台
イトーヨーカドー津久野店,大阪府堺市西区下田町２０－１ イトーヨーカドー津久野,1台
ゲームパニック堺,大阪府堺市堺区築港八幡町1番地1 堺浜シーサイドステージ内堺浜えんため館,2台
ソユーゲームフィールド堺鉄砲町店,大阪府堺市堺区鉄砲町1番地 イオンモール堺鉄砲町3階,1台
トイザらス堺店,大阪府堺市北区長曽根町１９２１ トイザらス堺,1台
ナムコランド鳳,大阪府堺市西区鳳南町３－１９９－１２ アリオ鳳３Ｆ　３２８０,3台
ハローズガーデン津久野店,大阪府堺市西区下田町２０－１ イトーヨーカドー津久野２Ｆ,1台
ハローズガーデン鳳店,大阪府堺市西区鳳南町３－１９９－１２ アリオ鳳３Ｆ,1台
モーリーファンタジーおおとり店,大阪府堺市西区鳳東町７－７３３ おおとりウィングス２階,1台
モーリーファンタジー堺北花田店,大阪府堺市北区東浅香山町４－１－１２ イオン堺北花田２階,3台
モーリーファンタジー堺鉄砲町店,大阪府堺市堺区鉄砲町1 イオンスタイル堺鉄砲町3階,1台
モーリーファンタジー新金岡店,大阪府堺市北区新金岡町４－１－１１ イオン新金岡３階,1台
ラウンドワンスタジアム堺中央環状店,大阪府堺市東区石原町２町２４１番 ラウンドワンスタジアム堺中央環状,1台
レインボーランド泉北店,大阪府堺市中区小阪２７０ イズミヤ泉北２階,1台
タイトーFステーション住道店,大阪府大東市赤井１－４－３ ポップタウン住道３Ｆ,1台
MEGAドン・キホーテ深江橋店,大阪府大阪市東成区深江北１－１３ ＭＥＧＡドン・キホーテ深江橋,1台
NICOPAベルファ都島店,大阪府大阪市都島区友渕２－１３－３４ ベルファ都島３Ｆ,1台
PALO京橋店,大阪府大阪市都島区片町2-3-51 イオン京橋2・3階,2台
namcoなんばパークス店,大阪府大阪市浪速区難波中2丁目10番70号 なんばパークス6F,1台
namcoイオンモール鶴見緑地店,大阪府大阪市鶴見区鶴見４－１７－１－４２１ イオンモール鶴見４Ｆ,2台
namco大阪日本橋店,大阪府大阪市浪速区難波中2-1-17 コスモビル,4台
namco梅田,大阪府大阪市北区小松原町３番３号 ＯＳビル２Ｆナムコシティ内,4台
あべのハルカス近鉄本店(ナムコゲームコーナー),大阪府大阪市阿倍野区阿倍野筋1-1-43 あべのハルカス近鉄本店ウイング館2階,1台
かみしんプラザアミューズパーク,大阪府大阪市東淀川区大隅1-6-12,1台
イトーヨーカドーあべの店,大阪府大阪市阿倍野区阿倍野筋１－６－１ あべのキューズタウン,2台
キャラポップストアあべのHOOP,大阪府大阪市阿倍野区阿倍野筋1-2-30,4台
セガあべのキューズモール,大阪府大阪市阿倍野区阿倍野筋１－６－１ あべのキューズタウン,2台
セガワールドアポロ,大阪府大阪市阿倍野区阿倍野筋１－５－３１ アポロビル３Ｆ,2台
セガ今福,大阪府大阪市城東区今福東１－９－３４ セガ今福,1台
タイトーステーション大阪日本橋店,大阪府大阪市浪速区日本橋４－９－１４ タイトーステーション大阪日本橋,1台
タイトーステーション梅三小路,大阪府大阪市北区梅田3丁目2-4,1台
タイトーステーション難波,大阪府大阪市中央区難波千日前１５－１２ タイトーステーション難波,1台
トイザらス住之江公園店,大阪府大阪市住之江区南加賀屋２－３－２３ トイザらス住之江公園,2台
ドン・キホーテ新世界店,大阪府大阪市浪速区恵美須東３－４－３６ ＭＥＧＡドン・キホーテ新世界,1台
ビックカメラなんば店,大阪府大阪市中央区千日前２－１０－１ ビックカメラなんば,2台
モーリーファンタジー京橋店,大阪府大阪市都島区片町2-3-51 イオン京橋4階,2台
モーリーファンタジー喜連瓜破駅前店,大阪府大阪市平野区瓜破２－１－１３ イオン喜連瓜破駅前３階,3台
モーリーファンタジー大阪ドームシティ店,大阪府大阪市西区千代崎３丁目１３番１ イオン大阪ドームシティ３階,4台
モーリーファンタジー野田阪神店,大阪府大阪市福島区海老江１－１－２３ イオン野田阪神４階,3台
モーリーファンタジー長吉店,大阪府大阪市平野区長吉長原西1-1-10 ダイエー長吉,2台
