店名,住所,台数
アピタ大和郡山店,奈良県大和郡山市田中町宮西５１７ アピタ大和郡山,1台
ハローズガーデン大和郡山店,奈良県大和郡山市田中町宮西５１７番地 アピタ大和郡山２階,1台
楽市楽座イオンモール大和郡山店,奈良県大和郡山市下三橋町７４１ イオンモール郡山３階,1台
モーリーファンタジー大和高田店,奈良県大和高田市幸町3番地6 オークタウン大和高田5F,2台
モーリーファンタジー天理店,奈良県天理市東井戸堂町３８１ イオンタウン天理１階,2台
モーリーファンタジー桜井店,奈良県桜井市上之庄２７８－１ イオン桜井２階,2台
SOYU Game Field 奈良橿原店,奈良県橿原市曲川町７－２０－１ イオンモール橿原３階,1台
モーリーファンタジー橿原店,奈良県橿原市曲川町7-20-1 イオンモール橿原2階,3台
アミューズメントパーク奈良登美ヶ丘店,奈良県生駒市鹿畑町３０２７ イオン奈良登美ヶ丘ＳＣ専門店街３階,1台
モーリーファンタジー登美ヶ丘店,奈良県生駒市鹿畑町３０２７番地 イオン奈良登美ヶ丘２階,2台
アピタ西大和店ゲームコーナー,奈良県北葛城郡上牧町大字上牧３０００－１ アピタ西大和,2台
レインボーランド広陵店,奈良県北葛城郡広陵町大字安部４５０番地１ イズミヤ広陵,1台
