店名,住所,台数
GAMEBANK仙台泉,宮城県仙台市泉区大沢２－５－４ ＧＡＭＥＢＡＮＫ仙台泉,1台
イトーヨーカドーアリオ仙台泉店,宮城県仙台市泉区泉中央1-5-1 アリオ仙台泉,1台
ビーカム松森店,宮城県仙台市泉区松森斎兵衛58-1 ビーカム松森,1台
モーリーファンタジー仙台中山店,宮城県仙台市泉区南中山1-35-40 イオン仙台中山,1台
こころっこ名取店,宮城県名取市愛島塩手字前野田４８－１０ ホームセンタームサシ名取２階プレビプレイランドコーナー,1台
モーリーファンタジー多賀城店,宮城県多賀城市町前４－１－１ イオン多賀城３階,3台
PALO古川店,宮城県大崎市古川沢田字筒場浦15 ザ・ビッグ古川店1F,1台
モーリーファンタジー気仙沼店,宮城県気仙沼市字赤岩舘下６－１外 イオン気仙沼２階,1台
ファミリーランド加賀野店,宮城県登米市中田町石森字加賀野３－６－１ 宮城生協加賀野店 １Ｆ,1台
イトーヨーカドー石巻あけぼの店,宮城県石巻市あけぼの１－１－２ イトーヨーカドー石巻あけぼの,1台
プラサカプコン石巻店,宮城県石巻市蛇田新金沼１７０ イオン石巻２階,1台
あそびの広場 新宝島 船岡店,宮城県柴田郡柴田町西船迫２－１－１５ イオン船岡２階,1台
ヨークベニマル大和吉岡店プレビプレイランド,宮城県黒川郡大和町吉岡東１－２－１ ヨークベニマル大和吉岡プレビプレイランドコーナー,1台
