店名,住所,台数
ピノキオランドえびの店,宮崎県えびの市向江５５４－１ ブラッセえびの,1台
namco宮交シティ,宮崎県宮崎市大淀４－６－２８ 宮交シティ３階,1台
ファミリーランドポニー小松台店,宮崎県宮崎市小松台南町１３－１ タイヨー小松台２階ゲームコーナー,1台
モーリーファンタジー南宮崎店,宮崎県宮崎市大淀4-7-30 イオン南宮崎,1台
モーリーファンタジー宮崎店,宮崎県宮崎市新別府町江口862-1 イオン宮崎,4台
ラウンドワンスタジアム宮崎店,宮崎県宮崎市中村東3丁目4-60,1台
楽市楽座イオンモール宮崎店,宮崎県宮崎市新別府町江口８６２－１ イオン宮崎２階区画№２３１,1台
ファミリーランドポニー小林店,宮崎県小林市堤金鳥居３００５－１２ サンキュー小林店内ゲームコーナー,1台
モーリーファンタジー延岡店,宮崎県延岡市旭町２－２－１ イオン延岡２階,3台
ピノキオランド日南店,宮崎県日南市材木町１ サピア日南ショッピングセンター,1台
モーリーファンタジー日向店,宮崎県日向市日知屋字古田町６１－１ イオン日向２階,1台
ピノキオランド西都店,宮崎県西都市小野崎１－７６ 西都ショッピングセンターパオ２Ｆ,1台
モーリーファンタジー都城店,宮崎県都城市早鈴町１９５０番地 イオン都城２階,1台
モーリーファンタジー都城駅前店,宮崎県都城市栄町4672-5 イオンモール都城駅前,1台
楽市楽座イオンモールミエル都城駅前店,宮崎県都城市栄町４６７２－５－２１７ イオンモール都城駅前,1台
