店名,住所,台数
アピタ富山店,富山県富山市上袋１００ アピタ富山,1台
アピタ富山東店,富山県富山市上冨居３１０－１ フェアモール富山,1台
アピナ富山南,富山県富山市堀川町３５５－３ マイプラザ,1台
アピナ富山新庄店,富山県富山市荒川３－２－１２ アピナ富山新庄,1台
キッズサーカス五福,富山県富山市五福１１４３－１ アリスショッピングセンター２階,1台
ゲームインさんしょうアピタ富山,富山県富山市上袋１００－１ アピタ富山２階,1台
ゲームインさんしょう二口店,富山県富山市二口町５－９－８ ゲームインさんしょう二口,1台
タイトーステーションファボーレ婦中店,富山県富山市婦中町下轡田１６５－１ フューチャーシティファボーレ２階,1台
トヤマレジャーランド呉羽店,富山県富山市高木２０５４ トヤマレジャーランド呉羽,1台
平和堂アル・プラザ富山,富山県富山市婦中町下轡田１６５－１ フューチャーシティファボーレ,1台
ｎａｍｃｏアピタ富山東店,富山県富山市上冨居３－８－３８ フェアモール富山２Ｆ,1台
モーリーファンタジー小杉店,富山県射水市三ヶ２６０２ アル・プラザ小杉２階,1台
PLANT-3滑川店,富山県滑川市上島４６０－１ ＰＬＡＮＴ－３滑川,1台
アピタ砺波店,富山県砺波市太郎丸４７８９－１ アピタ砺波,1台
モーリーファンタジーとなみ店,富山県砺波市中神一丁目174番地 イオンモールとなみ2階,2台
ゲットゲーム佐野店,富山県高岡市西藤平蔵１２５６－１ クィーンオブノースランド,1台
トイザらス高岡店,富山県高岡市下伏間江３８３ イオン高岡南１Ｆ,1台
モーリーファンタジー高岡南店,富山県高岡市下伏間江３８３ イオン高岡南２階,2台
モーリーファンタジー高岡店,富山県高岡市江尻３３１－１ イオン高岡１階,1台
ユーズランド高岡店,富山県高岡市下伏間江３８３ イオン高岡南２階,1台
アピタ魚津店,富山県魚津市住吉６００ アピタ魚津,1台
ナムコランドアピタ魚津店,富山県魚津市住吉６００番地 アピタ魚津２Ｆ,1台
