店名,住所,台数
ふぇすたらんど下松店,山口県下松市南花岡６－８－１ サンリブ下松２階,1台
アミュージアム周南店,山口県下松市中央町２１－３ 西友ザ・モール周南３階,2台
MrMax綾羅木店,山口県下関市綾羅木新町３－２－１ ＭｒＭａｘ綾羅木,1台
おもちゃのあおき 夢シティ下関店,山口県下関市伊倉新町３－１－１ ゆめシティ３Ｆ,1台
ゆめシティゆめパーク,山口県下関市伊倉新町３丁目１－１ ゆめシティ,2台
アミパラ下関店,山口県下関市長府才川１丁目４２－４８ アミパラ下関,1台
サンゲームス下関店,山口県下関市ゆめタウン2-7,1台
トイザらス下関店,山口県下関市ゆめタウン１－１ ゆめタウン長府,1台
モーリーファンタジー下関店,山口県下関市竹崎町4-4-7 シーモール4F,2台
モーリーファンタジー光店,山口県光市浅江字木園１７５６－１ イオン光２階,2台
カプコンゆめパーク徳山店,山口県周南市青山町1-18 ゆめタウン徳山2階,1台
MrMax宇部店,山口県宇部市大字東岐波１５６９－１ ハイパーモールメルクス宇部,1台
namcoフジグラン宇部店,山口県宇部市明神町三丁目１番１号 フジグラン宇部２Ｆ,2台
ピノッキースパティオ宇部店,山口県宇部市大字妻崎開作411,1台
タイトーステーションメルクス店,山口県山口市大字黒川８２－１ ハイパーモールメルクス山口,1台
ピノッキースパティオ山口店,山口県山口市大内御堀１３０２－１ ゆめタウン山口２Ｆ,1台
ＡＧスクエア小郡店,山口県山口市小郡前田町３－６ ＡＧスクエア小郡,1台
namcoおのだサンパーク店,山口県山陽小野田市中川6-4-1 おのだサンパーク2F,1台
namcoゆめタウン小野田店,山口県山陽小野田市中川６－４－１ おのだサンパークユメタウン小,1台
ピノッキーランドゆめタウン南岩国店,山口県岩国市南岩国町１－２０－３０ ゆめタウン南岩国,1台
MrMax柳井店,山口県柳井市駅南１－１１ ＭｒＭａｘ柳井ショッピングセンター,1台
ピノッキースパティオ柳井店,山口県柳井市南町4-5-3 ゆめタウン柳井2階,1台
ふぇすたらんど萩店,山口県萩市唐樋町２－４ サンリブ萩,1台
ちびっこらんど長門店,山口県長門市仙崎網田３２２－２ フジ長門２Ｆ,1台
PALO防府店,山口県防府市中央町1-3 イオン防府3階,2台
SOYUFamilyGameField防府店,山口県防府市鐘紡町7-1 イオンタウン防府1階,1台
ピノッキースパティオ防府店,山口県防府市八王子２－６－８ ゆめタウン防府,1台
