店名,住所,台数
にこにこらんどヤマザワ店,山形県南陽市郡山塚田５７８ ヤマザワ南陽ショッピングプラザ,1台
スーパーノバ天童店,山形県天童市南町１―５―２６ らら・パーク天童,1台
ソユーゲームフィールド天童店,山形県天童市芳賀土地区画整理事業地内３４街区 イオン天童２階,1台
モーリーファンタジー天童店,山形県天童市芳賀タウン北4丁目1番1号 イオン天童2階,3台
namcoイオンモール山形南店,山形県山形市若宮三丁目7-8 イオン山形南SC2F,1台
わくわくランドバイパス店,山形県山形市上山家町760-1,1台
セガワールド北山形,山形県山形市北町１－３－２０ セガワールド北山形,1台
トイザらス山形店,山形県山形市若宮３－７－８ イオン山形南ＳＣ１Ｆ,1台
パルケデアミーゴ,山形県山形市嶋北1-3-1,1台
ビーカム成沢店,山形県山形市成沢西5-3-27 ビーカム成沢,1台
モーリーファンタジー山形北店,山形県山形市馬見ケ崎２－１２－１９ イオン山形北２階,3台
モーリーファンタジー山形南店,山形県山形市若宮３－７－８ イオン山形南ＳＣ２階,1台
わくわくランド新庄店,山形県新庄市金沢字大道上2033番の4 ヤマザワ新庄,1台
モーリーファンタジー東根店,山形県東根市さくらんぼ駅前３－７－１５ イオン東根２階,3台
セガワールド米沢,山形県米沢市大字花沢字タナコ原１７７ セガワールド米沢,1台
プレビプレイランドコーナー米沢店,山形県米沢市駅前３－１－１８ ヨークベニマル米沢１階プレビプレイランド,1台
モーリーファンタジー米沢店,山形県米沢市春日２－１３－４ イオン米沢２階,3台
モーリーファンタジー酒田南店,山形県酒田市あきほ町１２０－１ イオン酒田南１階,3台
アピナ鶴岡店,山形県鶴岡市文下字広野１－１ アピナ鶴岡,1台
ナムコランドＳ－ＭＡＬＬ店,山形県鶴岡市錦町２－２１ Ｓ－ＭＡＬＬ２階,1台
SOYU Game Field三川店,山形県東田川郡三川町猪子和田庫１２８－１ イオンモール三川１階,1台
モーリーファンタジー三川店,山形県東田川郡三川町大字猪子字和田庫１２８－１ イオンモール三川２階,1台
こころっこ白鷹店,山形県西置賜郡白鷹町荒砥乙字田中道535-1 マックスバリュ白鷹店内,1台
