店名,住所,台数
バローランド中津川店,岐阜県中津川市淀川町3-8,1台
ファンタジックランド可児店,岐阜県可児市下恵土５７５０ ヨシヅヤ可児３階,1台
namcoイオンモール各務原店,岐阜県各務原市那加萱場町３丁目８番地 イオン各務原２Ｆ,1台
モーリーファンタジー各務原店,岐阜県各務原市那加萱場町３－８ イオン各務原３階,3台
セガワールド多治見,岐阜県多治見市住吉町１－１－１ セガワールド多治見,1台
ピアゴ多治見店,岐阜県多治見市住吉町３－１９ ピアゴ多治見,2台
モーリーファンタジー多治見店,岐阜県多治見市西坂町5-31-1 多治見インターモール1F,1台
namcoイオンモール大垣店,岐阜県大垣市外野2-100,1台
にこぱアクアウォーク大垣店,岐阜県大垣市林町６－８０－２１ アクアウォーク大垣２Ｆ,1台
カラフルパーク大垣店,岐阜県大垣市三塚町丹瀬４６３－１ イオンタウン大垣ＥＡＳＴ棟,1台
セガワールドアクアウォーク大垣,岐阜県大垣市林町６－８０－２１ アクアウォーク大垣,1台
モーリーファンタジー大垣店,岐阜県大垣市外野２丁目１００番 イオンモール大垣２階,2台
namcoカラフルタウン岐阜店,岐阜県岐阜市柳津町丸野３－３－６ カラフルタウン岐阜,2台
アピタ岐阜店,岐阜県岐阜市加納神明町６－１ アピタ岐阜,1台
プレビVタウン芥見,岐阜県岐阜市芥見南山2‐1‐8 Vタウン芥見内,1台
モーリーファンタジー・f 岐阜店,岐阜県岐阜市正木中1-2-1 イオン岐阜北館 イオン3F,2台
namcoモレラ岐阜店,岐阜県本巣市三橋1100,1台
ラウンドワンモレラ岐阜店,岐阜県本巣市三橋１１００ モレラ岐阜,2台
岐阜レジャーランド穂積店,岐阜県瑞穂市稲里６３０番地 岐阜レジャーランド穂積,1台
アピタ美濃加茂店,岐阜県美濃加茂市野笹町２－５－６５ アピタ美濃加茂,1台
バローランド羽島,岐阜県羽島市江吉良町2939 ホームセンターバロー羽島インター,1台
セガマーゴ関店,岐阜県関市倉知516番地 イオン関,2台
モーリーファンタジー関店,岐阜県関市倉知５１６ イオン関１階,1台
アピタ飛騨高山店,岐阜県高山市国府町金桶４１ アピタ飛騨高山,1台
アピタ御嵩店,岐阜県可児郡御嵩町上恵土１０５２番１ アピタ御嵩,1台
Ｇ－ＳＱＵＡＲＥラスパ御嵩店,岐阜県可児郡御嵩町上恵土字西畑１０５２番地１ アピタ御嵩２階,1台
平和堂大野店,岐阜県揖斐郡大野町大字黒野字上柿木１２－１ 平和堂大野,1台
