店名,住所,台数
こころっこ児島,岡山県倉敷市児島駅前2-35 天満屋ハピータウン児島3階,1台
ふぇすたらんど中島店,岡山県倉敷市中島２７８０－１ マルナカ中島,1台
アミパラ倉敷店,岡山県倉敷市西中新田６２４－１ アミパラボウル１階,1台
セガワールド倉敷,岡山県倉敷市西中新田字八反割５３５－２ セガワールド倉敷,1台
タイトーFステーションマルナカ新倉敷店,岡山県倉敷市玉島爪崎９８１－１ マルナカ新倉敷,1台
トイザらス倉敷店,岡山県倉敷市水江１ イオンモール倉敷１Ｆ,1台
トーマスステーション倉敷 キッズゲームコーナー,岡山県倉敷市寿町１２－２ アリオ倉敷２Ｆ,1台
モーリーファンタジー倉敷店,岡山県倉敷市水江1 イオンモール倉敷,4台
ユーズランド倉敷店,岡山県倉敷市水江１番地 イオンモール倉敷２階,1台
こころっこ岡南,岡山県岡山市築港新町1-18-5 天満屋ハピータウン岡南3階,1台
ふぇすたらんど平島店,岡山県岡山市東区東平島１６０９ マルナカ平島１階,1台
ふぇすたらんど築港店,岡山県岡山市南区築港元町１４－１ 山陽マルナカ築港,1台
アミパラ岡山店,岡山県岡山市北区青江１－１３－８ アミパラ岡山,2台
アミューズメントプレイス・ギミック・セガ,岡山県岡山市中区藤崎５９９－１２ アミューズメントプレイス・ギミック・セガ,1台
ゲームアイビス岡山店,岡山県岡山市中区高屋３０８番地３ フレスポ高屋,1台
トイザらス・ベビーザらス岡山店,岡山県岡山市北区岡南町２－６－５２ トイザらス岡山,1台
ビックカメラ岡山駅前店,岡山県岡山市北区駅前町１－１－１ ビックカメラ岡山駅前,1台
岡山ジョイポリス,岡山県岡山市北区下石井２－１０－１ 岡山ジョイポリス,1台
アミパラ津山店,岡山県津山市河辺１０００－１ イオン津山２階,1台
モーリーファンタジー津山店,岡山県津山市河辺１０００－１ イオン津山２階,1台
こころっこ玉野,岡山県玉野市宇野1-38-1 天満屋ハピータウン玉野3階,1台
アミューズメントパークMG総社店,岡山県総社市門田元屋敷１８７番地 天満屋リブ総社３階,1台
アミューズメントパークマルナカ山陽店,岡山県赤磐市下市１３３ マルナカ山陽,1台
こころっこポルカ高梁,岡山県高梁市中原町１０８４番地１ ポルカ天満屋ハピータウン高梁２階,1台
プレイランド高梁,岡山県高梁市落合町阿部１７００ ゆめタウン高梁２階,1台
