店名,住所,台数
モーリーファンタジースーパーセンター一関店,岩手県一関市狐禅寺字石ノ瀬１１番１ イオンスーパーセンター一関１階,1台
モーリーファンタジー一関店,岩手県一関市山目字泥田８９－１ イオン一関２階,1台
PALO久慈店,岩手県久慈市長内町第30地割32-2 久慈ショッピングセンター1階,2台
ニコアプレイランド,岩手県二戸市米沢荒谷２５ 二戸ニコアショッピングセンター,1台
アミューズメントゾーン北上店,岩手県北上市本通り２丁目２－１ さくら野百貨北上４階,1台
アメリカンパラダイス北上店,岩手県北上市北鬼柳３２－４４ アメリカンパラダイス北上,1台
イオン江釣子店,岩手県北上市北鬼柳１９－６８ 江釣子パルショッピングセンター,1台
イオンスーパーセンター水沢桜屋敷店,岩手県奥州市水沢区字桜屋敷西２８－１０ イオンスーパーセンター水沢桜屋敷,1台
サンキング,岩手県奥州市水沢区横町2-1 メイプル4階,1台
セガワールド水沢,岩手県奥州市水沢区佐倉河字鐙田４－１ セガワールド水沢,1台
モーリーファンタジー前沢店,岩手県奥州市前沢区向田２丁目８５ イオン前沢２階,2台
DORAキッズ,岩手県宮古市小山田２丁目２－１ マリンコープＤＯＲＡ２階,1台
ソユーゲームフィールド盛岡南店,岩手県盛岡市本宮７－１－１ イオン盛岡南１Ｆ,1台
タイトーステーション盛岡マッハランド店,岩手県盛岡市上堂１－２－３８ タイトーステーション盛岡マッハランド,1台
プラサカプコン盛岡店,岩手県盛岡市上厨川前潟４－７－１ イオンモール盛岡,1台
モーリーファンタジーイオン盛岡南店,岩手県盛岡市本宮７－１－１ イオン盛岡南３階,4台
モーリーファンタジー盛岡南店,岩手県盛岡市津志田西２－１７－５０ 盛岡南ショッピングセンターサンサ１階,2台
モーリーファンタジー盛岡店,岩手県盛岡市前潟４－７－１ イオン盛岡,4台
モーリーファンタジー盛岡渋民店,岩手県盛岡市玉山区渋民字鶴飼２０番地－１ イオンスーパーセンター盛岡渋民１階,2台
アルテマルカン桜台店,岩手県花巻市桜台1-12-12 アルテマルカン桜台,1台
イトーヨーカドー花巻店,岩手県花巻市下小舟渡１１８－１ イトーヨーカドー花巻,1台
ソユーファミリーゲームフィールド花巻店,岩手県花巻市高木第１６地割６８－６ 銀河モール花巻,1台
モーリーファンタジー遠野店,岩手県遠野市新穀町１－１１ 遠野ショッピングセンターとぴあ２階,1台
ソユーゲームフィールド釜石店,岩手県釜石市港町二丁目１－１ イオンタウン釜石３階,1台
アミューズメントパークアルコ,岩手県紫波郡矢巾町南矢幅7-425-3 ショッピングモールアルコ,1台
ゲームランドプレーゴ金ヶ崎店,岩手県胆沢郡金ケ崎町三ケ尻新巻１６５ イオンスーパーセンター金ケ崎,1台
