店名,住所,台数
フジグラン三原,広島県三原市円一町１－１－７ フジグラン三原,1台
イオン広店,広島県呉市広本町２－１７－１ イオン広,1台
namcoフジグラン高陽店,広島県広島市安佐北区亀崎１－１－６ フジグラン高陽３Ｆ,1台
アミパラ広島店,広島県広島市西区西観音町３－１７ アミパラ広島,1台
アルティーアルパーク北棟店アルティランド,広島県広島市西区草津南４－７－１ アルティーアルパーク北棟２階,1台
セガLECT広島,広島県広島市西区扇二丁目1番45号,1台
お宝買取団東広島,広島県東広島市 西条御条町6-20,1台
ナムコランド東広島店,広島県東広島市西条町御薗宇4405 フジグラン東広島2F,1台
八本松店ソフトピアAMコーナー,広島県東広島市八本松東３－１１－９,1台
トイザらス福山店,広島県福山市東深津町３－２１－４７ トイザらス福山,1台
フジグラン神辺,広島県福山市神辺町大字新道上字２－１０－２６ フジグラン神辺,1台
福山メトロポリス,広島県福山市一文字町２４－１ 福山コロナワールド,1台
namcoイオンモール広島府中店,広島県安芸郡府中町大須2-1-1 イオンモール広島府中,2台
セガ海田,広島県安芸郡海田町南大正町３－３５ セガワールドメガ海田,1台
フタバ図書TERA広島府中,広島県安芸郡府中町大須２－１－１－３０２２ イオンモール広島府中３Ｆ,1台
