店名,住所,台数
namcoフジグラン今治店,愛媛県今治市東門町 5丁目13番1号 フジグラン今治2階,1台
ふぇすたらんど今治店,愛媛県今治市馬越町4-8-1 イオン今治店3F,1台
タイトーFステーション今治店,愛媛県今治市東村１－７４５－１ 今治ワールドプラザ,1台
フジグラン今治,愛媛県今治市東門町５－１３－１ フジグラン今治,1台
モーリーファンタジー今治新都市店,愛媛県今治市にぎわい広場1番地1 イオンスタイル今治新都市2階,1台
楽市楽座イオンモール今治店,愛媛県今治市にぎわい広場1-1 イオンモール今治新都市店2階,1台
フジグラン北浜,愛媛県八幡浜市北浜１－１５９０－２４ フジグラン北浜,1台
ふぇすたらんど川之江店,愛媛県四国中央市妻鳥町上樋ノ上１７９５－１ イオン川之江２Ｆ,1台
ナムコランド川之江店,愛媛県四国中央市妻鳥町１１３６－１ フジグラン川之江２Ｆ,1台
フジグラン川之江,愛媛県四国中央市妻鳥町１１３６－１ フジグラン川之江,1台
namcoフジグラン北宇和島店,愛媛県宇和島市伊吹町字タカヒ甲912 フジグラン北宇和島別棟,1台
フジグラン北宇和島,愛媛県宇和島市伊吹町甲９１２－２ フジグラン北宇和島,1台
プラサカプコン新居浜店,愛媛県新居浜市前田町８－８ イオン新居浜２階,1台
モーリーファンタジー新居浜店,愛媛県新居浜市前田町８番８号 イオン新居浜１階,2台
namcoフジグラン重信店,愛媛県東温市野田3-1-13 フジグラン重信店2階,1台
フジグラン重信,愛媛県東温市野田３－１－１３ フジグラン重信,1台
アミパラ松山店,愛媛県松山市生石町６５５－１ アミパラ松山,1台
グランドシティMG INN キスケ店,愛媛県松山市宮田町4,1台
バンバン衣山店,愛媛県松山市衣山町１－２４８－１ バンバン衣山,1台
ビッグバンアミぷり,愛媛県松山市大街道１－４－１７ ＭＧ大街道,1台
フジグラン松山,愛媛県松山市宮西１－２－１ フジグラン松山,1台
モーリーファンタジー南松山店,愛媛県松山市朝生田町5丁目1番25号 ジョー・プラ2F,2台
モーリーファンタジー松山店,愛媛県松山市天山１丁目１３番５号 イオン松山３階,3台
ｎａｍｃｏフジグラン松山店,愛媛県松山市宮西１丁目２－１ フジグラン松山４Ｆ,1台
アミューズメントパークMG東予周布店,愛媛県西条市周布７１５－１ フジ東予別棟,1台
フジグラン西条,愛媛県西条市新田字北新田２３５ フジグラン西条,1台
ソユーフォレストハンター松前店,愛媛県伊予郡松前町筒井８５０ エミフルＭＡＳＡＫＩ１階,1台
