店名,住所,台数
モーリーファンタジー三好店,愛知県みよし市三好町青木９１ イオン三好,3台
namcoテラスウォーク一宮店,愛知県一宮市両郷町１－２ テラスウォーク一宮２Ｆ,2台
アピタ木曽川店,愛知県一宮市木曽川町黒田八ノ通り５１－４ アピタ木曽川,1台
ゲームゾーン一宮,愛知県一宮市羽衣町2-5-1 ゲームゾーン尾張一宮,1台
セガイオンモール木曽川,愛知県一宮市木曽川町黒田字南八ツケ池２５－１ イオン木曽川３Ｆ,1台
セガワールド尾西,愛知県一宮市篭屋３－９－７ アソビックス尾西,1台
モーリーファンタジーピアゴ大和店,愛知県一宮市大和町毛受字一本松19番地 ピアゴ大和2階,1台
モーリーファンタジー妙興寺店,愛知県一宮市大和町妙興寺字白山西3番地2 ピアゴ妙興寺3F,1台
モーリーファンタジー木曽川店,愛知県一宮市木曽川町黒田字南八ツケ池２５番１ イオン木曽川,3台
アピタ刈谷店,愛知県刈谷市南桜町２－５６－１ アピタ刈谷,1台
ザ・ビッグエクストラ刈谷店,愛知県刈谷市東境町京和１ イオンタウン刈谷,1台
セガイオンタウン刈谷,愛知県刈谷市東境町京和１ イオンタウン刈谷,2台
楽市街道名古屋店,愛知県北名古屋市中之郷字神明４５－１ 楽市街道名古屋,1台
サムソン半田店,愛知県半田市乙川吉野町９ パワードーム半田Ｂ１階,1台
モーリーファンタジー半田店,愛知県半田市有楽町８－７ イオン半田２階,2台
ラウンドワンスタジアム半田店,愛知県半田市瑞穂町6丁目7番地の8,1台
namcoイオンモールナゴヤドーム前店,愛知県名古屋市東区矢田南四丁目102番3 イオンモールナゴヤドーム前3F,1台
namcoイオンモール大高店,愛知県名古屋市緑区大高町字奥平子１番１ イオン大高４階,3台
namcoイオンモール熱田店,愛知県名古屋市熱田区六野１－２－１１ イオンモール熱田,1台
にこぱなるぱーく,愛知県名古屋市緑区浦里３－２３２ なるぱーく,1台
アズパークファミリータウン,愛知県名古屋市中川区新家１丁目２４２１番地 アズパークＳＣ２Ｆ,1台
アピタ千代田橋店,愛知県名古屋市千種区千代田橋２－１－１ アピタ千代田橋,2台
アピタ名古屋北店,愛知県名古屋市北区辻町９－１ アピタ名古屋北,1台
アピタ名古屋北店スタジアム,愛知県名古屋市北区辻町９－１ アピタ名古屋北３階,1台
アピタ名古屋南店,愛知県名古屋市南区豊田４－９－４７ アピタ名古屋南,1台
