店名,住所,台数
エムエムランド,東京都世田谷区北沢2-3-6 エムエムランド,1台
タイトーイン祖師谷大蔵,東京都世田谷区砧８－１０－１ プラッツ砧１Ｆ,1台
ライフ経堂店,東京都世田谷区経堂５－３２－６ ライフ経堂,1台
玉川タカシマヤ,東京都世田谷区玉川３－１７－１ 玉川タカシマヤ,1台
西友三軒茶屋店,東京都世田谷区太子堂４－２４－８ 西友三軒茶屋,3台
博品館TOYPARK銀座本店,東京都中央区銀座８－８－１１ 博品館ＴＯＹＰＡＲＫ銀座本店,1台
ｎａｍｃｏ中野,東京都中野区中野５－５２－１５ 中野ブロードウェイ別館,2台
namco王子サンスクエア店,東京都北区王子１－４－１ サンスクエア２Ｆ,1台
わいわいランド赤羽店,東京都北区赤羽西１－７－１ イトーヨーカドー赤羽６Ｆ,1台
イオン赤羽北本通り店,東京都北区神谷３－１２－１ ダイエー赤羽北本通り,1台
イトーヨーカドー赤羽店,東京都北区赤羽西１－７－１ イトーヨーカドー赤羽,2台
ビックカメラAKIBA,東京都千代田区外神田4-1-1,1台
ビックカメラ有楽町店,東京都千代田区有楽町1-11-1 ビックカメラ有楽町店,3台
ヨドバシカメラマルチメディアＡｋｉｂａ,東京都千代田区神田花岡町１－１ ヨドバシカメラマルチメディアＡｋｉｂａ６Ｆ,3台
東京レジャーランド秋葉原2号店,東京都千代田区外神田４丁目３－３ ミナミビル６階,1台
東京レジャーランド秋葉原店,東京都千代田区外神田１－９－５ ナガシマアルファビル,3台
ＣＬＵＢＳＥＧＡ秋葉原新館,東京都千代田区外神田１－１１－１１ 外神田１丁目ビル,1台
Ｈｅｙ,東京都千代田区外神田１－１０－５ 広瀬本社ビル２Ｆ,5台
アイカツ!オフィシャルショップ 浅草ROX店,東京都台東区浅草1-26-5,6台
タイトーステーション浅草,東京都台東区浅草１－２７－３ タイトーステーション浅草,1台
ヨドバシカメラマルチメディア上野,東京都台東区上野４－１０－１０ ヨドバシカメラマルチメディア上野,2台
イトーヨーカドー大井町店,東京都品川区大井１－３－６ イトーヨーカドー大井町,2台
モーリーファンタジー品川シーサイド店,東京都品川区東品川4-12-5 イオン品川シーサイド,3台
にこぱ錦糸町,東京都墨田区江東橋3-9-10,1台
イトーヨーカドー曳舟店,東京都墨田区京島１－２－１ イトーヨーカドー曳舟,1台
キッズプラザきゃらんど曳舟店,東京都墨田区京島１－２－１ イトーヨーカドー曳舟４階,1台
タイトーFステーション オリナス錦糸町店,東京都墨田区太平4―1-2 オリナスモールB1階,2台
タイトーステーション錦糸町楽天地店,東京都墨田区江東橋４－２７－１４ 楽天地ビル１階,1台
ハローズガーデン墨田文花店,東京都墨田区文花１－３１－９ オリンピック墨田文花１階,1台
ヨドバシカメラマルチメディア錦糸町,東京都墨田区江東橋３－１４－５ 錦糸町ステーションビルテルミナ２Ｆ,1台
namco東急プラザ蒲田店,東京都大田区西蒲田７－６９－１ 東急プラザ蒲田,1台
イトーヨーカドー大森店,東京都大田区大森北２－１３－１ イトーヨーカドー大森,2台
シルクハット蒲田西口,東京都大田区西蒲田7-2-3,1台
タイトーステーションBIGFAN平和島店,東京都大田区平和島 1-1-1 BIGFAN平和島3F,2台
ハローズガーデン新糀谷店,東京都大田区萩中２－１２－５ マルエツ新糀谷２階,1台
ＳＯＹＵＺＡＵＲＵＳＷＯＲＬＤ大森店,東京都大田区大森北２－１３－１ イトーヨーカドー大森３階,2台
セガ 東京ドームシティ,東京都文京区後楽１－３－６１ 東京ドームシティアトラクションズ内　カーニバル,2台
タイトーステーション新宿南口ＧＷ店,東京都新宿区新宿３－３５－８ タイトーステーション新宿南口ＧＷ,2台
タイトーステーション新宿東口店,東京都新宿区新宿3-22-7 指田ビル,1台
タイトーステーションＢＩＧＢＯＸ高田馬場,東京都新宿区高田馬場１－３５－３ ＢＩＧＢＯＸ６階,2台
ビックカメラ新宿西口店,東京都新宿区西新宿１－５－１ 新宿西口ハルク,2台
ビックロ ビックカメラ新宿東口店,東京都新宿区新宿３丁目２９番地１ ビックロビックカメラ新宿東口,2台
ヨドバシカメラマルチメディア新宿東口別館,東京都新宿区新宿３－２６－７ ヨドバシカメラマルチメディア新宿東口別館,1台
ヨドバシカメラ新宿西口本店 ゲーム・ホビー館,東京都新宿区西新宿１－１１－１ ヨドバシカメラ新宿西口本店,3台
小田急百貨新宿店 本館9F玩具売り場,東京都新宿区西新宿１－１－３ 小田急百貨新宿,2台
ＣＬＵＢＳＥＧＡ新宿西口,東京都新宿区西新宿１－１２－５ ＣＬＵＢＳＥＧＡ新宿西口,1台
namco荻窪,東京都杉並区上荻1-13-10 ハクサンビル,1台
西友阿佐ヶ谷店,東京都杉並区阿佐ヶ谷北１－５－６ 西友阿佐ヶ谷,1台
PALO成増店,東京都板橋区成増２－２１－２ ダイエー成増４階,3台
イトーヨーカドー上板橋店,東京都板橋区常盤台４－２６－１ イトーヨーカドー上板橋,1台
ゲームサファリ大山,東京都板橋区大山東町 ６０－１０ やすだ大山駅前２Ｆ,1台
モーリーファンタジー板橋店,東京都板橋区徳丸2-6-1 イオン板橋,3台
アムネット小岩店,東京都江戸川区南小岩６－３１－３ 石井ビル１階,1台
イトーヨーカドーアリオ葛西店,東京都江戸川区東葛西9-3-3 イトーヨーカドー葛西,2台
イトーヨーカドー小岩店,東京都江戸川区西小岩１－２４－１ イトーヨーカドー小岩,2台
キャッツアイ西葛西店,東京都江戸川区西葛西４－２－２８ サニーモール西葛西,2台
セガワールド船堀,東京都江戸川区船堀１－６－１１ セガワールド船堀,1台
セガワールド葛西,東京都江戸川区東葛西９－３－３ イトーヨーカドー葛西３Ｆ,3台
ドン・キホーテラパーク瑞江店,東京都江戸川区瑞江２－１－２ ドン・キホーテラパーク瑞江,1台
モーリーファンタジーホームズ葛西店,東京都江戸川区東葛西９－３－６ ホームズ葛西,1台
ライフ篠崎店,東京都江戸川区篠崎町７－２７－１ ライフ篠崎,1台
宝島 瑞江店,東京都江戸川区瑞江2-1-2 ドン・キホーテラパーク瑞江4階,1台
東京健康ランドまねきの湯,東京都江戸川区船堀１－２－１,1台
namcoイトーヨーカドー木場店,東京都江東区木場1-5-30 イトーヨーカドー木場2・3F,1台
