店名,住所,台数
ミルキーズサンエー具志川店,沖縄県うるま市江洲４５０－１ サンエー具志川メインシティ１Ｆ,1台
モーリーファンタジー具志川店,沖縄県うるま市前原幸崎原３０３番地 イオン具志川ＳＣ２階,2台
サンエー具志川メインシティ,沖縄県具志川市江洲４５０－１ サンエー具志川メインシティ,1台
ラウンドワンスタジアム沖縄・宜野湾店,沖縄県宜野湾市真志喜３－２８－８,1台
ゲームランドジョイジャングル経塚店,沖縄県浦添市経塚６５２番 サンエー経塚シティ２階,1台
アミューズメントパークミルキーランド潮崎店,沖縄県糸満市潮崎町２－２ サンエーしおざきシティ,1台
モーリーファンタジー糸満店,沖縄県糸満市兼城400番地 サンプラザいとまん1F,1台
モーリーファンタジー那覇店,沖縄県那覇市金城５－１０－２ イオン那覇３階,3台
ゲームランドジョイジャングル美浜店,沖縄県中頭郡北谷町美浜１５－６８ ドラゴンパレス２階,1台
サンエー西原シティ,沖縄県中頭郡西原町嘉手刈１３０ サンエー西原シティ,1台
サンエー西原店ゲームコーナー,沖縄県中頭郡西原町嘉手苅１３０－２ サンエー西原シティ２Ｆ,1台
モーリーファンタジー北谷店,沖縄県中頭郡北谷町字美浜８－３ イオン北谷２階,3台
モーリーファンタジー南風原店,沖縄県島尻郡南風原町字宮平２６４ イオン南風原２階,3台
