店名,住所,台数
FESTA人吉店,熊本県人吉市宝来町１３０７番地１ ＨＩＴＯＹＯＳＨＩ－ＲＥＸ,1台
タイトーステーションゆめタウン八代店,熊本県八代市建馬町３－１ ゆめタウン八代２Ｆ,1台
モーリーファンタジー八代店,熊本県八代市沖町六番割3987-3 イオン八代2階,2台
ピノキオランド本渡店,熊本県天草市船之尾町２７９－６ スーパーセンタータイヨーリンドマール３Ｆ,1台
パスカワールド宇土店,熊本県宇土市善道寺町綾織95 宇土シティモール,1台
namcoイオンモール宇城店,熊本県宇城市小川町河江１番１号 イオンモール宇城,1台
MrMax山鹿店,熊本県山鹿市方保田３４６２－１ 山鹿ショッピングセンター,1台
ＦＥＳＴＡ山鹿店,熊本県山鹿市方保田鳥越３４６８－１ ＦＥＳＴＡ山鹿,1台
MrMax熊本南店,熊本県熊本市南区十禅寺３－４－１４ ＭｒＭａｘ熊本南,1台
namcoワンダーシティ南熊本店,熊本県熊本市中央区九品寺6丁目9番1 ワンダーシティ南熊本,1台
ゆめタウンサンピアンアミューズメントパーク,熊本県熊本市上南部二丁目2番2号 ゆめタウンサンピアン3F,1台
トイザらス熊本店,熊本県熊本市東区上南部２－２－２ ゆめタウンサンピアン１Ｆ,1台
パスカランドはません店,熊本県熊本市南区田井島1丁目2-1 ゆめタウンはません内,1台
パスカランド長嶺店,熊本県熊本市東区長嶺西１－５－１ シュロアモール長嶺,1台
ピノキオランドくまなん店,熊本県熊本市中央区平成3-23-30 サンリブシティくまなん3F,1台
モーリーファンタジー田崎店,熊本県熊本市西区田崎町字下寄380番地 イオンタウン田崎1F,1台
ピノキオランド玉名店,熊本県玉名市亀甲前田１１０ ビッグミカエル玉名,1台
パスカワールドグリーンランド店,熊本県荒尾市本井手１５７４－５４ パスカワールドグリーンランド,1台
ピノキオランドあらおシティモール店,熊本県荒尾市緑ヶ丘１－１－１ あらおシティモール１Ｆ,1台
モーリーファンタジーあらおシティモール店,熊本県荒尾市緑ケ丘1-1-1 あらおシティモール2階,2台
楽市楽座イオンモール熊本クレア店,熊本県上益城郡嘉島町上島長池２２３２ イオンモール熊本２階,1台
namcoゆめタウン光の森店,熊本県菊池郡菊陽町光の森７丁目３９番１ ゆめタウン光の森南館３Ｆ,1台
スマイルステーション菊陽店,熊本県菊池郡菊陽町津久礼２４７２ イオン菊陽２Ｆ,1台
大津ショッピングプラザアーク店ナムコランド,熊本県菊池郡大津町大字室１３７ 大津ショッピングプラザアーク,1台
