店名,住所,台数
namcoイオンモールかほく店,石川県かほく市内日角タ25番 イオンモールかほく店2階,1台
バイパスレジャーランド宇ノ気店,石川県かほく市森子８５ バイパスレジャーランド宇ノ気,1台
モーリーファンタジーかほく店,石川県かほく市内日角地内タ２５番 イオンモールかほく２階,1台
バイパスレジャーランド加賀店,石川県加賀市箱宮町ヲ１－１ バイパスレジャーランド加賀,1台
アミュージアム小松店,石川県小松市園町ハ23-1,2台
イオン小松店,石川県小松市平面町ア６９ イオン小松,1台
平和堂アル・プラザ小松,石川県小松市園町八２３－１ アル・プラザ小松,1台
楽市楽座イオンモール新小松店,石川県小松市沖周辺土地区画整理事業区域内20街区,1台
アピタ松任店,石川県白山市幸明町２８０ アピタ松任,1台
イオン松任店,石川県白山市平松町１０２－１ イオン松任,1台
アピナ野々市店,石川県野々市市白山町４－１ イオンタウン野々市,1台
モーリーファンタジー・f 御経塚店,石川県野々市市御経塚２丁目９１番地 イオン御経塚１階,3台
MEGAドン・キホーテラパーク金沢店,石川県金沢市西泉４－１１ ＭＥＧＡドン・キホーテラパーク金沢,1台
セガイオンタウン金沢示野,石川県金沢市示野中町８７街区２号 イオンタウン金沢示野,1台
セガワールド金沢,石川県金沢市諸江町３０－１ アル・プラザ金沢２階,1台
バイパスレジャーランド藤江本店新館,石川県金沢市藤江南２丁目１０５ バイパスレジャーランド藤江本店新館１階,2台
モーリーファンタジー杜の里店,石川県金沢市もりの里１丁目７０番地 イオン杜の里２階,1台
平和堂アル・プラザ金沢,石川県金沢市諸江町３０－１ アル・プラザ金沢,1台
平和堂アル・プラザ津幡,石川県河北郡津幡町北中条１－１ アル・プラザ津幡,1台
namcoアルプラザ鹿島店,石川県鹿島郡中能登町井田と1-1 アル・プラザ鹿島2階,1台
平和堂アル・プラザ鹿島,石川県鹿島郡中能登町井田と１－１ アル・プラザ鹿島,1台
