店名,住所,台数
イトーヨーカドー伊勢原店,神奈川県伊勢原市桜台１－８－１ イトーヨーカドー伊勢原,2台
タイトーFステーションイオン伊勢原店,神奈川県伊勢原市白根630-1 イオン伊勢原3F,1台
トイザらス厚木店,神奈川県厚木市妻田東３－２５－２４ トイザらス厚木,1台
ハローズガーデン厚木店,神奈川県厚木市中町1-5-10 厚木ガーデンシティ5階,1台
ミリアンパーク厚木店,神奈川県厚木市田村町９－２５ ミリアンパーク厚木,2台
神奈川レジャーランド厚木店,神奈川県厚木市戸室５－３１－１ アツギ・トレリス,3台
イトーヨーカドー大和鶴間店,神奈川県大和市下鶴間１－３－１ イトーヨーカドー大和鶴間,1台
プレイランド大和鶴間店,神奈川県大和市下鶴間１－３－１ イトーヨーカドー大和鶴間３階,1台
モーリーファンタジー大和店,神奈川県大和市下和田字上ノ原1216-1 イオン大和3階,3台
モーリーファンタジー大和鶴間店,神奈川県大和市下鶴間一丁目２番１号 イオン大和鶴間３階,2台
イトーヨーカドー小田原店,神奈川県小田原市中里２９６－１ 小田原ダイナシティ,1台
キッズトレイン小田原店,神奈川県小田原市中里２０８ 西武小田原ダイナシティ４階,1台
セガ小田原ダイナシティ,神奈川県小田原市中里２９６－１ 小田原ダイナシティ,1台
トイザらス小田原店,神奈川県小田原市前川１２０ 小田原シティーモールクレッセ２Ｆ,1台
小田原メトロポリス,神奈川県小田原市前川２１９－４ 小田原メトロポリス,1台
タイトーステーション小田原シティーモールクレッセ店,神奈川県小田原市前川１２０ 小田原シティーモールクレッセ２Ｆ,2台
AM PIA川崎モアーズ店,神奈川県川崎市川崎区駅前本町７番地 岡田屋モアーズ１・２階,1台
YAZ川崎店,神奈川県川崎市幸区小倉1658-35 クロスガーデン川崎1F,1台
namcoラゾーナ川崎店,神奈川県川崎市幸区堀川町７２－１ ラゾーナ川崎４階,3台
こころっこ川崎店,神奈川県川崎市川崎区中瀬３－２０ホ ホームズ川崎２階ココロッコ,1台
イオン新百合ヶ丘ファミリーパーク,神奈川県川崎市麻生区上麻生１－１９ イオン新百合ヶ丘４Ｆ,1台
イオン新百合ヶ丘店,神奈川県川崎市麻生区上麻生１－１９ イオン新百合ヶ丘,2台
イトーヨーカドー グランツリー武蔵小杉店,神奈川県川崎市中原区新丸子東３－１１３５－１ グランツリー武蔵小杉,2台
イトーヨーカドー川崎店,神奈川県川崎市川崎区小田栄２－２－１ イトーヨーカドー川崎,1台
イトーヨーカドー川崎港町店,神奈川県川崎市川崎区港町１２－１ イトーヨーカドー川崎港町,1台
イトーヨーカドー新百合ヶ丘店,神奈川県川崎市麻生区上麻生１－４－１ イトーヨーカドー新百合ヶ丘,2台
イトーヨーカドー武蔵小杉駅前店,神奈川県川崎市中原区小杉町３－４２０ イトーヨーカドー武蔵小杉駅前,3台
イトーヨーカドー溝ノ口店,神奈川県川崎市高津区久本３－６－２０ イトーヨーカドー溝ノ口,3台
キッズトレインなっつべりぃ,神奈川県川崎市川崎区港町12-1 イトーヨーカドー川崎港町2F,1台
コジマXビックカメラ 梶ヶ谷店,神奈川県川崎市高津区梶ヶ谷2-2-3,1台
シルクハット川崎ダイス店,神奈川県川崎市川崎区駅前本町８番地 川崎ダイスビルＢ２階,3台
タイトーステーション溝の口店,神奈川県川崎市高津区溝口１－１１－８ ムサシボウルビル １Ｆ,2台
トイザらス川崎高津店,神奈川県川崎市高津区溝口６－１１－１ トイザらス川崎高津,1台
ビックカメララゾーナ川崎店,神奈川県川崎市幸区堀川町７２－１ ラゾーナ川崎,3台
プレイランド川崎店,神奈川県川崎市川崎区小田栄二丁目２－１ イトーヨーカドー川崎３階,1台
モーリーファンタジー向ヶ丘店,神奈川県川崎市多摩区登戸2789 ダイエー向ヶ丘,2台
モーリーファンタジー川崎小田栄店,神奈川県川崎市川崎区小田栄2-3-1 コーナン川崎小田栄,1台
ヨドバシカメラアウトレット京急川崎,神奈川県川崎市川崎区駅前本町２１－１２ ヨドバシカメラアウトレット京急川崎,1台
ヨドバシカメラマルチメディア川崎ルフロン,神奈川県川崎市川崎区日進町１－１１ 川埼ルフロン４Ｆ玩具,3台
ライフ宮内二丁目店,神奈川県川崎市中原区宮内２－１－１ ライフ宮内二丁目,1台
ライフ宮崎台店,神奈川県川崎市宮前区宮崎２－３－８ ライフ宮崎台,1台
西友武蔵新城店,神奈川県川崎市中原区上新城２－１２－１ 西友武蔵新城,1台
遊びっこ広場フォルム川崎宮前店,神奈川県川崎市宮前区犬蔵３－９－１２ マルエツ川崎宮前１階,1台
アミューズメントランドYAZ平塚店,神奈川県平塚市田村1丁目4-26 アミューズメントランドYAZ平塚,1台
トイザらス平塚店,神奈川県平塚市代官町３３－１Ｏ ＯＳＣ湘南シティ１Ｆ,2台
ラウンドワンららぽーと湘南平塚,神奈川県平塚市天沼10-1 ららぽーと湘南平塚3F,2台
西友平塚店,神奈川県平塚市東中原１－１－２５ 西友平塚,2台
MEGAドン・キホーテUNY座間店,神奈川県座間市入谷1-416-2,1台
namcoイオンモール座間店,神奈川県座間市広野台2-10-4,1台
アミューズメントパークネバーランド2,神奈川県座間市ひばりが丘４－１１－４８ アミューズメントパークネバーランド２,1台
モーリーファンタジー座間店,神奈川県座間市広野台2-10-4,2台
MEGAドン・キホーテUNY大口店,神奈川県横浜市神奈川区神之木町2-30,1台
NICOPA四季の森フォレオ店,神奈川県横浜市旭区上白根3-41-1 フォレオ四季の森3階,2台
namcoトレッサ横浜店,神奈川県横浜市港北区師岡町700番地 トレッサ横浜南棟3階,2台
namco港北TOKYUS・C店,神奈川県横浜市都筑区茅ケ崎中央５番１号 港北ＴＯＫＹＵ・ＳＣ,2台
あそびパークPLUS みなとみらい東急スクエア店,神奈川県横浜市西区みなとみらい2-3-2,1台
そごう 横浜店 8階,神奈川県横浜市西区高島2-18-1 そごう横浜,2台
アピタ戸塚店,神奈川県横浜市戸塚区上倉田町７６９－１ アピタ戸塚,2台
アピタ金沢文庫店,神奈川県横浜市金沢区釜利谷東2-1-1 アピタ金沢文庫,1台
アピタ長津田店,神奈川県横浜市緑区長津田みなみ台４－７－１ アピタ長津田,2台
イトーヨーカドーたまプラーザ店,神奈川県横浜市青葉区美しが丘１－６－１ イトーヨーカドーたまプラーザ,2台
イトーヨーカドーららぽーと横浜店,神奈川県横浜市都筑区池辺町４０３５－１ ららぽーと横浜,2台
イトーヨーカドー上永谷店,神奈川県横浜市港南区丸山台１－１２ イトーヨーカドー上永谷,2台
イトーヨーカドー桂台店,神奈川県横浜市栄区桂台中15-1,1台
イトーヨーカドー横浜別所店,神奈川県横浜市南区別所１－１４－１ イトーヨーカドー横浜別所,2台
イトーヨーカドー洋光台店,神奈川県横浜市磯子区洋光台３－１０－３ イトーヨーカドー洋光台,1台
イトーヨーカドー立場店,神奈川県横浜市泉区中田西１－１－１５ イトーヨーカドー立場,3台
イトーヨーカドー綱島店,神奈川県横浜市港北区綱島西２－８－１ イトーヨーカドー綱島,2台
イトーヨーカドー能見台　キッズ・パーク,神奈川県横浜市金沢区横浜市金沢区能見台東３－１ イトーヨーカドー能見台,1台
イトーヨーカドー能見台店,神奈川県横浜市金沢区能見台東３－１ イトーヨーカドー能見台,1台
イトーヨーカドー若葉台店,神奈川県横浜市旭区若葉台３－７－１ イトーヨーカドー若葉台,1台
イトーヨーカドー鶴見店,神奈川県横浜市鶴見区鶴見中央３－１５－３０ イトーヨーカドー鶴見,2台
オーケーストア港北店,神奈川県横浜市都筑区葛が谷8-1 オーケーストアDC港北NT,1台
キッズトレイン東戸塚店,神奈川県横浜市戸塚区品濃町５３７－１ オーロラモール６階,1台
ザ・サードプラネット横浜本店,神奈川県横浜市都筑区中川中央1-25―1 ノースポート・モール6階,4台
ジアス上大岡店,神奈川県横浜市港南区上大岡西２－１－２８ 上大岡赤い風船,2台
スコナランド イオン金沢,神奈川県横浜市金沢区並木2-13-1 イオン金沢シーサイド3階,1台
