店名,住所,台数
オモローランドイ-ザ店,福井県坂井市三国町三国東５－１－２０ 三国ショッピングワ－ルドイ－ザ１Ｆ,1台
平和堂アル・プラザアミ,福井県坂井市春江町随応寺第１６－１１ アル・プラザアミ,1台
namcoアピタ敦賀店,福井県敦賀市中央町一丁目５番５号 アピタ敦賀２Ｆ,1台
アピタ敦賀店,福井県敦賀市中央町１－５－５ アピタ敦賀,1台
平和堂アル・プラザ敦賀,福井県敦賀市白銀町１１－５ 平和堂アル・プラザ敦賀,1台
namcoフェアモール福井大和田店,福井県福井市大和田町第３２号２３番地 フェアモール福井２Ｆ,1台
アピタ福井大和田店,福井県福井市大和田町第３２号３２ フェアモール福井,1台
ジョイランドベル店,福井県福井市花堂南２丁目１６－１ ショッピングシティベル,1台
ナムコランドアピタ福井店,福井県福井市飯塚町１１－１１１ アピタ福井２階,1台
モーリーファンタジー福井店,福井県福井市松城町12-7 パリオシティ2F,1台
レッツワクワク　エルパ店,福井県福井市大和田町第３２－２４－１ エルパ,1台
平和堂アル・プラザベル,福井県福井市花堂南２－１６－１ ショッピングシティベル,1台
福井レジャーランドワイプラザ店,福井県福井市新保町北１丁目３０３番地 ヤスサキワイプラザＢ棟２階,2台
福井レジャーランド板垣店,福井県福井市下馬3-112,1台
PALO武生店,福井県越前市横市町28-14-1 エスカモール武生楽市1F,1台
キッズサーカスシピィ店,福井県越前市新町７－８ 武生シピィ２Ｆ,1台
セガワールド武生,福井県越前市新町３字１３－４ セガワールド武生,1台
モーリーファンタジー鯖江店,福井県鯖江市下河端１６字下町１６－１ アル・プラザ鯖江２階,2台
平和堂アル・プラザ鯖江,福井県鯖江市下河端町１６－１６－１ アル・プラザ鯖江,1台
