店名,住所,台数
ヨークベニマル泉店内プレビプレイランド店,福島県いわき市泉町滝尻折返５７ ヨークベニマルいわき泉１階プレビプレイランド,1台
イトーヨーカドー平店内プレビプレイランド店,福島県いわき市平６－６－２ イトーヨーカドー平４階プレビプレイランド,1台
スウィーツファクトリーパックン会津若松店,福島県会津若松市神指町南四合１５４ アピタ会津若松２階,1台
ジャスモールファンタジー,福島県南相馬市原町区大木戸金場77 イオンスーパーセンター南相馬,1台
モーリーファンタジー相馬店,福島県相馬市馬場野字雨田５１ イオン相馬２階,2台
ザ・サードプラネットピボット福島店,福島県福島市栄町１－１ パワーシティピボット,1台
スーパーノバ福島店,福島県福島市黒岩中島７－２ スーパーノバ福島,1台
セガワールド福島,福島県福島市本内中井６－１ セガワールド福島,1台
モーリーファンタジーいわき小名浜店,福島県福島県いわき市小名浜港背後地土地区画整理事業地内 イオンいわき小名浜店4階,2台
namco郡山西部プラザ店,福島県郡山市西ノ内２丁目１１－３５ 西部プラザ,1台
イトーヨーカドー郡山店,福島県郡山市西ノ内２－１１－４０ イトーヨーカドー郡山,1台
ゲームプラザAGS,福島県郡山市西ノ内２－１１－４０ イトーヨーカドー郡山４階,1台
タイトーアミューズメントシティ郡山,福島県郡山市南2-38 フレスポ郡山,1台
タイトーステーション郡山オリエントパーク,福島県郡山市安積町荒井字大久保35-10 タイトーステーション郡山オリエントパーク,1台
西友ザ・モール 郡山店,福島県郡山市長者１－１－５６ 西友ザ・モール郡山,1台
PLANT-5大玉店,福島県安達郡大玉村大山字仲江２７１ ＰＬＡＮＴ－５大玉,1台
モーリーファンタジー白河西郷店,福島県西白河郡西郷村大字小田倉字岩下１１－１ イオン白河西郷２階,1台
