店名,住所,台数
プラサカプコン大曲店,秋田県大仙市和合坪立１７７ イオン大曲２階,1台
モーリーファンタジー中仙店,秋田県大仙市北長野字袴田１８８ イオン中仙２階,1台
モーリーファンタジー大曲店,秋田県大仙市和合字坪立１７７番地 イオン大曲２階,2台
メルヘンランド大館店,秋田県大館市御成町三丁目７－５８ いとく大館ショッピングセンター３階,1台
モーリーファンタジー大館店,秋田県大館市大田面２３８ イオンスーパーセンター大館１階,2台
ソピアラッキー十文字店,秋田県横手市十文字町仁井田東２２－１ スーパーモールラッキー,1台
モーリーファンタジー横手店,秋田県横手市安田字向田１４７ イオン横手２階,2台
イオンスーパーセンター本荘店,秋田県由利本荘市石脇字田中１３８ イオンスーパーセンター本荘,1台
SOYU Game Field 御所野店,秋田県秋田市御所野地蔵田１－１－１ イオンモール秋田２階,2台
イオン土崎港店,秋田県秋田市土崎港南２－３－４１ イオン土崎港,1台
ファンタジープラザ秋田,秋田県秋田市旭北錦町４－５８ ドン・キホーテ秋田２階,1台
モーリーファンタジー御所野店,秋田県秋田市御所野地蔵田1-1-1 イオン御所野3階,2台
モーリーファンタジー秋田中央店,秋田県秋田市楢山川口境５－１１ イオン秋田中央３階,2台
秋田OPAアミューズパーク,秋田県秋田市千秋久保田町4-2,1台
モーリーファンタジー能代店,秋田県能代市柳町１１－１ イオン能代３階,1台
ソユープレイランドソピアいとくアクロス能代店,秋田県能代市寺向７０ いとくアクロス能代,1台
ソユープレイランドソピアいとく鹿角店,秋田県鹿角市花輪下夕町１６４－１ いとく鹿角ショッピングセンター,1台
