店名,住所,台数
アピタ伊勢崎東店,群馬県伊勢崎市三室町５３３０ アピタ伊勢崎東,1台
群馬レジャーランド伊勢崎店,群馬県伊勢崎市連取町３０６６－１ 群馬レジャーランド伊勢崎,2台
ハローズガーデン前橋店,群馬県前橋市文京町２－１－１ けやきウォーク前橋ＳＣ２階,1台
モーリーファンタジーガーデン前橋店,群馬県前橋市小屋原町472-1 ガーデン前橋,1台
群馬レジャーランド太田店,群馬県太田市西矢島町１６２番地２ 群馬レジャーランド太田,2台
セガワールド沼田,群馬県沼田市下久屋町１１００－１ セガワールド沼田,1台
群馬レジャーランド渋川店,群馬県渋川市八木原１３６４ 群馬レジャーランド渋川,1台
ハローズガーデン藤岡店-,群馬県藤岡市藤岡 416-4 ピアゴ藤岡2階,1台
群馬レジャーランド藤岡,群馬県藤岡市中２００２－１ ピット１００２階,1台
ナムコランドアカマル店,群馬県高崎市中尾町字鳥羽前４４－１ アカマル,1台
群馬レジャーランド高崎駅東口店,群馬県高崎市江木町３３３－１ アークコミュニティータウン２階,2台
プレビ ジョイフル本田千代田店,群馬県邑楽郡千代田町千代田町萱野813-1 ジョイフル本田千代田店2F,1台
