店名,住所,台数
アミューズメントジャムジャムつくば店,茨城県つくば市竹園1-9-2 デイズタウンB1F,2台
ゲームグースつくば店,茨城県つくば市小野崎千駄苅278-1 LALAガーデンつくば2F,1台
アミューズメントジャムジャムひたちなか本店新館,茨城県ひたちなか市田中後40-11,2台
ＦＥＳＴＡ古河店,茨城県古河市松並２－１８－１０ マーケットシティ古河,1台
ゲームパニックつくば,茨城県土浦市中村東1-1-10298-43-8295 サンタスワールド,1台
エムランド坂東,茨城県坂東市辺田1517,1台
ハローズ 守谷テラス店,茨城県守谷市久保ヶ丘2-1-1,1台
プレビ常陸大宮ショッピングセンターピサーロ-,茨城県常陸大宮市下村田2387,2台
ピンクパンサー日立店,茨城県日立市東多賀町５－１０－１０ ピンクパンサー日立,1台
スタジオプリモマイム水戸,茨城県水戸市宮町１－２－４ マイム水戸１階,1台
セガ水戸南,茨城県水戸市千波町2017-1,1台
ピンクパンサー水戸けやき台店,茨城県水戸市酒門町３２７６－１ ピンクパンサー水戸けやき台,2台
モーリーファンタジー水戸内原店,茨城県水戸市内原2丁目1番地 イオン水戸内原3階,4台
ジャングルパーク　笠間店,茨城県笠間市赤坂８ イオン笠間１Ｆ,1台
アピナ下館店,茨城県筑西市玉戸１０１２－３ アピナ下館,1台
ファミリーランド あそびのくに玉造店,茨城県行方市玉造甲６４２－１ ベイシア電気玉造甲,1台
ハローズガーデン竜ヶ崎店,茨城県龍ヶ崎市小柴５－１－２ イトーヨーカドー竜ヶ崎２階,1台
モーリーファンタジー東海店,茨城県那珂郡東海村舟石川駅東四丁目１番１号 イオン東海２階,2台
