店名,住所,台数
イオン佐世保ショッピングセンター,長崎県佐世保市島瀬町１０－９ イオン佐世保ショッピングセンター,1台
トイザらス・ベビーザらス佐世保店,長崎県佐世保市新港町２－１ させぼ五番街３Ｆ,1台
モーリーファンタジー大塔店,長崎県佐世保市大塔町１４－２ イオン大塔３階,3台
モーリーファンタジー有家店,長崎県南島原市有家町山川１３５－１ イオン有家１階,1台
モーリーファンタジー壱岐店,長崎県壱岐市芦辺町箱崎中山触字干拓2604-2 イオン壱岐2階,1台
ソニックワールド大村店,長崎県大村市古賀島町３８３－１ ソニックワールド大村,1台
モーリーファンタジー大村店,長崎県大村市幸町２５－２００ イオン大村２階,2台
にこにこらんど島原店,長崎県島原市弁天町１－７０８０－１ イオン島原店内ゲームコーナー,1台
ハイテクセガもみの木村,長崎県諫早市小川町９０－１ ハイテクセガもみの木村,1台
MrMax長崎店,長崎県長崎市岩見町２６－１ ＭｒＭａｘ長崎ショッピングセンター,1台
namcoゆめタウン夢彩都店,長崎県長崎市元船町１０－１夢彩都４Ｆ ゆめタウン夢彩都,1台
セガワールド長崎ココウォーク,長崎県長崎市茂里町１－５５ みらい長崎ココウォーク５Ｆ,2台
タイトーステーションアミュプラザ長崎店,長崎県長崎市尾上町１－１ アミュプラザ長崎４Ｆ,1台
モーリーファンタジーチトセピア店,長崎県長崎市千歳町5番1号 イオンチトセピア3F,1台
モーリーファンタジー東長崎店,長崎県長崎市田中町１０２７－８ イオン東長崎２階,2台
モーリーファンタジー長崎店,長崎県長崎市新地町3-17 ダイエー長崎店 5F,1台
ぴのきお,長崎県北松浦郡佐々町本田原免７３－３ マックスバリュ佐々,1台
MrMax時津店,長崎県西彼杵郡時津町左底郷１８３２－１ ＭｒＭａｘ時津,1台
モーリーファンタジー時津店,長崎県西彼杵郡時津町浜田郷７５１－５ イオン時津２階,2台
