店名,住所,台数
アピナ伊那店,長野県伊那市西町５０９３ アピナ伊那,1台
PALO佐久店,長野県佐久市岩村田6-2 ステーションパーク佐久1F・2F,1台
namcoイオン佐久平店,長野県佐久市佐久平駅南１１番地１０ イオン佐久平,2台
アピナ佐久インター店,長野県佐久市岩村田北１－１３－１ アピナ佐久インター,1台
ベイシア更埴店-,長野県千曲市大字桜堂字西神330-1 ベイシア更埴,1台
アピナ塩尻店,長野県塩尻市広丘野村１７９４－１ アピナ塩尻,1台
アピナ穂高店,長野県安曇野市穂高２４５０ アピナ穂高,1台
アピタ岡谷店,長野県岡谷市銀座一丁目1番5号,1台
セガ松本店,長野県松本市渚１－７－１ セガ松本,1台
タイトーFステーション松本店,長野県松本市平田東1-27-1,1台
タイトーステーション イトーヨーカドー南松本店,長野県松本市高宮中1-20,1台
モーリーファンタジー南松本店,長野県松本市双葉５－２０ イオン南松本２階,4台
アピナ川中島店,長野県長野市川中島町御厨９６７－１ アピナ川中島,1台
アピナ長野大橋店,長野県長野市若里７－９－１２ アピナ長野大橋,1台
ザ・サードプラネット 長野大通り店,長野県長野市権堂町１５０６番地３ 長電権堂第２ビル１階,2台
ソユーゲームフィールド イオンタウン長野三輪店,長野県長野市三輪九丁目４３番２４号 イオンタウン長野三輪,1台
アピナ飯田店,長野県飯田市座光寺３７２７－１ アピナ飯田,1台
タイトーステーションアイシティ２１松本店,長野県東筑摩郡山形村７９７７ アイシティ２１,1台
