店名,住所,台数
モーリーファンタジーつがる柏店,青森県つがる市柏稲盛幾世４１－１ イオンモールつがる柏１階,1台
PALOむつ店,青森県むつ市中央2-7-8,2台
モーリーファンタジー三沢店,青森県三沢市松園町3-10-1 ビードルプラザ1階,2台
PALO五所川原店,青森県五所川原市大字唐笠柳字藤巻641番1 アクロスプラザ五所川原,2台
namcoエルムの街ショッピングセンター店,青森県五所川原市大字唐笠柳字藤巻５１７－１ エルムの街ＳＣＣ棟２Ｆ,1台
イトーヨーカドー八戸沼館店,青森県八戸市沼館４－７－１１１ ピアドゥ八戸,2台
ソピア八戸店,青森県八戸市沼館４－７－１１２ ピアドゥ八戸Ｂ棟２階,1台
ファンタジードーム八戸,青森県八戸市江陽２－１４－１ ラピア八戸別棟,1台
モーリーファンタジー三春屋店,青森県八戸市十三日町13 三春屋5F,1台
モーリーファンタジー八戸田向店,青森県八戸市大字田向字毘沙門平２７－１ イオン八戸田向,2台
モーリーファンタジー十和田店,青森県十和田市大字相坂字六日町山１６６番１ イオンスーパーセンター十和田１階,2台
モーリーファンタジー平賀店,青森県平川市小和森上松岡１９３－１ マックスバリュ平賀１階,1台
インフィニ店,青森県弘前市城東北３－１０－１ さくら野百貨４階,1台
ゲームフィールド弘前樋の口店,青森県弘前市樋の口２－９－６ イオンタウン弘前樋の口,1台
セガ弘前,青森県弘前市末広１－３－３ セガワールドアクティバ,1台
イトーヨーカドー青森店,青森県青森市浜田１－１４－１ イトーヨーカドー青森,1台
タイトーステーション青森アムゼ店,青森県青森市緑３－９－２ イオン青森,1台
タイトーステーション青森ガーラモール店,青森県青森市三好２－３－１９ ガーラタウン２Ｆ,1台
プレイランド青森店,青森県青森市浜田１－１４－１ イトーヨーカドー青森２階,1台
ラ・セラキッズ,青森県青森市八重田４―２―１ ラ・セラ東バイパス,1台
青森メトロポリス,青森県青森市三好１－１５－８ ガーラタウン,1台
PALO黒石店,青森県黒石市富士見103番地3 アクロスプラザ黒石,2台
モーリーファンタジー下田店,青森県上北郡おいらせ町中野平４０－１ イオン下田２階,1台
ユーズランド下田店,青森県上北郡おいらせ町中野平４０－１ イオン下田１階,1台
モーリーファンタジー鶴田店,青森県北津軽郡鶴田町大字鶴田字中泉245番地1 鶴田フットリバーモール1F,1台
モーリーファンタジー藤崎店,青森県南津軽郡藤崎町西豊田１－７－１ イオン藤崎,2台
