店名,住所,台数
わいわいランド三島店,静岡県三島市中田町9-30 イトーヨーカドー三島3F,1台
イトーヨーカドー三島店,静岡県三島市中田町９－３０ イトーヨーカドー三島,2台
ジョイランド三島,静岡県三島市梅名３０８－６,1台
アピタ伊東店,静岡県伊東市玖須美元和田７２０－１４３ アピタ伊東,1台
タイトーＦステーションイオン富士宮店,静岡県富士宮市浅間町１番８号 イオン富士宮３階,1台
モーリーファンタジー富士宮店,静岡県富士宮市浅間町1-8 イオン富士宮2階,3台
アピタ富士吉原店,静岡県富士市国久保２－１－１０ アピタ富士吉原,1台
ザ・サードプラネット富士店,静岡県富士市永田町２－９９ ザ・サードプラネット富士,1台
ハローズガーデン富士吉原店,静岡県富士市国久保２－１－１０ アピタ富士吉原２Ｆ,1台
モーリーファンタジー・f 富士南店,静岡県富士市鮫島１１８－１０ イオンタウン富士南２階,2台
アピタ島田店,静岡県島田市宝来町８－２ アピタ島田,2台
ハローズガーデン島田店,静岡県島田市宝来町８－２ アピタ島田２階,1台
BANDAI asobi:御殿場店,静岡県御殿場市深沢1312 御殿場プレミアムアウトレット2040,1台
モーリーファンタジー御殿場店,静岡県御殿場市萩原636番地 サンサンプラザ御殿場3F,2台
AGスクエア掛川,静岡県掛川市細田２４８ ＡＧスクエア掛川,2台
アピタ掛川店,静岡県掛川市大池２２８６ アピタ掛川,2台
シートピアYAZ大須賀店,静岡県掛川市西大渕3359 ロックタウン,1台
イトーヨーカドー沼津店,静岡県沼津市高島本町１－５ イシバシプラザ,1台
ザ・サードプラネットＢｉＶｉ沼津店,静岡県沼津市大手町１－１－５ ＢｉＶｉ沼津,2台
ジョイランドアミューズ諏訪店,静岡県沼津市大諏訪叶２０－２ ジョイランドアミューズ諏訪,1台
西友沼津店,静岡県沼津市大岡１３３０－１ 西友沼津,1台
MEGAドン・キホーテ浜松可美店,静岡県浜松市南区東若林町１１－１ ＭＥＧＡドン・キホーテ浜松可美,1台
YAZWORLD浜松葵店,静岡県浜松市中区葵西2-27-10 イオンタウン浜松葵,1台
アピタ浜北店,静岡県浜松市浜北区貴布祢１２００ プレ葉ウォーク浜北,2台
タイトーFステーションイオンモール浜松市野店,静岡県浜松市東区天王町１９８１－３ イオンモール浜松市野２Ｆ,3台
タイトーステーション新浜松ザザシティ店,静岡県浜松市中区鍛冶町15 ザザシティ浜松西館,1台
タイトーＦステーションプレ葉ウォーク浜北,静岡県浜松市浜北区貴布祢１２００番地 プレ葉ウォーク浜北,1台
ビックカメラ浜松店,静岡県浜松市中区砂山町３２２－１ ビックカメラ浜松,1台
ピアゴ浜松泉町店,静岡県浜松市泉１－６－１ ピアゴ浜松泉町,1台
プラサカプコン志都呂店,静岡県浜松市西区志都呂町５６０５ イオンモール浜松志都呂３階,1台
ポート24浜松店,静岡県浜松市西区坪井町４１８３ ポート２４浜松,1台
モーリーファンタジー浜松市野店,静岡県浜松市東区天王町字諏訪１９８１－３ イオンモール浜松市野２階,3台
モーリーファンタジー浜松志都呂店,静岡県浜松市西区志都呂町2丁目37番1号 イオン浜松志都呂3階,4台
