店名,住所,台数
アミューズメントパークMG志度店,香川県さぬき市志度２４３１番地１ パルティフジ志度別棟,1台
ゆめタウン三豊店ＢＩＧＷＡＶＥ,香川県三豊市豊中町本山甲２２番地 ゆめタウン三豊２階,1台
ゆめタウン丸亀ＢＩＧＷＡＶＥ店,香川県丸亀市新田町１５０ ゆめタウン丸亀３階,2台
タイトーステーション丸亀店,香川県丸亀市川西町南１２８０番地１ フジグラン丸亀２Ｆ,1台
フジグラン丸亀,香川県丸亀市川西町南１２８０－１ フジグラン丸亀,1台
ポップンパーク丸亀,香川県丸亀市新浜町1-803-2,1台
マックスプラザ善通寺,香川県善通寺市中村町1798-2 マックスプラザ善通寺,1台
ふぇすたらんど白鳥店,香川県東かがわ市白鳥１４４－１ マルナカ白鳥,1台
SOYU Game Field高松店,香川県高松市香西本町１―１ イオンモール高松２階,1台
ゆめタウン高松店ゆめランド,香川県高松市三条町字中所６０８－１ ゆめタウン高松,3台
アミュージアム高松,香川県高松市伏石町2144-9,1台
アミューズメントパークＭＧレインボー店,香川県高松市多肥下町凹原６３０番地 マルナカパワーシティレインボー２階,1台
トイザらス高松店,香川県高松市屋島西町字百石１９１２－１ パワ－シティ屋島２Ｆ,1台
フジグラン十川,香川県高松市十川東町５５－１ フジグラン十川,1台
モーリーファンタジー高松店,香川県高松市香西本町１－１ イオンモール高松３階,3台
モーリーファンタジー高松東店,香川県高松市福岡町3-8-5 イオン高松東3階,3台
ふぇすたらんど三木店,香川県木田郡三木町氷上482-2 マルナカ三木店内,1台
アミューズメントパークＭＧ宇多津店,香川県綾歌郡宇多津町２４１９－１ マルナカスーパーセンター宇多津,1台
モーリーファンタジー・f 綾川店,香川県綾歌郡綾川町萱原８２２－１ イオンモール綾川３階,3台
モーリーファンタジー綾川店,香川県綾歌郡綾川町萱原８２２－１ イオンモール綾川３階,1台
