店名,住所,台数
サニーアクシス南国店アクシスキッズ,高知県南国市大そね乙１００９ サニーアクシス南国,2台
namcoフジグラン四万十店,高知県四万十市具同字東五反田２２２２番地 フジグラン四万十,1台
フジグラン四万十,高知県四万十市具同２２２２ フジグラン四万十,1台
アミューズメントパークMG須崎店,高知県須崎市神田2500-1 マルナカ須崎店 別棟,1台
タイトーステーション野市店,高知県香南市野市町西野２００７－１ フジグラン野市,1台
フジグラン野市,高知県香南市野市町西野２００７－１ フジグラン野市,1台
アミュージアム高知店,高知県高知市介良字長丁乙３１７－１,1台
セガワールドフジグラン,高知県高知市朝倉東町５２－１５ フジグラン高知３階,2台
チッキッズ イオン高知旭町店,高知県高知市旭町３－９４ イオン高知旭町２Ｆ,1台
フジグラン高知,高知県高知市朝倉東町５２－１５ フジグラン高知,1台
プラサカプコン高知店,高知県高知市秦南町１丁目４－８ イオンモール高知２階,2台
モーリーファンタジー高知店,高知県高知市秦南町１丁目４－８ イオンモール高知２階,3台
チッキッズ,高知県吾川郡いの町２０５ サニーアクシスいの２階,1台
