店名,住所,台数
セガワールド出水,鹿児島県出水市六月田町３４７ セガワールド出水,1台
ナムコランドプラッセ大和出水店,鹿児島県出水市本町４－４５ プラッセ大和出水２Ｆ,1台
ファミリーランドポニー出水店,鹿児島県出水市黄金町３１３－１ サンキュー出水店内ゲームコーナー,1台
モーリーファンタジー姶良店,鹿児島県姶良市西餅田264-1 イオンスタイル姶良店3階,2台
楽市楽座イオンタウン姶良,鹿児島県姶良市東餅田336 イオンタウン姶良2階,1台
ファミリーランドポニー伊集院店,鹿児島県日置市伊集院町徳重3丁目9-1 山忠ビル ソレイユタウン伊集院店2階ゲームコーナー,1台
ファミリーランドポニー永利店,鹿児島県薩摩川内市永利町７１２番地 タイヨー永利店内ゲームコーナー,1台
ふぁみりーらんどゆうゆう種子島店,鹿児島県西之表市西之表１０４４０－１ コスモタウンプラッセだいわ店内ゲームコーナー,1台
ザ・サードプラネットフレスポ国分店,鹿児島県霧島市国分広瀬２－４－１ フレスポ国分,1台
モーリーファンタジー隼人国分店,鹿児島県霧島市隼人町見次１２２９ イオン隼人国分ショッピングセンター２階,1台
あそびパーク アクロスプラザ与次郎店,鹿児島県鹿児島市与次郎1-7-20,1台
ザ・サードプラネットフレスポＪＰ鹿児島店,鹿児島県鹿児島市与次郎１－１１－１ フレスポジャングルパーク２階,3台
タイトーステーションアミュプラザ鹿児島店,鹿児島県鹿児島市中央町１－１ アミュプラザ鹿児島５Ｆ,1台
テクノパークミューズ,鹿児島県鹿児島市卸本町５－３５ ニシムタＮｓｃｉｔｙ２階ゲームコーナー,1台
ビックカメラ鹿児島中央駅店,鹿児島県鹿児島市中央町１－１ ビックカメラ鹿児島中央駅,1台
ファミリーランドポニー花棚店,鹿児島県鹿児島市吉野町３６１５－１ タイヨー花棚２階ゲームコーナー,1台
マンガ倉庫鹿児島,鹿児島県鹿児島市小松原1-6-7,1台
モーリーファンタジー鹿児島店,鹿児島県鹿児島市東開町7 イオンモール鹿児島3階,2台
モーリーファンタジー鹿児島鴨池店,鹿児島県鹿児島市鴨池2-26-30 イオン鹿児島鴨池2F,1台
ファミリーランドポニー寿店,鹿児島県鹿屋市寿７丁目４９４－１ サンキュー寿２階ゲームコーナー,1台
プラッセだいわ鹿屋店ナムコランド,鹿児島県鹿屋市白崎町４－１ プラッセだいわ鹿屋,1台
サンゲームス鹿屋店,鹿児島県肝属郡肝付町富山１００８－５,1台
ピノキオランド宮之城店,鹿児島県薩摩郡さつま町宮之城屋地１５０８ 大和ブラッセ宮之城,1台
