店名,住所,台数
スピカ大宮南銀店,埼玉県さいたま市大宮区仲町１−５７,6台
タイトーステーション大宮店,埼玉県さいたま市大宮区大門町１丁目１番地１　ミナトビル１〜３Ｆ,3台
ＴＦＳダイエー大宮,埼玉県さいたま市大宮区桜木町２丁目３番地　大宮西口共同ビル　６Ｆ,3台
ゲームシティ川口店,埼玉県川口市栄町１−１０−５,3台
ギガステーション戸田店,埼玉県戸田市大字美女木９４３−７,3台
ゲームパニック三郷,埼玉県三郷市ピアラシティ１丁目１番地２００,3台
ラウンドワンららぽーと新三郷店,埼玉県三郷市新三郷ららシティ３丁目１−１　ららぽーと新三郷　２階　２００００番,3台
ユーズランド越谷店,埼玉県越谷市レイクタウン４丁目２番地２　イオンレイクタウンＫＡＺＥ　３Ｆ（Ａ３４２）,6台
埼玉レジャーランド春日部店,埼玉県春日部市大字増富字谷際１６３−１,3台
ユーズランド春日部店,埼玉県春日部市下柳４２０−１　イオンモ−ル春日部２Ｆ,3台
プレイランド菖蒲店,埼玉県久喜市菖蒲町菖蒲６００５番地１　モラージュ菖蒲３Ｆ,3台
プラサカプコン羽生店,埼玉県羽生市川崎２−２８１−３　イオンモール羽生２Ｆ,3台
ゲームシティプラス川越店,埼玉県川越市泉町１−１　ウニクス南古谷　シネマ棟　１Ｆ,3台
埼玉レジャーランド川越店,埼玉県川越市新富町１−１７−４,3台
モナコ川越店,埼玉県川越市新富町２−４−１,3台
ＡＭフィールド・バイヨン,埼玉県ふじみ野市うれし野２丁目１６番１号　ＬＣモールうれし野２階,3台
タイトーステーション所沢店,埼玉県所沢市日吉町３−７,3台
ソユーゲームフィールド熊谷店,埼玉県熊谷市銀座二丁目２４５番地　ショッピングセンター　ニットモール　４Ｆ,3台
ｎａｍｃｏ熊谷店,埼玉県熊谷市銀座２丁目９７番地　ＣＡＲＰＡ　１階,3台
アピナ上尾店,埼玉県上尾市緑丘３−３−１１−２　ＰＡＰＡ上尾ショッピングアベニュー　プリンセス棟別棟,3台
キラキラＡｓｏｂｏｘ桶川店,埼玉県桶川市西２−９−３６　桶川マメトラショッピングパーク　２Ｆ,3台
