店名,住所,台数
タイトーステーション梅三小路店,大阪府大阪市北区梅田３−２−１３６　梅三小路内,3台
ｎａｍｃｏ梅田店,大阪府大阪市北区小松原町３−３　ＯＳビル２Ｆ　ナムコシティ内,9台
ラウンドワン梅田店,大阪府大阪市北区小松原町４番１６号,6台
ゲームポイント　シャトーＥＸ,大阪府大阪市都島区東野田町３−９−３　グランシャトービル１Ｆ２Ｆ,3台
ＰＡＬＯ京橋店,大阪府大阪市都島区片町２−３−５１　イオン京橋店２・３Ｆ,3台
タイトーステーション難波店,大阪府大阪市中央区難波千日前１５−１２,3台
ラウンドワン千日前店,大阪府大阪市中央区難波１丁目３番１号,9台
Ｇ−ｐａｌａあべの,大阪府大阪市阿倍野区阿倍野筋３−１０−１　あべのベルタ２Ｆ,3台
タイトーあべのアポロ店,大阪府大阪市阿倍野区阿倍野筋１−５−１　きんえいアポロビル４Ｆ,6台
セガ難波アビオン,大阪府大阪市浪速区難波中２−３−１５　ＭＭＯビル　Ｂ１〜３Ｆ,3台
ｎａｍｃｏ大阪日本橋店,大阪府大阪市浪速区難波中２−１−１７　コスモビル１〜３Ｆ,6台
チャレンジャーガムガム,大阪府吹田市岸部南１−２４−９,3台
エンターテインメントフィールド,大阪府吹田市千里万博公園２−１　ららぽーとＥＸＰＯＣＩＴＹ　３Ｆ　３００６０,3台
ラウンドワン高槻店,大阪府高槻市辻子三丁目６番４号,3台
ＹＡＺ寝屋川店,大阪府寝屋川市石津中町２５−２６,3台
楽市楽座イオンモール四條畷店,大阪府四條畷市砂四丁目３−２　イオンモール四條畷店　３Ｆ,3台
あうとばぁん,大阪府東大阪市小若江３−６−１５,6台
ゲームフェイス八尾ボウルアロー,大阪府八尾市天王寺屋２−６８,3台
ソユーゲームフィールド泉南店,大阪府泉南市りんくう南浜３番１２　イオンモールりんくう泉南２Ｆ,3台
ゲームパニック堺,大阪府堺市堺区築港八幡町１番１　堺浜シーサイドステージ内　堺浜えんため館,3台
ラウンドワン岸和田店,大阪府岸和田市八阪町２丁目１１番１号,3台
ラウンドワン堺中央環状店,大阪府堺市東区石原町２−２４１,3台
タイトーステーション難波店,大阪府大阪市中央区難波千日前１５−１２,0台
