店名,住所,台数
東京レジャーランド秋葉原２号店,東京都千代田区外神田４丁目３−３　ミナミビル６Ｆ、７Ｆ,6台
Ｅアミューズメントタワー,東京都千代田区外神田４−４−７　ＭＴビル３Ｆ〜８Ｆ,2台
タイトーステーション秋葉原店,東京都千代田区外神田４−２−２　貴三ビル,9台
東京レジャーランド秋葉原店,東京都千代田区外神田１丁目９番５号,9台
Ｈｅｙ,東京都千代田区外神田１−１０−５　広瀬本社ビル２Ｆ,3台
セガ秋葉原３号館,東京都千代田区外神田１−１１−１１　外神田１丁目ビルディング,9台
ｎａｍｃｏ王子サンスクエア店,東京都北区王子１−４−１　サンスクエア　２Ｆ,3台
東京レジャーランド亀有店,東京都葛飾区亀有３−２１−２,2台
アムネット小岩店,東京都江戸川区南小岩６−３１−３　石井ビル１階,3台
ラウンドワン南砂店,東京都江東区南砂六丁目７番１５号　トピレックプラザ　４Ｆ,3台
アムネット五反田店,東京都品川区西五反田１丁目２７番５号,2台
ＡＳＯ：ＶＩＢＡ！,東京都渋谷区恵比寿１−１０−５　三恵エビスビル２Ｆ,3台
タイトーステーション新宿東口店,東京都新宿区新宿３−２２−７,3台
新宿スポーツランド本館,東京都新宿区新宿３−２２−１２　サンパーク本館１Ｆ,3台
タイトーＢＩＧＢＯＸ高田馬場店,東京都新宿区高田馬場１−３５−３　ＢＩＧ　ＢＯＸ　６Ｆ,3台
ラウンドワン池袋店,東京都豊島区東池袋１−１４−１　池袋スクエア,5台
タイトーステーション池袋西口店,東京都豊島区西池袋１−１５−９　第一西池ビル,6台
プラサカプコン吉祥寺店,東京都武蔵野市吉祥寺本町１丁目１０−１　いなりやビルＢ１Ｆ,1台
プレイロットジョイ,東京都武蔵野市吉祥寺本町１−８−２３　河田ビル１Ｆ,2台
ラウンドワン府中本町駅前店,東京都府中市本町１丁目１３番３号　カネタビル,1台
タイトーステーション国分寺店,東京都国分寺市本町３−５−１１　Ｉビルディング,3台
モナコ立川店,東京都立川市柴崎町３−４−１　カワイヤビル,1台
キラキラＡｓｏｂｏｘＮＥＷ立川,東京都立川市柴崎町３−７−１７　Ｎ２ビル　１Ｆ・Ｂ１Ｆ,3台
ラウンドワン池袋店,東京都豊島区東池袋１−１４−１　池袋スクエア,0台
