店名,住所,台数
シルクハット川崎ダイス,神奈川県川崎市川崎区駅前本町８番地　ダイスビル地下２階,3台
ＡＭ　ＰＩＡ川崎モアーズ,神奈川県川崎市川崎区駅前本町７番地　岡田屋モアーズ内１・２階,3台
ｎａｍｃｏラゾーナ川崎店,神奈川県川崎市幸区堀川町７２−１　ＬＡＺＯＮＡ川崎プラザ４階,3台
タイトーステーション溝の口店,神奈川県川崎市高津区溝口１−１１−８　ムサシボウビル,6台
ラウンドワン高津店,神奈川県川崎市高津区二子４丁目８番１号,3台
タイトー横浜西口五番街店,神奈川県横浜市西区南幸１−１２−９,3台
ラウンドワン横浜駅西口店,神奈川県横浜市西区南幸２丁目８−１６,9台
タイトー横浜西口五番街店,神奈川県横浜市西区南幸１−１２−９,3台
ＡＭパーク　ネバーランド,神奈川県横浜市都筑区中川中央１−３６−１６,3台
サードプラネット横浜本店,神奈川県横浜市都筑区中川中央１丁目２５番１号　ノースポートモール　６Ｆ,3台
ＡＭスポットドリームス,神奈川県横浜市緑区鴨居３−１−９　スマーイビル１Ｆ,3台
ＡＭパーク　ネバーランド２,神奈川県座間市ひばりが丘４−１１−４８,3台
プラサカプコン横須賀店,神奈川県横須賀市若松町２丁目３０番地　モアーズシティ４Ｆ,3台
シルクハット本厚木,神奈川県厚木市中町２−４−１３　本厚木駅前ビル,3台
神奈川レジャーランド厚木店,神奈川県厚木市戸室５−３１−１,6台
タイトー海老名ビナウォーク店,神奈川県海老名市中央１−１８−１　ビナウォーク６番館２階,3台
ＡＭ　ＰＩＡ　大船,神奈川県鎌倉市大船１−２４　大船駅前ビル１〜３階,3台
ソユーゲームフィールド湘南店,神奈川県藤沢市辻堂新町四丁目１番１号　湘南モールＦＩＬＬ　２Ｆ,3台
アピナ橋本店,神奈川県相模原市緑区西橋本５−１−１　ラ・フローラル駐車場棟１Ｆ,3台
ＹＡＺ平塚店,神奈川県平塚市田村１丁目４−２６,3台
小田原メトロポリス,神奈川県小田原市前川２１９−４,3台
タイトーステーション溝の口店,神奈川県川崎市高津区溝口１−１１−８　ムサシボウビル,0台
