店名,住所,台数
Ｇ−ｐａｌａ小倉,福岡県北九州市小倉南区上葛原１丁目１４−１,3台
Ｇ−ＳＴＡＧＥ小倉,福岡県北九州市小倉北区浅野２−１４−５　あるあるＣｉｔｙ２Ｆ　,3台
カジノ京町,福岡県北九州市小倉北区京町二丁目６番３号,3台
ラウンドワン小倉店,福岡県北九州市小倉北区西港町１５−６５,3台
小倉メトロポリス,福岡県北九州市小倉北区西港町２７番地５,3台
アミューズメントＭＧＭ,福岡県北九州市八幡西区陣原１−２−１２,3台
ラウンドワン福岡天神店,福岡県福岡市中央区天神２丁目６−１２,9台
タイトーステーション福岡天神店,福岡県福岡市中央区天神２−６−３５　サザンクロスビル,3台
サンゲームス・新宮店,福岡県糟屋郡新宮町美咲３丁目１番４０号,3台
タイトーＦステーション博多店,福岡県福岡市博多区博多駅中央街６−１２　ヨドバシカメラ４Ｆ,3台
ｎａｍｃｏ博多バスターミナル店,福岡県福岡市博多区博多駅中央街２−１　博多バスターミナル　７Ｆ,9台
Ｇ−ｐａｌａ博多,福岡県福岡市博多区東光寺町２丁目６番４０号　コマーシャルモール博多　２階,3台
大宰府Ｊボウル,福岡県太宰府市都府楼南５−６−１２,3台
楽市楽座イオンモール福岡伊都店,福岡県福岡市西区北原１丁目３番１号,3台
大牟田Ｊ−ＧＡＭＥ,福岡県大牟田市旭町３−３−７,3台
楽市街道くるめ店,福岡県久留米市新合川２−７−１０　久留米アミューズメントビル内,3台
遊道楽　新合川店,福岡県久留米市新合川１−６−７,3台
