店名,住所,台数
プラサカプコン土浦店,茨城県土浦市真鍋２−１−２９,3台
楽市楽座イオンモール土浦店,茨城県土浦市上高津３６７番地　イオンモール土浦店　３階,3台
ゲームパニックつくば,茨城県土浦市中村東１−１−１,3台
ピンクパンサーつくばみらい店,茨城県つくばみらい市陽光台１−１４−１　ＴＸみらい平駅前ピアシティー内,3台
ＳＯＹＵ　ＴＯＹＳ　ＮＹ　守谷,茨城県守谷市百合ケ丘三丁目２４９番１　イオンタウン守谷　２Ｆ,3台
ピンクパンサー下妻店,茨城県下妻市小島８８４−１０,3台
ピンクパンサーつくば店,茨城県つくば市小野崎１７７−２,3台
ゲームパドック＋１古河店,茨城県古河市小堤１９１６番地１,3台
スタジオプリモ　マイム水戸店,茨城県水戸市宮町１−２−４　水戸マイム店　Ｂ１,3台
ピンクパンサー水戸けやき台店,茨城県水戸市酒門町３２７６−１,3台
ピンクパンサー那珂店,茨城県那珂市菅谷１５９３−８,3台
ピンクパンサー水戸赤塚店,茨城県水戸市河和田１−１,3台
ピンクパンサー日立店,茨城県日立市東多賀町５−１０−１０,3台
ユーズランド水戸内原店,茨城県水戸市内原２−１　イオンモール水戸内原　２Ｆ,3台
