店名,住所,台数
サードプラネットＢｉＶｉ沼津店,静岡県沼津市大手町１丁目１番５号,9台
ジョイランド　アミューズ諏訪,静岡県沼津市大諏訪２０−２,3台
セガワールドサントムーン,静岡県駿東郡清水町玉川６１−２　サントムーン柿田川　２Ｆ,3台
ＡＣＴ　御殿場店,静岡県御殿場市東山２９６−１,3台
サードプラネット富士店,静岡県富士市永田町２丁目９９番地,3台
タイトーＦステーション静岡店,静岡県静岡市葵区呉服町二丁目５番地４　ふじみや第２ビル,3台
サードプラネット静岡インター店,静岡県静岡市駿河区中野新田３８３番地の３,3台
サードプラネットフレスポ静岡店,静岡県静岡市清水区鳥坂８６０番地,3台
シートピアＹＡＺ焼津店,静岡県焼津市道原５８５番地,3台
サードプラネット島田店,静岡県島田市中溝町２５３１番地,3台
ポート２４　浜松店,静岡県浜松市西区坪井町４１８３−１,3台
ＹＡＺワールド浜松葵店,静岡県浜松市中区葵西２−２７−１０　イオンタウン内,3台
楽市楽座サンストリート浜北店,静岡県浜松市浜北区平口２８６１　サンストリート浜北店２Ｆ,3台
サードプラネットＯＺ浜松店,静岡県浜松市東区宮竹町３２２番地の１,3台
ラウンドワン浜松店,静岡県浜松市東区天王町諏訪１９８１−１７,3台
ＴＦＳイオンモール浜松市野店,静岡県浜松市東区天王町１９８１−３,3台
