店名,住所,台数
おもちゃのヨシダ,北海道旭川市本町３丁目４３７－２３８吉田ビル１Ｆ,0台
イオン旭川西,北海道旭川市緑町２３丁目２１６１－３玩具売場,0台
モーリーファンタジー旭川西,北海道旭川市緑町２３－２１６１－３イオン２Ｆ,0台
ソユーゲームフィールド旭川駅前店,北海道旭川市宮下通７丁目２番５号イオンモール旭川駅前４Ｆ,0台
イトーヨーカドー旭川,北海道旭川市６条１４丁目６４番地玩具売場,0台
モーリーファンタジー旭川パルプ,北海道旭川市パルプ町１条２丁目５０５番地２ショッピングセンターパルプタウン内１Ｆ,0台
イオン旭川春光,北海道旭川市春光町１０玩具売場,0台
ＳＯＹＵＧａｍｅＦｉｅｌｄ旭川西,北海道旭川市北海道旭川市緑町二十三丁目２１６１番地３イオンモール旭川西３Ｆ,0台
イオン伊達,北海道伊達市末永町８－１玩具売場,0台
トイザらス帯広音更,北海道河東郡音更町木野大通西１７－１スーパーオーケーセンター音更店内,0台
イオン岩見沢,北海道岩見沢市大和４条８丁目１玩具売場,0台
ＢＥＳＴＯＭ中富良野,北海道空知郡中富良野町字中富良野東１線北１７号,0台
イオン釧路,北海道釧路郡釧路町桂木１丁目１番地７玩具売場,0台
ＰＡＬＯ釧路,北海道釧路郡釧路町桂木１－１－７イオン２Ｆ,0台
タイトーステーションイオンモール釧路昭和,北海道釧路市昭和中央４－１８ー１イオンモール釧路昭和２Ｆ,0台
イトーヨーカドー釧路,北海道釧路市新橋大通６丁目２玩具売場,0台
モーリーファンタジー釧路昭和,北海道釧路市昭和中央４－１８－１イオン２Ｆ,0台
イトーヨーカドー恵庭,北海道恵庭市恵み野西２丁目１玩具売場,0台
イオン江別,北海道江別市幸町３５番地玩具売場,0台
ＰＡＬＯ江別,北海道江別市幸町３５イオン３Ｆ,0台
イオン根室,北海道根室市常盤町３丁目９番地玩具売場,0台
プリズムストーンショップ札幌店,北海道札幌市中央区南１条西３丁目３番地札幌パルコ４Ｆアニメガ札幌パルコ店内,0台
ゲームランド新さっぽろ,北海道札幌市厚別区中央２条５丁目７番新さっぽろイオンカテプリ新さっぽろ３階,0台
モーリーファンタジー東札幌,北海道札幌市白石区東札幌３条２－１,0台
イオン札幌平岡,北海道札幌市清田区平岡三条５－３－１玩具売場,0台
イオン札幌藻岩,北海道札幌市南区川沿２条２丁目１－１玩具売場,0台
ヨドバシカメラマルチメディア札幌,北海道札幌市北区北６条西５－１－２２玩具売場,0台
イオン札幌発寒,北海道札幌市西区発寒８条１２丁目１－１玩具売場,0台
西友手稲,北海道札幌市手稲区前田１条１１－３１１－１玩具売場,0台
キャッツアイ篠路,北海道札幌市北区篠路１条４丁目６－３０,0台
イトーヨーカドー福住,北海道札幌市豊平区福住２条１－２－５玩具売場,0台
キャッツアイ清田,北海道札幌市清田区清田１条１丁目２０－１,0台
モーリーファンタジー札幌平岡,北海道札幌市清田区平岡３条５丁目３－１イオン２Ｆ,0台
モーリーファンタジー札幌琴似,北海道札幌市西区琴似２条４－２－２イオン札幌琴似３階,0台
モーリーファンタジー札幌麻生,北海道札幌市北区北３９条西４－１－５イオン４Ｆ,0台
キャッツアイ新札幌,北海道札幌市厚別区厚別東５条１丁目,0台
モーリーファンタジー札幌苗穂,北海道札幌市東区東苗穂２条３丁目１番１号イオン２Ｆ,0台
モーリーファンタジー札幌元町,北海道札幌市東区北３１条東１５丁目１－１イオン３Ｆ,0台
イトーヨーカドーアリオ札幌,北海道札幌市東区北７条東９－２－２０玩具売場,0台
キャッツアイ新川,北海道札幌市北区新川２条７丁目１－７,0台
イトーヨーカドー屯田,北海道札幌市北区屯田８条３丁目５－１玩具売場,0台
モーリーファンタジー札幌桑園,北海道札幌市中央区北８条西１４丁目２８番地イオン２Ｆ,0台
イトーヨーカドー琴似,北海道札幌市西区琴似２条１－４－１玩具売場,0台
モーリーファンタジー札幌発寒,北海道札幌市西区発寒８条１２丁目１－１イオン３Ｆ,0台
ＳＯＹＵＧａｍｅＦｉｅｌｄ発寒,北海道札幌市西区発寒８条１２丁目１番１号イオンモール札幌発寒３Ｆ,0台
モーリーファンタジー手稲山口,北海道札幌市手稲区明日風６丁目１番１号ＳｕＣ１Ｆ,0台
ゲームコーナー新さっぽろ,北海道札幌市厚別区厚別中央２条５丁目６－２,0台
げーむぱーくぎゃらくしー,北海道札幌市白石区東札幌三条１丁目１－１,0台
ビックカメラ札幌,北海道札幌市中央区北五条西２－１札幌ＥＳＴＡＪＲタワー４Ｆ,0台
アドアーズ札幌北４２条,北海道札幌市東区北４２条東７丁目１－１,0台
ＭＡＸＩＭＨＥＲＯ,北海道札幌市北区北６条西６丁目鉄道高架下,0台
タイトーステーションイオンモール札幌平岡,北海道札幌市清田区平岡３条５－３－１イオンモール札幌平岡店２Ｆ,0台
ファンタジーキッズリゾート新さっぽろ,北海道札幌市厚別区厚別中央二条５－７－２サンピアザ１Ｆ,0台
ソユーゲームフィールド苗穂,北海道札幌市東区東苗穂２条三丁目１番１号イオンモール札幌苗穂２Ｆ,0台
タイトーステーション札幌狸小路２丁目,北海道札幌市中央区南３条西２丁目１３ニコービル１Ｆ,0台
モーリーファンタジー三笠,北海道三笠市岡山１０５９－１ＳｕＣ１Ｆ,0台
西條士別,北海道士別市大通東１６丁目３１４３,0台
イオン室蘭,北海道室蘭市東町２丁目４番３２号玩具売場,0台
イオン小樽,北海道小樽市築港１１番６号玩具売場,0台
イエローグローブ今金,北海道瀬棚郡今金町字神丘５４６－２３,0台
モーリーファンタジー石狩緑苑台,北海道石狩市緑苑台中央１丁目２番ＳｕＣ１Ｆ,0台
イオン帯広,北海道帯広市西４条南２０丁目１玩具売場,0台
イトーヨーカドー帯広,北海道帯広市稲田町南８線西１０－１玩具売場,0台
スガイディノス帯広,北海道帯広市白樺１６条西２丁目ドリームタウン白樺内,0台
イオン滝川,北海道滝川市東町２－２５－３玩具売場,0台
ＰＡＬＯ滝川,北海道滝川市東町２丁目２９－１,0台
アクロスプラザたきかわ,北海道滝川市南滝の川１１５－４,0台
西條百貨店稚内,北海道稚内市大黒４丁目７－１玩具売場,0台
イオン登別,北海道登別市若山町４－３３－１,0台
モーリーファンタジー登別,北海道登別市若山町４－３３－１,0台
イオン苫小牧,北海道苫小牧市柳町３－１－２０玩具売場,0台
モーリーファンタジー苫小牧,北海道苫小牧市柳町３－１－２０イオン２Ｆ,0台
ＰＡＬＯ苫小牧,北海道苫小牧市糸井１３５－１トライアルＧ棟,0台
イトーヨーカドー函館,北海道函館市美原１－３－１玩具売場,0台
モーリーファンタジー湯川,北海道函館市湯川町３－１４－５,0台
ＭＥＧＡドン・キホーテ函館,北海道函館市美原１－７－１,0台
スガイディノス函館昭和,北海道函館市昭和町３－２４－１８ゲオ函館昭和店内,0台
モーリーファンタジー中標津,北海道標津郡中標津町南町３番地１０,0台
イオン北見,北海道北見市北進町１丁目１－１玩具売場,0台
イトーヨーカドー北見,北海道北見市光西町１８５玩具売場,0台
東武イーストモール端野,北海道北見市端野町三区５７２番地１,0台
イオン上磯,北海道北斗市七重浜４－４４－１玩具売場,0台
モーリーファンタジー上磯,北海道北斗市七重浜４－４４－１イオン上磯店１Ｆ,0台
モーリーファンタジー名寄,北海道名寄市字徳田８０番地１イオンＳＣ２Ｆ,0台
ＰＡＬＯ網走,北海道網走市駒場北５丁目８３番地,0台
イオン紋別,北海道紋別市花園町３－４－３９玩具売場,0台
イオン余市,北海道余市郡余市町黒川町１２－６２－１玩具売場,0台
