店名,住所,台数
イオン延岡,宮崎県延岡市旭町２－２－１玩具売場,0台
ゲオ延岡,宮崎県延岡市出北３丁目１９番１７号,0台
イオン宮崎,宮崎県宮崎市新別府町江口８６２－１玩具売場,0台
モーリーファンタジー宮崎,宮崎県宮崎市新別府町江口８６２－１イオン２Ｆ,0台
モーリーファンタジー南宮崎,宮崎県宮崎市大淀４－７－３０,0台
イオン都城,宮崎県都城市早鈴町１９９０玩具売場,0台
ＭＥＧＡドン・キホーテ都城,宮崎県都城市上川東４－５９４８－１,0台
イオン日向,宮崎県日向市大字日知屋字古田町６１－１玩具売場,0台
ピノキオランド日南,宮崎県日南市材木町１日南ショッピングセンター２Ｆ,0台
モーリーファンタジー都城,宮崎県都城市早鈴町１９５０番地イオンＳＣ２Ｆ,0台
モーリーファンタジー延岡,宮崎県延岡市旭町２－２－１イオン２Ｆ,0台
モーリーファンタジー日向,宮崎県日向市日知屋字古田町６１－１イオン２Ｆ,0台
ﾋﾟﾉｷｵﾗﾝﾄﾞ西都店,宮崎県西都市小野崎町１－７６　　西都ショッピングセンターパオ ２Ｆ,0台
サンゲームス都城北,宮崎県都城市上川東４－５９９７－４,0台
モーリーファンタジー都城駅前,宮崎県都城市栄町４６７２－５イオン都城駅前２階,0台
楽市楽座イオンモール宮崎,宮崎県宮崎市新別府町江口８６２－１イオンモール宮崎店２階,0台
