店名,住所,台数
フジグラン宇部,山口県宇部市明神町３－１－１玩具売場,0台
ペリカン宇部,山口県宇部市大字妻崎開作４１１ゆめタウン宇部内１Ｆ,0台
アミパラ下関,山口県下関市長府才川１丁目４２－４８,0台
トイザらス下関,山口県下関市ゆめタウン１－１ゆめタウン長府内,0台
ミスターマックス綾羅木,山口県下関市綾羅木町３－２－１,0台
モーリーファンタジー下関,山口県下関市竹崎町４－４－７シーモールエスト４Ｆ,0台
ふぇすたらんど下松,山口県下松市南花岡六丁目８番１号サンリブ下松店内,0台
フジグラン岩国,山口県岩国市麻里２－９－８,0台
ペリカン南岩国,山口県岩国市南岩国町１－２０－３０ゆめタウン南岩国内２Ｆ,0台
娯楽座メリーゴーランド周東,山口県岩国市周東町下久原４３６ザ・ビッグ周東店内,0台
モーリーファンタジー光,山口県光市浅江字木園１７５６－１イオン２Ｆ,0台
ＡＧスクエア小郡,山口県山口市小郡前田町３－６,0台
ＴＨＥ３ＲＤＰＬＡＮＥＴ山口,山口県山口市湯田温泉６－８－３,0台
テクモピア阿知須,山口県山口市阿知須４８２５－１サンパークあじす２階,0台
フジグラン山口,山口県山口市大字黒川３７３６玩具売場,0台
ペリカン山口,山口県山口市大内御堀１３０２－１ゆめタウン山口内２Ｆ玩具売場,0台
タイトーＦステーション山口メルクス,山口県山口市大字黒川８２－１ハイパーモールメルクス内,0台
ペリカン新南陽,山口県周南市清水２－２－１ゆめタウン新南陽内,0台
ゆめパークゆめタウン徳山,山口県周南市青山町１丁目１８番ゆめタウン徳山２Ｆ,0台
フジグラン長門,山口県長門市仙崎字網田３２２番地２玩具売場,0台
ふぇすたらんど萩,山口県萩市大字唐桶町２－４サンリブ萩店内,0台
ＰＡＬＯ防府,山口県防府市中央町１－３,0台
ＳＯＹＵＦａｍｉｌｙＧａｍｅＦｉｅｌｄ防府,山口県防府市山口県防府市鐘紡町７番１号イオンタウン防府１Ｆ,0台
イオン防府,山口県防府市中央町１－３玩具売場,0台
ペリカン防府,山口県防府市八王子２－８－８ゆめタウン防府内３Ｆ玩具売場,0台
テクモピア柳井,山口県柳井市駅南１－１１ミスターマックス柳井ショッピングセンターＡ棟,0台
