店名,住所,台数
ビーカム成沢,山形県山形市成沢西５－３－２７,0台
モーリーファンタジー山形北,山形県山形市馬見ケ崎２－１２－１９イオン２Ｆ,0台
モーリーファンタジー酒田南,山形県酒田市あきほ町１２０－１イオン１Ｆ,0台
イオン酒田南,山形県酒田市あきほ町１２０－１玩具売場,0台
わくわくランド新庄,山形県新庄市金沢字大道上２０３３－４ヤマザワ新庄店内,0台
モーリーファンタジー天童,山形県天童市芳賀土地区画整理事業地内３４街区イオン３Ｆ,0台
ＳＯＹＵＧａｍｅＦｉｅｌｄ天童,山形県天童市芳賀土地区画整理事業地内３４街区イオンモール天童２階,0台
イオン東根,山形県東根市さくらんぼ駅前３丁目７番１５号,0台
モーリーファンタジー東根,山形県東根市さくらんぼ駅前３丁目７番１５号,0台
わくわくランド中山,山形県東村山郡中山町大字長崎新町３０３０－１ヤマザワ中山店内,0台
モーリーファンタジー三川,山形県東田川郡三川町大字猪子字和田庫１２８－１イオン２Ｆ,0台
イオン三川,山形県東田川郡三川町大字猪子字和田庫１２８－１イオン２Ｆ玩具売場,0台
モーリーファンタジー米沢,山形県米沢市春日２－１３－４イオン２Ｆ,0台
イオン米沢,山形県米沢市春日２－１３－４玩具売場,0台
