店名,住所,台数
バローランド羽島,岐阜県羽島市江吉良町２９３９バロー羽島インター店１Ｆ,0台
ＮＩＣＯＰＡ羽島ウイング,岐阜県羽島市小熊町島１丁目４６番地,0台
ハローズ萩原,岐阜県下呂市萩原町大字花池字川原１６４－１バロー萩原店,0台
アピタ御嵩,岐阜県可児郡御嵩町上恵土字西畑１０５２ばん１玩具売場,0台
レイク・リビン可児,岐阜県可児市下恵土５７５０玩具売り場,0台
アピタ各務原,岐阜県各務原市鵜沼各務原町８丁目７番地玩具売場,0台
モーリーファンタジー各務原,岐阜県各務原市那加萱場町３－８イオンモール３Ｆ,0台
イオン各務原,岐阜県各務原市那加萱場町３－８玩具売場,0台
モーリーファンタジー関,岐阜県関市倉知５１６サンサンシティ・マーゴイオン１Ｆ,0台
イオン関,岐阜県関市倉知５１６サンサンシティ・マーゴイオン2Ｆ玩具売場,0台
セガマーゴ関,岐阜県関市倉知５１６番地,0台
アピタ岐阜,岐阜県岐阜市加納神明町６丁目１番地玩具売場,0台
モーリーファンタジー岐阜,岐阜県岐阜市正木中１－２－１マーサ２１北館３Ｆイオン岐阜３Ｆ,0台
モーリーファンタジー岐阜（２Ｆ）,岐阜県岐阜市正木中１丁目２番１号イオン岐阜店２階,0台
ピアゴ長良,岐阜県岐阜市福光東１丁目２６番７号,0台
イトーヨーカドー柳津,岐阜県岐阜市柳津町丸野３－３－６玩具売場,0台
ピアゴ恵那,岐阜県恵那市長島町正家二丁目２番地１７玩具売場,0台
ちゃおらんどバロー高山,岐阜県高山市岡本町３丁目１８－２バロー高山店２階,0台
アピタ飛騨高山,岐阜県高山市国府町金桶４１番地玩具売場,0台
平和堂高富,岐阜県山県市高木１４７３玩具売場,0台
ピアゴ瑞浪,岐阜県瑞浪市薬師町二丁目７２番地玩具売場,0台
ピアゴ多治見,岐阜県多治見市住吉町三丁目１９番地の１玩具売場,0台
モーリーファンタジー多治見,岐阜県多治見市西坂町５－３１－１,0台
モーリーファンタジー大垣,岐阜県大垣市外野２丁目１００番イオン２Ｆ,0台
カラフルパーク大垣,岐阜県大垣市三塚町丹瀬４６３－１イオンタウン大垣１Ｆ,0台
アル・プラザ鶴見,岐阜県大垣市鶴見町字上渡瀬６４１－２玩具売場,0台
セガワールドアクアウォーク大垣,岐阜県大垣市林町６－８０－２１,0台
にこぱアクアウォーク大垣,岐阜県大垣市林町６丁目８０番２１,0台
アピタ大垣,岐阜県大垣市林町六丁目８０番２１号玩具売場,0台
バローランド中津川,岐阜県中津川市淀川町３－８ルビットタウン２Ｆ,0台
アピタ美濃加茂,岐阜県美濃加茂市野笹町２丁目５番６５号玩具売場,0台
アピタ北方,岐阜県本巣郡北方町平成２丁目３番地玩具売場,0台
平和堂大野,岐阜県揖斐郡大野町大字黒野字上柿木１２－１玩具売場,0台
