店名,住所,台数
モーリーファンタジースーパーセンター一関,岩手県一関市狐禅寺字石ノ瀬１１番１ＳｕＣ１Ｆ,0台
モーリーファンタジー一関,岩手県一関市山目字泥田８９－１イオン２Ｆ,0台
セガワールド水沢,岩手県奥州市水沢区佐倉河字鐙田４－１,0台
イオンスーパーセンター水沢桜屋敷,岩手県奥州市水沢区桜屋敷西２８－１０,0台
イオン前沢,岩手県奥州市前沢区向田２－８５玩具売場,0台
モーリーファンタジー前沢,岩手県奥州市前沢区向田２丁目８５イオン２Ｆ,0台
イトーヨーカドー花巻,岩手県花巻市下小舟渡１１８－１玩具売場,0台
ＳＯＹＵＧａｍｅＦｉｅｌｄ釜石,岩手県釜石市港町二丁目１番１号　イオンタウン釜石店３Ｆ,0台
ＰＡＬＯ久慈,岩手県久慈市長内町第３０地割３２－２,0台
モーリーファンタジー盛岡渋民,岩手県盛岡市玉山区渋民字鶴飼２０番地－１ＳｕＣ１Ｆ,0台
スカロップ川徳,岩手県盛岡市菜園１－１０－１パルクアベニュー川徳６Ｆ,0台
タイトーステーション盛岡マッハランド,岩手県盛岡市上堂１－２－３８マッハランド内,0台
モーリーファンタジー盛岡,岩手県盛岡市前潟４－７－１イオン２Ｆ,0台
イオン盛岡,岩手県盛岡市前潟４丁目７－１ホビー売り場,0台
プラサカプコン盛岡,岩手県盛岡市前潟４丁目７番１号イオンモール盛岡２Ｆ,0台
モーリーファンタジー盛岡南,岩手県盛岡市津志田西２丁目１７－５０盛岡南ショッピングセンターサンサ店１Ｆ,0台
モーリーファンタジーイオン盛岡南,岩手県盛岡市本宮７－１－１イオン３Ｆ,0台
ＳＯＹＵＧａｍｅＦｉｅｌｄ盛岡南,岩手県盛岡市本宮７－１－１イオンモール盛岡南１Ｆ,0台
イオン盛岡南,岩手県盛岡市本宮七丁目１番１号ホビー売り場,0台
イオンスーパーセンター金ヶ崎,岩手県胆沢郡金ケ崎町三ヶ尻荒巻１６５玩具売場,0台
イオン江釣子,岩手県北上市北鬼柳１９－６８玩具売場,0台
トイザらス北上,岩手県北上市有田町１０－３,0台
イオンスーパーセンター陸前高田,岩手県陸前高田市米崎町字川崎２２６玩具売場,0台
