店名,住所,台数
セガ海田,広島県安芸郡海田町南大正町３－３５,0台
フジグラン安芸,広島県安芸郡坂町北新地２丁目３－３０玩具売場,0台
モーリーファンタジー広島府中,広島県安芸郡府中町大須２－１－１イオン２Ｆ,0台
トイザらスベビーザらス広島府中,広島県安芸郡府中町大須２－１－１イオンモール広島府中３Ｆ,0台
イオン広島府中,広島県安芸郡府中町大須２－１－１玩具売場,0台
ペリカン呉,広島県呉市宝町５－１０ゆめタウン呉内３Ｆ玩具売場,0台
モーリーファンタジー広島祇園,広島県広島市安佐南区祇園３丁目２－１イオン３Ｆ,0台
モーリーファンタジー・ｆ広島祇園,広島県広島市安佐南区祇園３丁目２－１イオンＳＣ３Ｆ,0台
タイトーステーションフジグラン緑井,広島県広島市安佐南区緑井１－５－２フジグラン緑井３Ｆ,0台
フジグラン緑井,広島県広島市安佐南区緑井１－５－２玩具売場,0台
フジグラン高陽,広島県広島市安佐北区亀崎一丁目１番６号玩具売場,0台
娯楽座メリーゴーランド高陽,広島県広島市安佐北区口田４丁目６－３２マックスバリュ高陽店３階,0台
わいわい王国メリーゴーランド楽々園,広島県広島市佐伯区楽々園４丁目１４－１ナイスデイ２階,0台
ヤマダ電機テックランド佐伯,広島県広島市佐伯区楽々園四丁目１４－３２,0台
プラサカプコン広島,広島県広島市佐伯区石内東４丁目１番１号ジアウトレット広島１Ｆ,0台
ふぇすたらんど五日市,広島県広島市佐伯区八幡１－２４－１７サンリブ五日市店内,0台
アミパラ広島,広島県広島市西区西観音町３－１７,0台
ヤマダ電機ＬＡＢＩ広島,広島県広島市中区胡町５－２２,0台
エディオン広島本店,広島県広島市中区紙屋町２－１－１８,0台
タイトーステーション広島紙屋町,広島県広島市中区紙屋町２丁目２?２１,0台
タイトーステーション広島本通,広島県広島市中区本通３－５,0台
アミューズメント１４１メリーゴーランド温品,広島県広島市東区温品１丁目３－２フォレオ広島東２階,0台
タイトーＦステーションゆめタウンみゆき,広島県広島市南区宇品西６丁目７番１４号ゆめタウンみゆき２Ｆ,0台
イオン宇品,広島県広島市南区宇品東６－１－１５,0台
モーリーファンタジー宇品,広島県広島市南区宇品東６－１－１５イオン２Ｆ,0台
ビックカメラ広島駅前,広島県広島市南区松原町５－１,0台
楽市楽座広島,広島県広島市南区段原南１－３－５２広島段原ショッピングセンター７階,0台
フジグラン三原,広島県三原市円一町１－１－７玩具売場,0台
モーリーファンタジー三原,広島県三原市城町２－１３－１イオン２Ｆ,0台
イオン三原,広島県三原市城町２－１３－１玩具売場,0台
ペリカン大竹,広島県大竹市晴海１－６－１ゆめタウン大竹内２Ｆ玩具売場,0台
ゆめタウン学園,広島県東広島市西条下見６丁目２－３２玩具売場,0台
フジグラン東広島,広島県東広島市西条町御薗宇４４０５玩具売場,0台
ペリカン東広島,広島県東広島市西条町土与丸１－５－７ゆめタウン東広島内４Ｆ,0台
ゆめタウン廿日市,広島県廿日市市下平良二丁目２－１,0台
モーリーファンタジー尾道,広島県尾道市天満町１７－２３イオン２Ｆ,0台
フジグラン尾道,広島県尾道市東尾道１９－７玩具売場,0台
福山メトロポリス,広島県福山市一文字町２４－１,0台
あみぱらんど福山,広島県福山市三吉町南２－８－２４,0台
メリーゴーランド神辺,広島県福山市神辺町新湯野２－３０－４アクト神辺１階,0台
タイトーステーションフジグラン神辺,広島県福山市神辺町大字新道上字２－１０－２６フジグラン神辺店３Ｆ,0台
フジグラン神辺,広島県福山市神辺町大字新道上字２－１０－２６玩具売場,0台
セガワールド福山,広島県福山市瀬戸町大字山北３００,0台
トイザらス福山,広島県福山市東深津町３－２１－４,0台
イトーヨーカドー福山,広島県福山市入船町３－１－６０玩具売場,0台
