店名,住所,台数
レイク・リビン甚目寺,愛知県あま市甚目寺五位田１２８玩具売場,0台
イオン三好,愛知県みよし市三好町青木９１玩具売場,0台
モーリーファンタジー三好,愛知県みよし市三好町青木９１番地イオン２Ｆ,0台
ピアゴ勝幡,愛知県愛西市勝幡町弁才天２２８３番地６０玩具売場,0台
アピタ安城南,愛知県安城市桜井町貝戸尻６０番地玩具売場,0台
イトーヨーカドー安城,愛知県安城市住吉町３－１－８玩具売場,0台
セガ安城,愛知県安城市百石町２丁目３５番地１３,0台
ハローズガーデン安城南,愛知県安城市桜井町貝戸尻６０番地アピタ安城南店２階,0台
ピアゴ福釜,愛知県安城市福釜町矢場１６番地５玩具売場,0台
安城メトロポリス,愛知県安城市浜富町６－８,0台
西友安城,愛知県安城市大東町９－３１玩具売場,0台
プレイランドソピア安城,愛知県安城市住吉町３－１－８イトーヨーカドー安城店２Ｆ,0台
ピアゴ東栄,愛知県安城市東栄町５丁目２０－１玩具売場,0台
ハローズガーデン三河安城,愛知県安城市三河安城南町１－４－８ピアゴ三河安城店２Ｆ,0台
アピタ一宮,愛知県一宮市両郷町１丁目６番地玩具売場,0台
アピタ木曽川,愛知県一宮市木曽川町黒田八ノ通５１番地の４玩具売場,0台
イオン木曽川,愛知県一宮市木曽川町黒田字南八ツケ池２５－１玩具売場,0台
セガイオンモール木曽川,愛知県一宮市木曽川町黒田八ヶ池２５－１イオンモール木曽川３階,0台
セガワールド尾西,愛知県一宮市篭屋３丁目９番７号,0台
ハローズガーデン尾西,愛知県一宮市小信中島東鵯平５９ピアゴ尾西２階,0台
ピアゴ大和,愛知県一宮市大和町毛受字一本松１９番地玩具売場,0台
ピアゴ伝法寺,愛知県一宮市丹陽町伝法寺字中東畑１９４３番地玩具売場,0台
ピアゴ尾西,愛知県一宮市小信中島東鵯平５９,0台
ピアゴ妙興寺,愛知県一宮市大和田町妙興寺白山西３－２,0台
モーリーファンタジーピアゴ大和,愛知県一宮市大和町毛受字一本松１９番地ピアゴ大和店２Ｆ,0台
モーリーファンタジー木曽川,愛知県一宮市木曽川町黒田字南八ツヶ池２５－１イオン２Ｆ,0台
アピタ稲沢,愛知県稲沢市天池五反田町１番地玩具売場,0台
アピタ稲沢東,愛知県稲沢市下津穂所１－１－１玩具売場,0台
プラサカプコン稲沢,愛知県稲沢市下津町地内尾張西部郡都市拠点地区１３街区リーフフォーク稲沢２０１区画,0台
アピタ岡崎北,愛知県岡崎市日名北町４番地４６玩具売場,0台
イオン岡崎南,愛知県岡崎市戸崎町字ばら山１－１玩具売場,0台
ゲームランド岡崎,愛知県岡崎市戸崎町字外山３８－５イオンモール岡崎シネマ館３Ｆ,0台
ニコパウイングタウン岡崎,愛知県岡崎市羽根町小豆坂３番地,0台
にこぱエルエルタウン岡崎,愛知県岡崎市上和田町南天白５－１エルエルタウン岡崎店,0台
ピアゴ上和田,愛知県岡崎市上和田町字サジ１０玩具売場,0台
ピアゴ洞,愛知県岡崎市洞町字的場７２番地２玩具売場,0台
モーリーファンタジー岡崎,愛知県岡崎市上六名町字宮前１ショッピングセンターコムタウン１Ｆ,0台
モーリーファンタジー岡崎南,愛知県岡崎市戸崎町字ばら山１－１イオン３Ｆ,0台
ヨシヅヤＪＲ蟹江,愛知県海部郡蟹江町今３丁目１７番地,0台
ピアゴ幸田,愛知県額田郡幸田町大草山添１７０番地玩具売場,0台
アピタ蒲郡,愛知県蒲郡市港町１７番１０号玩具売場,0台
アピタ刈谷,愛知県刈谷市南桜町２丁目５６番１号玩具売場,0台
イトーヨーカドー刈谷,愛知県刈谷市高倉町２６０１玩具売場,0台
セガイオンタウン刈谷,愛知県刈谷市東境町京和１,0台
ピアゴ井ヶ谷,愛知県刈谷市井ヶ谷町下前田３５番地１玩具売場,0台
アピタ岩倉,愛知県岩倉市旭町１丁目２５番地玩具売場,0台
ピアゴ八剱,愛知県岩倉市八剱町長野１番地３玩具売場,0台
アピタ江南西,愛知県江南市松竹町上野２０５番地玩具売場,0台
ピアゴ江南,愛知県江南市村久野町瀬頭１６３玩具売場,0台
ワンダーフォレスト江南西,愛知県江南市松竹町上野２０５ＶＩＡＭＡＬＬアピタ江南西店２Ｆ,0台
平和堂江南,愛知県江南市上奈良町栄６１－３玩具売場,0台
アピタ高蔵寺,愛知県春日井市中央台２丁目５番地玩具売場,0台
キッズインタイトーイオン春日井,愛知県春日井市柏井町４丁目１７番地イオン春日井店３Ｆゲームコーナー,0台
クラブセガ春日井,愛知県春日井市岩野町菅廻間４１８０,0台
ピアゴ篠木,愛知県春日井市下市場町３丁目６番地２玩具売場,0台
西友ＬＩＶＩＮザ・モール春日井,愛知県春日井市六軒屋町字東丘２２玩具売場,0台
アピタ小牧,愛知県小牧市堀の内３丁目１５番地玩具売場,0台
アピタ桃花台,愛知県小牧市古雅一丁目１番地玩具売場,0台
イオン小牧,愛知県小牧市東１－１２６玩具売場,0台
アミューズファクトリー常滑,愛知県常滑市りんくう町２丁目２０番３イオンモール常滑店２Ｆ,0台
モーリーファンタジー常滑,愛知県常滑市りんくう町２丁目２０番３イオンスタイル２Ｆ,0台
ピアゴ新城,愛知県新城市字的場２５番地の１１玩具売場,0台
アピタ瀬戸,愛知県瀬戸市幸町３３番地玩具売場,0台
セガ東名ボール,愛知県瀬戸市西原町２丁目１１４,0台
モーリーファンタジー瀬戸みずの,愛知県瀬戸市みずの坂２丁目２５３番地イオン２Ｆ,0台
レイク・リビン清洲,愛知県清須市西市場５丁目５－３玩具売場,0台
アピタ名古屋空港,愛知県西春日井郡豊山町大字豊場字林先１番８玩具売場,0台
アピタ西尾,愛知県西尾市高畠町３丁目２３－９玩具売場,0台
ファンタジーウエストタウン西尾,愛知県西尾市高畠町３－２３－９ヴェルサウォーク西尾店３階,0台
アピタ大府,愛知県大府市明成町４丁目１３３番地玩具売場,0台
アピタ大口,愛知県丹羽郡大口町丸２丁目３６番地玩具売場,0台
