店名,住所,台数
モーリーファンタジー小千谷,新潟県小千谷市大字平沢新田字荒田３３９イオン２Ｆ,0台
こころっこ上越,新潟県上越市とよば２３９番の１バロー上越店内,0台
アピナ上越インター,新潟県上越市下門前１６６１,0台
イトーヨーカドー直江津,新潟県上越市西本町３－８－８玩具売場,0台
モーリーファンタジー上越,新潟県上越市富岡３４５８番地アコーレ２階アコーレ２Ｆ,0台
アピタ新潟西,新潟県新潟市小新４７４玩具売場,0台
モーリーファンタジー・ｆ新潟南,新潟県新潟市江南区下早通柳田１丁目１番１号イオンモール２Ｆ,0台
トイザらス新潟,新潟県新潟市中央区上近江４－１２－２０デッキィ４０１内,0台
アピタ新潟亀田,新潟県新潟市江南区鵜ノ子４－４６６玩具売場,0台
ヨドバシカメラマルチメディア新潟駅前,新潟県新潟市中央区弁天１－２－６玩具売場,0台
モーリーファンタジー新潟東,新潟県新潟市東区大形本町３－１－２イオン３Ｆ,0台
カプコサーカス新潟東,新潟県新潟市東区大形本町３－１－２イオン新潟東店内ゲームコーナー,0台
モーリーファンタジー新潟青山,新潟県新潟市西区青山２－５－１イオン２Ｆ,0台
イトーヨーカドー丸大新潟,新潟県新潟市中央区本町通り６－１１２２－１玩具売場,0台
モーリーファンタジー新潟南,新潟県新潟市江南区下早通柳田１丁目１番１号イオンモール３Ｆ,0台
タイトーＦステーションイオン新潟西,新潟県新潟市西区小新南２丁目１番１０号,0台
イオン白根,新潟県新潟市南区能登４０９－２,0台
トイザらス長岡,新潟県長岡市川崎町１４３６－５,0台
アピナ長岡,新潟県長岡市堺東町２２,0台
イトーヨーカドー長岡,新潟県長岡市城内町２－３－１２玩具売場,0台
モーリーファンタジー六日町,新潟県南魚沼市余川３１００イオン２Ｆ,0台
モーリーファンタジー新発田,新潟県新発田市住吉町５丁目１１番５号イオン２Ｆ,0台
モーリーファンタジー県央,新潟県燕市井土巻３－６５イオン２Ｆ,0台
モーリーファンタジー十日町,新潟県十日町市字川端丑７８４－１イオン１Ｆ,0台
イオン上越,新潟県上越市富岡３４５７玩具売場,0台
ビックカメラ新潟,新潟県新潟市中央区花園１－１－２１ＣｏＣｏＬｏ南館内１Ｆ,0台
イオン県央,新潟県燕市井土巻３－６５ホビー売場,0台
イオン三条,新潟県三条市西裏館２－１２－２０玩具売場,0台
イオン新潟南,新潟県新潟市江南区下早通柳田１－１－１玩具売場,0台
イオン長岡,新潟県長岡市古正寺１－２４９－１玩具売場,0台
イオン新発田,新潟県新発田市住吉町５丁目１１番５号玩具売場,0台
ＰＡＬＯ十日町,新潟県十日町市旭町１６１リオン・ドール十日町,0台
タイトーＦステーション燕三条,新潟県燕市井土巻３－１５０イオン県央店アメニティ棟１Ｆ,0台
タカラ島新村上,新潟県村上市仲間町２００番地村上プラザ１階内,0台
ハローズガーデン長岡,新潟県長岡市千秋２－２７８アピタＲＩＶＥＲＳＩＤＥＳＥＮＳＨＵ長岡店２Ｆ,0台
ハローズガーデン新潟亀田,新潟県新潟市江南区鵜ノ子４－４６６アピタ新潟亀田店２Ｆ,0台
ファミリーアミューズメント新潟西,新潟県新潟市西区小新字白鳥４７４アピタ新潟西店２Ｆ,0台
ゲオ寺尾,新潟県新潟市西区五十嵐東１丁目７番１号,0台
ＭＥＧＡドン・キホーテ柏崎,新潟県柏崎市東長浜町４－１５,0台
アピタ長岡,新潟県長岡市千秋二丁目２７８番地玩具売場,0台
