店名,住所,台数
アル・プラザ近江八幡,滋賀県近江八幡市桜宮町２０２－１玩具売場,0台
タイトーＦステーションイオン近江八幡,滋賀県近江八幡市鷹飼町南３丁目７番地イオン近江八幡２番街１階,0台
モーリーファンタジーイオン近江八幡,滋賀県近江八幡市鷹飼町南３丁目７番,0台
ピアゴ近江八幡,滋賀県近江八幡市鷹飼町一本木２２３－３,0台
アル・プラザ栗東,滋賀県栗東市綣２－３－２２,0台
アミパライオンタウン湖南ゲームコーナー,滋賀県湖南市岩根４５８０イオンタウン湖南,0台
セガワールド甲西,滋賀県湖南市夏見二ツ橋３５６－１,0台
平和堂甲西中央,滋賀県湖南市中央１－３８,0台
アル・プラザ水口,滋賀県甲賀市水口町本綾野５６６－１玩具売場,0台
ピアゴ水口,滋賀県甲賀市水口町北泉１丁目３０玩具売場,0台
ＧａｍｅＦｉｅｌｄピエリ守山,滋賀県守山市滋賀県守山市今浜町２６２０－５,0台
アル・プラザ守山,滋賀県守山市播磨田町１８５－１玩具売場,0台
アル・プラザ草津,滋賀県草津市西渋川１－２３－３０玩具売場,0台
イオン草津,滋賀県草津市新浜町３００玩具売場,0台
ゲームランド草津,滋賀県草津市新浜町３００イオンモール草津３Ｆ,0台
セガワールド草津,滋賀県草津市西渋川１－２３－２３Ａ－ＳＱＵＡＲＥＳＡＲＡ新棟２Ｆ,0台
モーリーファンタジー草津,滋賀県草津市新浜町３００イオン３Ｆ,0台
アル・プラザ堅田,滋賀県大津市本堅田５丁目２０番１０号玩具売場,0台
アル・プラザ瀬田,滋賀県大津市月輪１－３－８,0台
モーリーファンタジー大津一里山,滋賀県大津市一里山７丁目１－１,0台
滋賀レジャーランド大津,滋賀県大津市におの浜３－１－４３,0台
ＴＨＥ３ＲＤＰＬＡＮＥＴ大津,滋賀県大津氏打出浜１４－３０（仮）打出浜商業施設６Ｆ,0台
アル・プラザ長浜,滋賀県長浜市小堀町４５０,0台
モーリーファンタジー長浜,滋賀県長浜市山階町２７１－１イオン２Ｆ,0台
アル・プラザ八日市,滋賀県東近江市八日市浜野町３－１,0台
ビバシティ平和堂,滋賀県彦根市竹ケ鼻町４３－１玩具売場,0台
アル・プラザ野洲,滋賀県野洲市小篠原１０００玩具利場,0台
