店名,住所,台数
イオンかほく,石川県かほく市内日角タ２５玩具売場,0台
モーリーファンタジーかほく,石川県かほく市内日角地内タ２５番イオン２Ｆ,0台
アル・プラザ加賀,石川県加賀市作見町ル２５－１玩具売場,0台
レジャーランド加賀,石川県加賀市箱宮町ヲ１番－１,0台
アピタ金沢,石川県金沢市中村町１０番２０号玩具売場,0台
アル・プラザ金沢,石川県金沢市諸江町３０－１玩具売場,0台
イオン金沢,石川県金沢市福久２－５８玩具売場,0台
セガイオンタウン金沢示野,石川県金沢市示野中町８７街区１号,0台
セガワールド金沢,石川県金沢市諸江町３０－１アル・プラザ金沢２階,0台
ハローズガーデン金沢,石川県金沢市中村町１０－２０アピタ金沢店内２Ｆ,0台
モーリーファンタジー杜の里,石川県金沢市もりの里１丁目７０番地イオン２Ｆ,0台
レジャーランド藤江新館,石川県金沢市藤江南２－１０５,0台
アル・プラザ鹿島,石川県鹿島郡中能登町井田と部１－１玩具売場,0台
ピアゴ七尾,石川県七尾市御祓町１番地玩具売場,0台
アル・プラザ小松,石川県小松市園町八２３－１玩具売場,0台
楽市楽座イオンモール新小松,石川県小松市沖周辺土地区画整理事業区域内２０街区イオンモール新小松店２階,0台
イオン松任,石川県白山市平松町１０２－１玩具売場,0台
アピナ野々市,石川県野々市市白山町４－１イオンタウン野々市店内,0台
イオン御経塚,石川県野々市市御経塚２－９１１Ｆ玩具売場,0台
モーリーファンタジー・ｆ御経塚,石川県野々市市市御経塚２丁目９１番地イオン１Ｆ,0台
