店名,住所,台数
モーリーファンタジー港北,神奈川県横浜市都筑区中川中央１－３１－１－５０８３,0台
スーパーアルプス愛川,神奈川県愛甲郡愛川町角田５８０スーパーアルプス愛川店,0台
ＭＥＧＡドン・キホーテ綾瀬,神奈川県綾瀬市大上２－１－１,0台
ハローズガーデン綾瀬,神奈川県綾瀬市深谷３７３４－１綾瀬タウンヒルズショッピングセンター２階,0台
イトーヨーカドー伊勢原,神奈川県伊勢原市桜台１－８－１玩具売場,0台
タイトーＦステーションイオン伊勢原,神奈川県伊勢原市白根６３０－１イオン伊勢原店３Ｆ,0台
プラサカプコン横須賀,神奈川県横須賀市若松町２－３０モアーズシティ４Ｆ,0台
モーリーファンタジー横須賀,神奈川県横須賀市本町２－１－１２,0台
モーリーファンタジー久里浜,神奈川県横須賀市久里浜５丁目１３－１イオン２Ｆ,0台
西友ＬＩＶＩＮよこすか,神奈川県横須賀市平成町３－２１－４玩具売場,0台
富士シティオ野比,神奈川県横須賀市野比１－３９－８,0台
ＣＬＵＢＳＥＧＡ綱島,神奈川県横浜市港北区綱島西２－６－２９城田ビル３Ｆ,0台
ＣＬＵＢＳＥＧＡ新杉田,神奈川県横浜市磯子区杉田１丁目１‐１らびすた新杉田２Ｆ,0台
ＮＩＣＯＰＡ横浜四季の森フォレオ,神奈川県横浜市旭区上白根３丁目４１番１号,0台
ＴＨＥ３ＲＤＰＬＡＮＥＴ港北ニュータウン,神奈川県横浜市筑区中川中央１丁目２５番１号ノースポートモール６Ｆ,0台
アピタ戸塚,神奈川県横浜市戸塚区上倉田町７６９－１玩具売場,0台
アピタ長津田,神奈川県横浜市緑区長津田みなみ台４丁目７－１玩具売場,0台
アピタ日吉,神奈川県横浜市港北区箕輪町２－７－５玩具売場,0台
イオン金沢シーサイド,神奈川県横浜市金沢区並木２－１３－１玩具売場,0台
イオン本牧,神奈川県横浜市中区本牧原７－１玩具売場,0台
イトーヨーカドーたまプラーザ,神奈川県横浜市青葉区美しが丘１－６－１玩具売場,0台
イトーヨーカドーららぽーと横浜,神奈川県横浜市都筑区池辺町４０３５－１玩具売場,0台
イトーヨーカドー横浜別所,神奈川県横浜市南区別所１－１４－１玩具売場,0台
イトーヨーカドー桂台,神奈川県横浜市栄区中１５－１,0台
イトーヨーカドー綱島,神奈川県横浜市港北区綱島西２－８－１玩具売場,0台
イトーヨーカドー若葉台,神奈川県横浜市旭区若葉台３－７－１玩具売場,0台
イトーヨーカドー上永谷,神奈川県横浜市港南区丸山台１－１２玩具売場,0台
