店名,住所,台数
アピタ福井大和田,福井県福井市大和田２丁目１２３０,0台
ジョイランド　ベル,福井県福井市花堂南２丁目１６－１ショッピングステージ・ベル店内２Ｆ,0台
ＰＡＬＯ武生,福井県越前市横市町２８－１４－１エスカモール武生楽市店２Ｆ,0台
セガワールド武生,福井県越前市新町３字１３－４,0台
ピアゴ丸岡,福井県坂井市丸岡町一本田弐字小深町１１－３玩具売場,0台
アル・プラザアミ,福井県坂井市春江町随応寺１６－１１,0台
モーリーファンタジー鯖江,福井県鯖江市下河端１６字下町１６－１アル・プラザ鯖江２Ｆ,0台
アル・プラザ鯖江,福井県鯖江市下河端町１６字下町１６番１玩具売場,0台
アピタ敦賀,福井県敦賀市中央町１丁目５番５号玩具売場,0台
アル・プラザ敦賀,福井県敦賀市白銀町１１－５玩具売場,0台
アル・プラザベル,福井県福井市花堂南２－１６－１玩具売場,0台
ジョーシン福井本店,福井県福井市高柳１－２０１,0台
モーリーファンタジー福井,福井県福井市松城町１２－７パリオＣＩＴＹ２Ｆ,0台
レジャーランドワイプラザ,福井県福井市新保町７－９－１Ｂ棟２Ｆ,0台
ジョイランドエルパ,福井県福井市大和田町２丁目１２１２番地ラブリーパートナー・エルパ店内２Ｆ,0台
福井西武,福井県福井市中央１－８－１西武百貨店福井店７Ｆ玩具売場,0台
