店名,住所,台数
イトーヨーカドー平,福島県いわき市平６－６－２玩具売場,0台
セガワールド勿来,福島県いわき市勿来町四沢字鍵田１３,0台
セガ小名浜,福島県いわき市小名浜林城字塚前１８－１,0台
ちびっこザウルス,福島県いわき市小名浜大原字東田９６ヨークタウンアクロスプラザ大原店内,0台
モーリーファンタジーいわき,福島県いわき市平字三倉６８－１,0台
らくだのせなか鹿島エブリア,福島県いわき市鹿島町米田字日渡５鹿島エブリアショッピングセンター内プレビプレイランドコーナーらくだ,0台
アピタ会津若松,福島県会津若松市神指町大字南四合字幕内南１５４玩具売場,0台
おもちゃ屋本舗会津千石,福島県会津若松市八角町１番１号,0台
モーリーファンタジー鏡石,福島県岩瀬郡鏡石町桜岡３７５－９ＳｕＣ１Ｆ,0台
ＰＡＬＯ喜多方,福島県喜多方市字押切南２－４２－１,0台
イオン郡山フェスタ,福島県郡山市日和田町字小原１ホビー売り場,0台
イトーヨーカドー郡山,福島県郡山市西ノ内２－１１－４０玩具売場,0台
セガ日和田,福島県郡山市日和田町字西中島７－１,0台
タイトーＦステーション郡山,福島県郡山市南２丁目３８番地,0台
タイトーＦステーション郡山アティ,福島県郡山市駅前１－１６－７,0台
タイトーＦステーション郡山オリエントパーク,福島県郡山市安積町荒井字大久保３５－１,0台
トイザらス郡山,福島県郡山市松木町２－８８,0台
モーリーファンタジー郡山フェスタ,福島県郡山市日和田町字小原１イオン１Ｆ,0台
ヨドバシカメラ郡山駅前,福島県郡山市駅前１－１６－７玩具売場,0台
西友郡山,福島県郡山市長者１－１－５６玩具売場,0台
ＳＯＹＵＥＮＴＥＲＴＡＩＮＭＥＮＴＳＴＵＤＩＯ須賀川,福島県須賀川市古河１０５番イオンタウン須賀川Ｂ棟内,0台
イオン白河西郷,福島県西白河郡西郷村大字小田倉字岩下１１－１ホビー売り場,0台
モーリーファンタジー白河西郷,福島県西白河郡西郷村大字小田倉字岩下１１－１イオン２Ｆ,0台
モーリーファンタジー相馬,福島県相馬市馬場野字雨田５１イオン２Ｆ,0台
イオンスーパーセンター南相馬,福島県南相馬市原町区大木戸字金場７７番地玩具売場,0台
ジャスモールファンタジー,福島県南相馬市原町区大木戸字金場７７南相馬ジャスモールＷ１棟,0台
ＴＨＥ３ＲＤＰＬＡＮＥＴピボット福島,福島県福島市栄町１－１パワーシティピボット内,0台
イオン福島,福島県福島市南矢野目字西荒田５０番地の１７ホビー売り場,0台
イトーヨーカドー福島,福島県福島市太田町１３－４玩具売場,0台
トイザらス福島,福島県福島市森合字清水７コープマートいずみ２Ｆ,0台
モーリーファンタジー福島,福島県福島市南矢野目字西荒田５０番地の１７イオン３Ｆ,0台
