店名,住所,台数
モーリーファンタジー秋田中央,秋田県秋田市楢山川口境５－１１イオン３Ｆ,0台
ファンタジープラザ秋田,秋田県秋田市旭北錦町４－５８ドン・キホーテ秋田２Ｆ,0台
モーリーファンタジー大館,秋田県大館市大田面２３８ＳｕＣ１Ｆ,0台
プラサカプコン大曲,秋田県大仙市和合字坪立１７７イオンモール大曲２Ｆ,0台
イオンスーパーセンター五城目,秋田県南秋田郡五城目町大川西野字田屋前１３８玩具売場,0台
メルヘンランド大館,秋田県大館市御成町３丁目７－５８いとく大館ショッピングセンター３階,0台
モーリーファンタジー中仙,秋田県大仙市北長野字袴田１８８イオン１Ｆ,0台
モーリーファンタジー能代,秋田県能代市柳町１１－１イオン３Ｆ,0台
モーリーファンタジー横手,秋田県横手市安田字向田１４７イオン２Ｆ,0台
モーリーファンタジー大曲,秋田県大仙市和合字坪立１７７番地イオン２Ｆ,0台
ＳＯＹＵＧａｍｅＦｉｅｌｄ御所野,秋田県秋田市御所野地蔵田一丁目１番地１号イオンモール秋田２Ｆ,0台
イオン横手,秋田県横手市安田字向田１４７イオン２Ｆ玩具売場,0台
イオン御所野,秋田県秋田市御所野地蔵田１－１－１玩具売場,0台
イオン秋田中央,秋田県秋田市楢山川口境５－１１玩具売場,0台
モーリーファンタジー御所野,秋田県秋田市御所野地蔵田１－１－１イオン御所野３Ｆ,0台
イオン大曲,秋田県大仙市和合字坪立１７７番地イオン２Ｆ玩具売場,0台
イオン土崎港,秋田県秋田市土崎港南２－３－４１玩具売場,0台
リスチャイルドたかのす,秋田県北秋田市栄字中綱３１－１イオンタウンたかのすＳＣ内,0台
ＡＮ．ＫＩＮ．ＴＡＮ五城目,秋田県南秋田郡五城目町大字大川西野字田屋前１３８イオンスーパーセンター五城目店内,0台
リスチャイルド本荘,秋田県由利本荘市石脇字田中１３８イオンスーパーセンター本荘店内,0台
リスチャイルド湯沢,秋田県湯沢市字上荻生田１６２イオンスーパーセンター湯沢店内,0台
Ｒ－ＢＯＸアルヴェ,秋田県秋田市東通仲町４－１秋田拠点センターアルヴェ１階,0台
ＰＲＥＳＴＯユザワプラザ,秋田県湯沢市材木町２－１－１８ユザワプラザ２階,0台
セガワールド秋田,秋田県秋田市茨島１－３－１,0台
