店名,住所,台数
モーリーファンタジーつくば,茨城県つくば市稲岡６６－１イオン３Ｆ,0台
イオンつくば,茨城県つくば市稲岡６６－１玩具売場,0台
ジャムジャムつくば,茨城県つくば市竹園１－９－２デイズタウンつくばＢ１Ｆ,0台
ＪＯＹＦＵＬ－２ニューポートひたちなか,茨城県ひたちなか市新光町３４－１玩具売場,0台
ＭＥＧＡドン・キホーテ勝田,茨城県ひたちなか市石川町１－１,0台
ジャムジャムひたちなか本店新館,茨城県ひたちなか市田中後４０－２,0台
ピンクパンサー水戸けやき台,茨城県水戸市酒門町３２７６－１,0台
新利根ＳＣ,茨城県稲敷市角崎１６７８番地,0台
こころっこＪ’Ｓ新利根ＳＣ,茨城県稲敷市角崎１６７８番地新利根ショッピングセンター内プレビプレイランドコーナーこころっこＪ’ｓ,0台
ハローズガーデン江戸崎,茨城県稲敷市江戸崎甲４８３６番地パンプ江戸崎ショッピングセンター１階,0台
アピタ佐原東,茨城県稲敷市西代１４８０玩具売場,0台
タイトーステーション佐原東,茨城県稲敷市西代１４９５ショッピングセンターパルナ２Ｆ,0台
モーリーファンタジー佐原東,茨城県稲敷市西代１４９５パルナ２Ｆ,0台
イオン下妻,茨城県下妻市堀篭９７２－１玩具売場,0台
モーリーファンタジー下妻,茨城県下妻市堀籠９７２－１イオン２Ｆ,0台
ジャングルパーク笠間,茨城県笠間市赤坂８番地笠間ＳＣポレポレシティ１階,0台
西友ひたち野うしく,茨城県牛久市ひたち野東２２－１玩具売場,0台
モーリーファンタジー古河,茨城県古河市旭町１－２－１７イオン２Ｆ,0台
イオン古河,茨城県古河市旭町１－２－１７玩具売場,0台
ＦＥＳＴＡ古河,茨城県古河市松並２－１８－１０マーケットシティ古河内,0台
イトーヨーカドー古河,茨城県古河市雷電町１－１８玩具売場,0台
らんらんらんど行方,茨城県行方市麻生３２８８番－５０セイミヤモール麻生店１Ｆ,0台
イオン高萩,茨城県高萩市安良川２３１－１玩具売場,0台
モーリーファンタジー高萩,茨城県高萩市安良川２３１イオン２Ｆ,0台
宝島鹿嶋,茨城県鹿嶋市宮中２９０－１ショッピングセンターチェリオ１Ｆ,0台
アピタ守谷,茨城県守谷市久保ヶ丘２－１－１玩具売場,0台
ＳＯＹＵＴＯＹ’ｓＮＹ守谷,茨城県守谷市百合ヶ丘三丁目２４９番１イオンタウン守谷２Ｆ,0台
ファミリーランド神栖,茨城県神栖市大野原４－８－６７ベイシア神栖店２Ｆ,0台
ヤマダ電機テックランド水戸本店,茨城県水戸市笠原町２０９,0台
ビックカメラ水戸４Ｆトイズコーナー,茨城県水戸市宮町１－７－３１エクセルみなみ４Ｆ・５Ｆ,0台
セガ水戸南,茨城県水戸市千波町２０１７－１－１Ｆ,0台
水戸京成百貨店,茨城県水戸市泉町１－６－１水戸京成百貨店７Ｆ玩具売場,0台
イオン水戸内原,茨城県水戸市中原町字西１３５玩具売場,0台
ユーズランド水戸内原,茨城県水戸市中原町字西１３５番地イオンモール水戸内原２Ｆ,0台
モーリーファンタジー水戸内原,茨城県水戸市内原２丁目１番地イオン３Ｆ,0台
ＡＧスクエア石岡,茨城県石岡市東大橋中峯１９７６－１,0台
アピナ下館,茨城県筑西市玉戸１０１２－３,0台
モーリーファンタジー土浦,茨城県土浦市上高津３６７番イオン３Ｆ,0台
イオン土浦,茨城県土浦市上高津３６７番イオン３Ｆ玩具売場,0台
楽市楽座イオンモール土浦,茨城県土浦市上高津３６７番地イオンモール土浦店３階,0台
プラサカプコン土浦,茨城県土浦市真鍋２－１－２９,0台
ゲームパニックつくば,茨城県土浦市中村東１－１－１サンタスワールド内,0台
タイトーＦステーションイオンタウン水戸南,茨城県東茨城郡茨城町長岡３４８０－１０１イオンタウン水戸南ショッピングセンター,0台
イオン東海,茨城県那珂郡東海村舟石川駅東４－１－１玩具売場,0台
モーリーファンタジー東海,茨城県那珂郡東海村舟石川駅東四丁目１番１号イオン２Ｆ,0台
こころっこ日立,茨城県日立市幸町１－１６－１イトーヨーカドー日立店５階プレビプレイランドコーナーこころっこ,0台
イトーヨーカドー日立,茨城県日立市幸町１－１６－１玩具売場,0台
セガワールド日立,茨城県日立市田尻町３－２６－１,0台
ピンクパンサー日立,茨城県日立市東多賀町５－１０－１０,0台
カインズホーム日立,茨城県日立市留町字前川１２７０－２,0台
セガワールド龍ヶ崎,茨城県龍ヶ崎市藤ヶ丘４－２－８,0台
ハローズガーデン竜ヶ崎,茨城県龍ケ崎市小柴５－１－２ショッピングセンターサプラ２階,0台
イトーヨーカドー竜ヶ崎,茨城県龍ケ崎市小柴５－１－２玩具売場,0台
