店名,住所,台数
モーリーファンタジー壱岐,長崎県壱岐市芦辺町箱崎中山触字干拓２６０４－２ダイエー壱岐店２Ｆ,0台
イオン壱岐,長崎県壱岐市芦辺町箱崎中山触字干拓２６０４－２玩具売場,0台
楽市楽座諫早,長崎県諌早市長野町１０８６番地１７,0台
イオン大塔,長崎県佐世保市大塔町１４－２玩具売場,0台
モーリーファンタジー大塔,長崎県佐世保市大塔町１４－２イオン３Ｆ,0台
イオン佐世保,長崎県佐世保市島瀬町１０－９玩具売場,0台
スペースタイム２５イオン佐世保,長崎県佐世保市島瀬町１０－９イオン佐世保８階,0台
イオン時津,長崎県西彼杵郡時津町浜田郷７５１－５玩具売場,0台
モーリーファンタジー時津,長崎県西彼杵郡時津町浜田郷７５１－５イオン２Ｆ,0台
イオン大村,長崎県大村市幸町２５－２００玩具売場,0台
モーリーファンタジー大村,長崎県大村市幸町２５－２００イオン２Ｆ,0台
モーリーファンタジー長崎,長崎県長崎市新地町３－１７イオン長崎店５Ｆ,0台
イオン　チトセピア,長崎県長崎市千歳町５－１玩具売場,0台
モーリーファンタジーチトセピア,長崎県長崎市千歳町５番１号,0台
イオン東長崎,長崎県長崎市田中町１０２７－８玩具売場,0台
モーリーファンタジー東長崎,長崎県長崎市田中町１０２７－８イオン２Ｆ,0台
セガワールド長崎ココウォーク,長崎県長崎市茂里町１－５５みらい長崎ココウォーク５Ｆ,0台
あおき長崎葉山,長崎県長崎市葉山１丁目２８－１５Ｓ＆Ｂ葉山ショッピングプラザ１Ｆ,0台
イオン有家,長崎県南島原市有家町山川１３５－１玩具売場,0台
モーリーファンタジー有家,長崎県南島原市有家町山川１３５－１イオン１Ｆ,0台
ぴのきお,長崎県北松浦郡佐々町本田原免７３－３マックスバリュー佐々店２Ｆ,0台
