店名,住所,台数
アピナ伊那,長野県伊那市西町５０９３,0台
タカラ島駒ヶ根,長野県駒ヶ根市赤穂１５６８ベルシャイン駒ヶ根１Ｆ,0台
アピナ穂高,長野県安曇野市穂高２４５０,0台
モーリーファンタジー豊科,長野県安曇野市豊科４２７２－１０イオン２Ｆ,0台
イオン豊科,長野県安曇野市豊科４２７２－１０玩具売場,0台
アピタ伊那,長野県伊那市伊那下川原５１９８番地玩具売場,0台
アピナ塩尻,長野県塩尻市広丘野村１７９４－１,0台
アピタ岡谷,長野県岡谷市銀座一丁目１番５号玩具売場,0台
ＡＧスクエア岡谷,長野県岡谷市塚間町２－１－２１,0台
アピタ高森,長野県下伊那郡高森町山吹４５１５番地玩具売場,0台
ＴＨＥ３ＲＤＰＬＡＮＥＴ高崎,長野県高崎市下和田町５－３－８メディアメガ高崎内,0台
ＰＡＬＯ佐久,長野県佐久市岩村田６－２ステーションパーク佐久,0台
アピナ佐久インター,長野県佐久市岩村田北１－１３－１,0台
イオン佐久平,長野県佐久市佐久平駅南１１－１０玩具売場,0台
イトーヨーカドー南松本,長野県松本市高宮中１－２０玩具売場,0台
セガ松本,長野県松本市渚１－７－１,0台
アピナ松本,長野県松本市双葉１９－１０,0台
モーリーファンタジー南松本,長野県松本市双葉５－２０イオン２Ｆ,0台
モーリーファンタジー松本,長野県松本市中央４－９－５１イオンスタイル松本店内３Ｆ,0台
楽市楽座イオンモール松本,長野県松本市中央４－９－５１イオンモール松本店風庭２Ｆ,0台
タイトーＦステーション松本,長野県松本市平田東１－２７－１,0台
アピナ上田,長野県上田市秋和３５９－１,0台
モーリーファンタジー上田,長野県上田市常田２－１２－１８イオン２Ｆ,0台
イオン上田,長野県上田市常田２－１２－１８イオン２Ｆ玩具売場,0台
セガワールド上田,長野県上田市大字上田１８４７－１,0台
イトーヨーカドーアリオ上田,長野県上田市天神３－５１玩具売場,0台
ＰＡＬＯ諏訪,長野県諏訪市沖田町５－１８ステーションパーク・諏訪１Ｆ・２Ｆ,0台
こどもや諏訪,長野県諏訪市沖田町５－１９諏訪ステーションパーク内,0台
モーリーファンタジー中野,長野県中野市大字一本木２５２－１イオン２Ｆ,0台
イトーヨーカドー長野,長野県長野市権堂町２２０１玩具売場,0台
ファンタジープラザ長野,長野県長野市高田１７５８番地ＭＥＧＡドン・キホーテ長野店内,0台
ＳＯＹＵＧａｍｅＦｉｅｌｄ長野三輪,長野県長野市三輪九丁目４３番２４号イオンタウン長野三輪２Ｆ,0台
アピナ長野大橋,長野県長野市若里７－９－１２,0台
アピナ長野川中島,長野県長野市川中島町御厨９６７－１,0台
西友川中島,長野県長野市川中島町今井字薬師堂１８１４－１玩具売場,0台
アピナ長野村山,長野県長野市村山５０２－１,0台
ＭＥＧＡドン・キホーテ長野,長野県長野市大字高田１７５８,0台
ＴＨＥ３ＲＤＰＬＡＮＥＴ長野大通り店,長野県長野市大字鶴賀権堂町１５０６番地３長電権堂弟２ビル１階,0台
タイトーステーションアイシティ２１松本,長野県東筑摩郡山形村７９７７,0台
アピナ飯田,長野県飯田市座光寺３７２８－１,0台
イオン飯田,長野県飯田市上郷飯沼１５７５玩具売場,0台
モーリーファンタジー飯田アップルロード,長野県飯田市鼎一色４５６イオン２Ｆ,0台
アピタ飯田,長野県飯田市鼎名古熊２４６１番地玩具売場,0台
