店名,住所,台数
モーリーファンタジーつがる柏,青森県つがる市柏稲盛幾世４１－１イオン１Ｆ,0台
ＰＡＬＯむつ,青森県むつ市中央２丁目７番８号,0台
マエダ本店,青森県むつ市小川町２丁目４－８,0台
ハロータイトーむつ,青森県むつ市小川町２丁目４－８前田百貨店内４Ｆ,0台
ＰＡＬＯ五所川原,青森県五所川原市大字唐笠柳字藤巻６４１番１アクロスプラザ五所川原,0台
イトーヨーカドー弘前,青森県弘前市大字駅前３－２－１玩具売場,0台
スカロップ弘前,青森県弘前市城東北３－１０－１さくら野弘前店３Ｆ,0台
セガ弘前,青森県弘前市末広１－３－３,0台
ＳＯＹＵＧａｍｅＦｉｅｌｄ弘前樋の口,青森県弘前市樋の口２－９－６イオンタウン弘前樋の口内,0台
スペースファンタジーインフィニ,青森県弘前市城東北３－１０－１さくら野弘前店４Ｆ,0台
ＰＡＬＯ黒石,青森県黒石市富士見１０３番地３アクロスプラザ黒石,0台
モーリーファンタジー三沢,青森県三沢市松園町３－１０－１ビードルプラザ三沢店１Ｆ,0台
モーリーファンタジー十和田,青森県十和田市大字相坂字六日町山１６６番１ＳｕＣ１Ｆ,0台
イオン下田,青森県上北郡おいらせ町中野平４０－１玩具売場,0台
ハロータイトーイオン七戸十和田駅前,青森県上北郡七戸町字荒熊内６７番地９９０イオン七戸十和田駅前店内,0台
モーリーファンタジー下田,青森県上北郡おいらせ町中野平４０－１イオン２Ｆ,0台
ユーズランド下田,青森県上北郡おいらせ町中野平４０－１イオンモール下田１Ｆ,0台
イオン青森,青森県青森市緑３－９－２玩具売場,0台
イトーヨーカドー青森,青森県青森市浜田１－１４－１玩具売場,0台
トイザらス青森,青森県青森市三好２－３－１１ガーラタウン,0台
青森メトロポリス,青森県青森市三好１－１５－８,0台
プレイランド青森,青森県青森市浜田１－１４－１イトーヨーカドー青森店２Ｆ,0台
タイトーステーション青森アムゼ,青森県青森市緑３丁目９番地の２サンロード青森アムゼ内,0台
タイトーステーション青森ガーラモール,青森県青森市三好２－３－１９,0台
モーリーファンタジー藤崎,青森県南津軽郡藤崎町大字西豊田１－７－１イオン２Ｆ,0台
イトーヨーカドー八戸沼館,青森県八戸市沼館４－７－１１１玩具売場,0台
ファンタジードーム八戸,青森県八戸市江陽２－１４－１ラピア八戸店別棟,0台
モーリーファンタジー三春屋,青森県八戸市十三日町十三番地三春屋５Ｆ,0台
モーリーファンタジー八戸田向,青森県八戸市大字田向字毘沙門平２７－１イオン１Ｆ,0台
プレイランドソピア八戸,青森県八戸市沼館４－７－１１２,0台
モーリーファンタジー平賀,青森県平川市小和森上松岡１９３－１マックスバリュ１Ｆ,0台
モーリーファンタジー鶴田,青森県北津軽郡鶴田町大字鶴田字中泉２４５番地１鶴田フットリバーモール店１Ｆ,0台
