店名,住所,台数
アピタ伊東,静岡県伊東市玖須美元和田７２０番地の１４３玩具売場,0台
アピタ大仁,静岡県伊豆の国市吉田字九十分１５３番の１玩具売場,0台
アピタ掛川,静岡県掛川市大池２８２６番地玩具売場,0台
ＡＧスクエア掛川,静岡県掛川市細田２４８,0台
シートピアＹＡＺ大須賀,静岡県掛川市西大渕３３５９イオンタウン大須賀Ｈ棟,0台
モーリーファンタジー御殿場,静岡県御殿場市萩原６３６番地,0台
ミシマトイス,静岡県三島市本町３番３５号玩具売場,0台
イトーヨーカドー三島,静岡県三島市中田町９－３０玩具売場,0台
ピアゴ森,静岡県周智郡森町睦実字鳥喰２３２７番地１玩具売場,0台
セガワールドサントムーン,静岡県駿東郡清水町玉川６１－２,0台
タイトーステーションウェルディ長泉,静岡県駿東郡長泉町下長窪字城山１０７６－１ウェルディ長泉２Ｆ,0台
エディオン柿田川,静岡県駿東郡清水町伏見字泉頭５８－１,0台
ＴＨＥ３ＲＤＰＬＡＮＥＴＢｉＶｉ沼津,静岡県沼津市大手町１丁目１番５号,0台
イトーヨーカドー沼津,静岡県沼津市高島本町１－５玩具売場,0台
ピアゴ香貫,静岡県沼津市下香貫字汐入２２１６番地玩具売場,0台
キッズトレイン沼津南,静岡県沼津市西島町１０－１,0台
モーリーファンタジー焼津,静岡県焼津市祢宜島５５５イオン２Ｆ,0台
イオン焼津,静岡県焼津市祢宜島５５５玩具売場,0台
ピアゴ大覚寺,静岡県焼津市大覚寺中ノ島７０９番地玩具売場,0台
モーリーファンタジー裾野,静岡県裾野市佐野１０３９,0台
プリズムストーンショップ静岡店,静岡県静岡市葵区伝馬町６－１静岡東急スクエアＢ１Ｆアニメガ静岡店内,0台
タイトーＦステーション静岡,静岡県静岡市葵区呉服町二丁目５番地４ふしみや第２ビル,0台
ＴＨＥ３ＲＤＰＬＡＮＥＴフレスポ静岡,静岡県静岡市清水区鳥坂８６０番地,0台
トイザらス静岡,静岡県静岡市清水区鳥坂８６０クレッセ静岡２Ｆ,0台
イトーヨーカドー静岡,静岡県静岡市駿河区曲金３－１－５玩具売場,0台
ＭＡＲＫＩＳ静岡,静岡県静岡市葵区柚木１９１ＭＡＲＫＩＳ静岡３階,0台
アピタ静岡,静岡県静岡市駿河区石田１丁目５番１号玩具売場,0台
ソユー竜宮タウン静岡,静岡県静岡市駿河区石田一丁目５番１号アピタ静岡ＳＣ２Ｆ,0台
ＡＧスクエア清水,静岡県静岡市清水区駒越北町８－１ベイドリーム清水,0台
モーリーファンタジー清水,静岡県静岡市清水区上原１－６－１６イオン２Ｆ,0台
イオン清水,静岡県静岡市清水区上原１－６－１６玩具売場,0台
松坂屋静岡,静岡県静岡市葵区御幸町１０－２松坂屋静岡店本館５Ｆ玩具売場,0台
セガワールド静岡,静岡県静岡市葵区七間町４－２静活プラザビル１，２Ｆ,0台
ＳＵＰＥＲＷＡＶＥ静岡,静岡県静岡市駿河区中吉田１５－８（２階）,0台
ピアゴ清水高橋,静岡県静岡市清水区高橋５丁目１番の１号玩具売場,0台
モーリーファンタジー袋井,静岡県袋井市上山梨４丁目１番地の１イオン２Ｆ,0台
ピアゴ袋井,静岡県袋井市新池字原川田１１５８番地１玩具売場,0台
ハローズガーデン島田,静岡県島田市宝来町８－２アピタ２Ｆ,0台
アピタ島田,静岡県島田市宝来町８番２号玩具売場,0台
ＬＡＮＤ藤枝,静岡県藤枝市前島１丁目７番１０号ＢｉＶｉ藤枝４Ｆ,0台
